,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
4623,AK,2005,2.3,B,Campfire,60.05333333,-149.44
4628,AK,2005,11.4,C,Campfire,60.50611111,-145.34388889
4632,AK,2005,2.5,B,Miscellaneous,60.885,-149.045
4640,AK,2005,0.1,A,Debris Burning,60.86166667,-148.995
6489,AK,2005,0.2,A,Debris Burning,56.50972222,-132.87194444
6518,AK,2005,0.1,A,Debris Burning,58.31111111,-134.66638889
6519,AK,2005,0.1,A,Campfire,58.37611111,-134.72916667
6520,AK,2005,0.1,A,Campfire,58.60416667,-134.92027778
6521,AK,2005,0.1,A,Debris Burning,58.60305556,-134.9175
6522,AK,2005,0.1,A,Campfire,58.60388889,-134.92083333
6523,AK,2005,0.1,A,Campfire,58.60333333,-134.91833333
6524,AK,2005,0.1,A,Debris Burning,58.52333333,-134.79138889
6525,AK,2005,0.1,A,Smoking,58.41555556,-134.54583333
6533,AK,2005,0.1,A,Debris Burning,58.39833333,-134.75
6535,AK,2005,0.1,A,Smoking,58.36277778,-134.55861111
6539,AK,2005,0.1,A,Miscellaneous,57.10055556,-135.38666667
6540,AK,2005,0.1,A,Debris Burning,57.53527778,-135.21722222
6558,AK,2005,0.1,A,Debris Burning,57.3,-135.18333333
6560,AK,2005,0.1,A,Campfire,57.6,-135.21666667
6562,AK,2005,0.1,A,Children,55.46916667,-131.82138889
6563,AK,2005,0.1,A,Children,56.0975,-131.03
6566,AK,2005,0.1,A,Campfire,55.53916667,-131.79666667
6568,AK,2005,0.1,A,Children,55.46916667,-131.82138889
6569,AK,2005,0.1,A,Campfire,55.34527778,-131.49611111
6570,AK,2005,0.1,A,Campfire,55.40361111,-131.71666667
6572,AK,2005,0.1,A,Debris Burning,55.29,-131.53916667
6591,AK,2005,0.1,A,Miscellaneous,58.10777778,-135.41944444
6592,AK,2005,0.25,A,Smoking,56.28138889,-132.34861111
6600,AK,2005,0.1,A,Smoking,56.30333333,-132.2225
6612,AK,2005,0.1,A,Campfire,56.81111111,-132.95638889
6613,AK,2005,0.2,A,Campfire,56.7275,-132.90388889
6656,AK,2005,305.0,E,Debris Burning,59.08722222,-135.44138889
6716,AK,2005,1.0,B,Children,55.58333333,-133.03333333
6718,AK,2005,4.0,B,Children,55.46916667,-131.82138889
6720,AK,2005,1.3,B,Campfire,55.94972222,-132.94888889
6721,AK,2005,0.3,B,Campfire,58.62944444,-134.93944444
6722,AK,2005,0.5,B,Campfire,58.27527778,-134.65694444
6724,AK,2005,1.0,B,Debris Burning,58.36111111,-134.62666667
7252,AK,2006,0.1,A,Miscellaneous,57.04861111,-135.23361111
12163,AK,2006,0.1,A,Debris Burning,55.69333333,-132.61666667
12232,AK,2006,3.0,B,Campfire,55.47888889,-131.77916667
12666,AK,2006,0.1,A,Debris Burning,57.04777778,-135.30083333
12681,AK,2006,0.1,A,Campfire,55.44694444,-131.82277778
20943,AK,2007,0.3,B,Debris Burning,60.86666667,-148.96666667
20964,AK,2007,0.1,A,Miscellaneous,60.45027778,-149.36694444
20965,AK,2007,0.1,A,Campfire,60.46694444,-149.70027778
20966,AK,2007,0.1,A,Campfire,60.48333333,-149.9
20967,AK,2007,0.1,A,Campfire,60.48333333,-149.88361111
21632,AK,2007,0.5,B,Arson,60.15,-149.41666667
21659,AK,2007,0.1,A,Campfire,60.46666667,-149.73333333
21661,AK,2007,0.5,B,Campfire,60.95027778,-149.71666667
21672,AK,2007,0.1,A,Campfire,60.48333333,-149.9
21704,AK,2007,0.1,A,Campfire,60.48361111,-149.46694444
26358,AK,2007,1.0,B,Debris Burning,58.10805556,-135.435
26385,AK,2007,0.1,A,Miscellaneous,56.8425,-135.28833333
26386,AK,2007,0.1,A,Lightning,56.77777778,-132.93583333
26388,AK,2007,0.1,A,Debris Burning,56.325,-133.32638889
26389,AK,2007,0.1,A,Campfire,58.62916667,-134.9375
26390,AK,2007,0.1,A,Debris Burning,57.06388889,-135.32166667
26391,AK,2006,0.1,A,Debris Burning,56.35027778,-133.5625
