,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
5776,AL,2005,0.25,A,Arson,34.10944444,-87.375
6432,AL,2005,10.1,C,Arson,33.34861111,-86.09944444
6433,AL,2005,363.1,E,Arson,33.385,-85.96777778
6434,AL,2005,10.0,C,Debris Burning,32.90416667,-87.33055556
6435,AL,2005,17.6,C,Arson,33.6025,-85.67472222
6437,AL,2005,241.5,D,Miscellaneous,32.7825,-87.17444444
6438,AL,2005,7.0,B,Arson,34.24527778,-87.26638889
6439,AL,2005,0.16,A,Arson,33.90805556,-85.52638889
6448,AL,2005,1.0,B,Miscellaneous,31.09722222,-86.48333333
6449,AL,2005,6.0,B,Lightning,32.9175,-87.49722222
6451,AL,2005,31.0,C,Arson,31.11472222,-86.77138889
6452,AL,2005,121.0,D,Arson,33.66722222,-85.62583333
6454,AL,2005,19.2,C,Railroad,33.34166667,-85.98888889
6455,AL,2005,6.0,B,Arson,34.02361111,-87.28055556
6456,AL,2005,2.0,B,Arson,34.02416667,-87.28055556
6457,AL,2005,2.0,B,Debris Burning,34.13555556,-87.21361111
6459,AL,2005,1.9,B,Arson,33.50694444,-85.8625
6460,AL,2005,7.8,B,Arson,33.01027778,-87.38694444
6461,AL,2005,8.0,B,Arson,32.46666667,-85.6125
6472,AL,2005,0.5,B,Equipment Use,32.87944444,-87.44194444
6475,AL,2005,2.0,B,Debris Burning,34.19527778,-87.38527778
6476,AL,2005,13.1,C,Debris Burning,31.08527778,-86.54027778
6479,AL,2005,195.0,D,Campfire,33.27305556,-86.11388889
6492,AL,2005,0.8,B,Arson,33.24444444,-86.12333333
6495,AL,2005,17.1,C,Debris Burning,31.01,-86.80194444
6498,AL,2005,2.4,B,Campfire,33.2825,-86.10222222
6502,AL,2005,18.9,C,Campfire,33.20222222,-86.07972222
6504,AL,2005,19.6,C,Railroad,33.32805556,-85.99166667
6505,AL,2005,10.0,C,Smoking,32.91083333,-87.04527778
6506,AL,2005,39.0,C,Miscellaneous,32.88055556,-87.29138889
6507,AL,2005,3.0,B,Arson,34.28611111,-87.3175
6509,AL,2005,1.1,B,Miscellaneous,31.1175,-86.56861111
6510,AL,2005,3.0,B,Arson,33.2025,-86.13277778
6511,AL,2005,20.1,C,Campfire,33.195,-86.14083333
6512,AL,2005,15.0,C,Campfire,32.48333333,-85.5875
6513,AL,2005,204.0,D,Arson,32.7875,-87.21666667
6514,AL,2005,0.2,A,Miscellaneous,31.12444444,-86.57055556
14809,AL,2006,412.0,E,Lightning,31.02083333,-86.61833333
14810,AL,2006,2.0,B,Railroad,33.35166667,-85.99777778
14811,AL,2006,0.32,B,Equipment Use,31.05694444,-86.79444444
14812,AL,2006,9.5,B,Lightning,31.04972222,-86.80833333
14819,AL,2006,24.2,C,Lightning,31.12222222,-86.695
14823,AL,2006,0.1,A,Miscellaneous,31.16777778,-86.57916667
14836,AL,2006,1.6,B,Lightning,31.15611111,-86.58194444
14843,AL,2006,9.0,B,Lightning,31.17166667,-86.61666667
14844,AL,2006,0.2,A,Arson,33.535,-85.89027778
14850,AL,2006,80.0,C,Lightning,31.0475,-86.74138889
14853,AL,2006,271.2,D,Miscellaneous,33.15555556,-86.18055556
14856,AL,2006,17.0,C,Arson,34.13222222,-87.22666667
14861,AL,2006,146.0,D,Lightning,33.26611111,-86.07777778
14866,AL,2006,3.9,B,Campfire,33.15861111,-86.11666667
14870,AL,2006,36.0,C,Arson,34.27694444,-87.24555556
14872,AL,2006,0.25,A,Lightning,33.77472222,-85.52222222
14877,AL,2006,43.0,C,Arson,34.10888889,-87.4625
14881,AL,2006,0.8,B,Arson,33.6125,-85.66166667
14885,AL,2006,2.1,B,Debris Burning,33.84833333,-85.57305556
14888,AL,2006,3.0,B,Arson,33.7875,-85.48611111
14889,AL,2006,8.0,B,Arson,34.245,-87.26861111
14897,AL,2006,6.0,B,Debris Burning,33.7775,-85.6475
14902,AL,2006,96.0,C,Arson,33.84166667,-85.57416667
14946,AL,2006,0.1,A,Arson,33.35861111,-86.08166667
14947,AL,2006,0.1,A,Miscellaneous,33.70944444,-85.65444444
14949,AL,2006,3.0,B,Lightning,33.35944444,-86.01777778
