,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
107,AR,2005,0.1,A,Miscellaneous,34.65472222,-94.28638889
345,AR,2005,2.0,B,Arson,34.89055556,-92.89138889
831,AR,2005,35.0,C,Miscellaneous,36.12888889,-92.3575
858,AR,2005,10.0,C,Smoking,35.96888889,-92.38944444
889,AR,2005,0.1,A,Arson,35.49166667,-93.12
891,AR,2005,4.0,B,Equipment Use,35.24944444,-93.68555556
1038,AR,2005,0.25,A,Equipment Use,34.98361111,-93.98361111
1114,AR,2005,3.0,B,Smoking,34.89833333,-93.40527778
1148,AR,2005,0.2,A,Arson,34.99944444,-94.02555556
1518,AR,2005,0.5,B,Miscellaneous,34.68722222,-93.82361111
1592,AR,2005,22.0,C,Lightning,34.70277778,-93.81388889
1734,AR,2005,185.0,D,Lightning,34.42277778,-94.1325
1924,AR,2005,0.1,A,Campfire,35.23138889,-93.60305556
2114,AR,2005,33.0,C,Arson,35.68555556,-94.01861111
2115,AR,2005,3.0,B,Miscellaneous,35.96694444,-92.23388889
2237,AR,2005,2.2,B,Arson,34.66638889,-93.89138889
2239,AR,2005,33.0,C,Lightning,34.52861111,-94.24888889
2245,AR,2005,0.6,B,Debris Burning,34.69222222,-93.54083333
2259,AR,2005,21.0,C,Arson,35.87944444,-92.90638889
2273,AR,2005,9.0,B,Arson,35.82916667,-93.06722222
2276,AR,2005,1.0,B,Arson,35.79888889,-93.04805556
2278,AR,2005,0.2,A,Arson,36.13194444,-92.32944444
2281,AR,2005,2.0,B,Arson,35.79805556,-93.01611111
2283,AR,2005,2.5,B,Arson,36.085,-92.1525
2287,AR,2005,30.0,C,Arson,35.79972222,-93.15583333
2288,AR,2005,0.5,B,Arson,36.03583333,-92.30111111
2291,AR,2005,4.2,B,Arson,35.79,-93.13333333
2321,AR,2005,1.15,B,Arson,35.80027778,-93.07166667
2324,AR,2005,1.3,B,Arson,35.80194444,-93.07416667
2327,AR,2005,3.0,B,Arson,36.05777778,-92.43055556
2329,AR,2005,0.2,A,Arson,36.05861111,-92.43416667
2419,AR,2005,65.0,C,Campfire,35.84333333,-93.05027778
2424,AR,2005,2.4,B,Campfire,35.68777778,-93.3775
2433,AR,2005,0.1,A,Arson,35.61972222,-93.41638889
2439,AR,2005,0.1,A,Arson,35.62,-93.41638889
2440,AR,2005,3.3,B,Arson,35.61527778,-93.425
2442,AR,2005,2.8,B,Campfire,35.74166667,-93.77805556
2447,AR,2005,3.0,B,Debris Burning,34.53333333,-93.75083333
2474,AR,2005,43.0,C,Lightning,34.94305556,-93.59416667
2476,AR,2005,2.1,B,Miscellaneous,35.6925,-93.76805556
2478,AR,2005,1.0,B,Lightning,34.64,-93.47444444
2517,AR,2005,25.0,C,Arson,34.61138889,-93.66
2523,AR,2005,2.0,B,Debris Burning,34.53972222,-93.31583333
2526,AR,2005,2.0,B,Smoking,34.19194444,-93.19305556
2530,AR,2005,77.0,C,Lightning,34.60416667,-93.64722222
2608,AR,2005,0.1,A,Arson,35.61555556,-93.42416667
2644,AR,2005,3.0,B,Arson,34.69638889,-93.32888889
2650,AR,2005,0.5,B,Arson,34.71,-93.3125
2659,AR,2005,1.15,B,Lightning,34.72916667,-93.24166667
2665,AR,2005,7.5,B,Lightning,35.00138889,-93.57333333
2790,AR,2005,0.25,A,Arson,35.73166667,-94.29333333
2798,AR,2005,5.0,B,Arson,36.15166667,-94.41722222
2809,AR,2005,23.0,C,Arson,35.68555556,-94.37611111
2841,AR,2005,11.0,C,Debris Burning,35.61333333,-94.44944444
2914,AR,2005,9.0,B,Campfire,35.68555556,-94.40777778
3001,AR,2005,2.6,B,Lightning,34.66027778,-93.45111111
3009,AR,2005,26.22,C,Campfire,35.05027778,-93.57722222
3023,AR,2005,1.0,B,Arson,34.69194444,-93.33555556
3029,AR,2005,0.5,B,Equipment Use,34.76666667,-93.12027778
3044,AR,2005,25.0,C,Lightning,35.03777778,-93.28333333
3055,AR,2005,2.0,B,Miscellaneous,34.63222222,-93.16416667
3098,AR,2005,1.0,B,Arson,35.68972222,-94.39972222
3291,AR,2005,88.0,C,Arson,34.47388889,-93.96333333
3309,AR,2005,0.03,A,Miscellaneous,34.42666667,-93.38305556
3314,AR,2005,13.64,C,Arson,34.35305556,-93.78138889
3322,AR,2005,0.14,A,Arson,34.36388889,-93.90888889
3352,AR,2005,1.5,B,Debris Burning,34.38694444,-93.445
3538,AR,2005,5.76,B,Campfire,34.47361111,-93.50361111
3554,AR,2005,0.1,A,Arson,35.62638889,-93.41305556
3561,AR,2005,2.0,B,Arson,35.62611111,-93.40861111
3811,AR,2005,82.0,C,Lightning,34.81166667,-94.07555556
3817,AR,2005,20.0,C,Miscellaneous,34.76722222,-93.93027778
3818,AR,2005,5.0,B,Arson,34.81444444,-94.1275
3825,AR,2005,2.0,B,Campfire,34.86666667,-94.26694444
3831,AR,2005,0.1,A,Lightning,34.72805556,-93.99388889
3833,AR,2005,5.0,B,Miscellaneous,34.91333333,-93.91416667
3834,AR,2005,146.0,D,Equipment Use,34.85888889,-94.29861111
3840,AR,2005,0.25,A,Lightning,34.73777778,-94.11472222
3846,AR,2005,4.0,B,Arson,35.59277778,-94.40166667
3871,AR,2005,0.25,A,Equipment Use,34.74888889,-94.40583333
4154,AR,2005,11.0,C,Arson,35.58722222,-94.40777778
4301,AR,2005,5.6,B,Arson,34.67333333,-93.75055556
4345,AR,2005,0.1,A,Arson,35.7225,-93.3975
4433,AR,2005,2.5,B,Arson,35.52277778,-93.12916667
4466,AR,2005,6.0,B,Arson,36.01833333,-92.40222222
4507,AR,2005,0.1,A,Arson,35.70305556,-92.84972222
4509,AR,2005,25.5,C,Arson,35.39972222,-93.13111111
4511,AR,2005,1.0,B,Arson,36.10222222,-92.40222222
4512,AR,2005,2.75,B,Arson,35.6325,-92.87361111
4513,AR,2005,1.8,B,Arson,35.70222222,-92.84777778
4529,AR,2005,23.0,C,Debris Burning,35.52805556,-92.805
4683,AR,2005,0.5,B,Arson,35.71194444,-92.88611111
4688,AR,2005,0.1,A,Arson,35.58333333,-93.13555556
4793,AR,2005,5.0,B,Campfire,34.76888889,-93.67055556
4883,AR,2005,0.1,A,Campfire,35.7775,-93.14111111
4888,AR,2005,2.2,B,Arson,35.7975,-93.44416667
4920,AR,2005,15.0,C,Arson,36.03444444,-92.41888889
4923,AR,2005,218.0,D,Arson,36.03444444,-92.4175
4925,AR,2005,99.0,C,Arson,36.03527778,-92.43361111
4931,AR,2005,3.0,B,Arson,36.035,-92.41916667
4933,AR,2005,20.0,C,Arson,35.96833333,-92.36916667
4957,AR,2005,2.1,B,Arson,35.67333333,-93.835
4970,AR,2005,266.0,D,Arson,34.56805556,-93.54222222
5054,AR,2005,315.0,E,Miscellaneous,35.78388889,-94.095
5060,AR,2005,3.0,B,Miscellaneous,34.68944444,-93.38916667
5183,AR,2005,44.0,C,Arson,35.95138889,-92.3675
5185,AR,2005,52.0,C,Arson,35.95083333,-92.36722222
5189,AR,2005,20.0,C,Arson,35.95166667,-92.3675
5192,AR,2005,9.0,B,Arson,35.93527778,-92.3675
5195,AR,2005,2.0,B,Arson,36.03527778,-92.31694444
5277,AR,2005,23.5,C,Arson,35.66,-93.8125
5365,AR,2005,8.0,B,Arson,34.755,-94.05055556
5561,AR,2005,23.0,C,Miscellaneous,34.67361111,-93.2175
5610,AR,2005,8.0,B,Debris Burning,35.1175,-93.50805556
5709,AR,2005,23.0,C,Lightning,35.26416667,-93.58472222
5711,AR,2005,1.0,B,Debris Burning,35.16194444,-93.75194444
5835,AR,2005,10.0,C,Lightning,34.46916667,-94.1375
6131,AR,2005,275.0,D,Arson,34.81277778,-92.96388889
6157,AR,2005,25.0,C,Arson,35.61916667,-94.42027778
6333,AR,2005,16.4,C,Arson,35.60222222,-94.4325
6350,AR,2006,1.0,B,Arson,35.66861111,-94.28055556
6408,AR,2006,0.1,A,Arson,35.15138889,-93.43083333
6409,AR,2006,3.9,B,Arson,35.15611111,-93.43222222
6410,AR,2005,9.3,B,Debris Burning,34.48944444,-93.90805556
6414,AR,2005,0.25,A,Arson,34.64388889,-93.69111111
6415,AR,2005,98.0,C,Arson,34.565,-93.51361111
6423,AR,2006,14.0,C,Arson,35.65527778,-94.30194444
6425,AR,2006,54.9,C,Arson,35.61638889,-93.98444444
