,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
47,CO,2005,0.5,B,Lightning,39.29222222,-105.18305556
61,CO,2005,0.2,A,Lightning,38.91333333,-105.98361111
62,CO,2005,0.1,A,Campfire,39.10027778,-106.3675
114,CO,2005,80.0,C,Lightning,37.345,-102.80583333
205,CO,2005,2.5,B,Miscellaneous,38.89111111,-105.43194444
325,CO,2005,0.25,A,Lightning,39.3975,-105.24611111
340,CO,2005,0.1,A,Campfire,39.3525,-105.15555556
364,CO,2005,0.5,B,Lightning,39.41277778,-105.14111111
367,CO,2005,0.5,B,Lightning,39.33805556,-105.17416667
370,CO,2005,0.5,B,Lightning,39.2975,-105.05972222
372,CO,2005,0.1,A,Lightning,39.29416667,-105.19277778
378,CO,2005,0.5,B,Lightning,39.34166667,-105.32138889
381,CO,2005,0.1,A,Lightning,39.3325,-105.19805556
383,CO,2005,0.1,A,Lightning,39.36277778,-105.21222222
384,CO,2005,2.0,B,Lightning,39.48055556,-105.13666667
386,CO,2005,0.1,A,Lightning,39.3075,-105.13444444
388,CO,2005,0.3,B,Lightning,39.3525,-105.15555556
390,CO,2005,0.5,B,Lightning,39.38333333,-105.29333333
445,CO,2005,0.1,A,Debris Burning,38.88916667,-105.41
446,CO,2005,0.1,A,Miscellaneous,38.91111111,-105.42416667
512,CO,2005,0.1,A,Lightning,38.76444444,-106.00027778
514,CO,2005,0.1,A,Lightning,38.49277778,-106.04277778
515,CO,2005,0.5,B,Miscellaneous,38.72472222,-106.26833333
516,CO,2005,0.25,A,Miscellaneous,38.46861111,-106.02555556
528,CO,2005,0.2,A,Lightning,38.75638889,-105.55972222
530,CO,2005,0.1,A,Campfire,38.93583333,-105.33305556
531,CO,2005,0.01,A,Lightning,38.92,-105.43194444
532,CO,2005,0.01,A,Lightning,38.9875,-106.00388889
533,CO,2005,0.01,A,Lightning,39.03861111,-105.47416667
556,CO,2005,0.25,A,Lightning,38.86694444,-106.10111111
557,CO,2005,0.25,A,Lightning,38.89777778,-105.97444444
658,CO,2005,68.0,C,Lightning,39.43916667,-105.11805556
680,CO,2005,0.2,A,Lightning,39.29472222,-105.05611111
691,CO,2005,0.2,A,Lightning,39.51388889,-105.48555556
827,CO,2005,0.1,A,Campfire,38.85833333,-105.95916667
832,CO,2005,0.1,A,Campfire,39.16972222,-106.36333333
836,CO,2005,0.1,A,Campfire,39.15638889,-106.40972222
843,CO,2005,1.0,B,Lightning,38.80055556,-105.93555556
850,CO,2005,0.1,A,Campfire,39.16972222,-106.36333333
886,CO,2005,0.1,A,Campfire,39.24138889,-106.3775
985,CO,2005,0.1,A,Lightning,39.18777778,-105.57611111
1013,CO,2005,0.1,A,Lightning,39.37305556,-105.20777778
1037,CO,2005,0.1,A,Campfire,37.72083333,-106.69861111
1208,CO,2005,1.0,B,Miscellaneous,38.99277778,-105.31083333
1286,CO,2005,180.0,D,Lightning,37.21722222,-103.19777778
1297,CO,2005,2.0,B,Lightning,37.30138889,-102.60638889
1340,CO,2005,411.0,E,Lightning,37.04083333,-102.58805556
1342,CO,2005,12.0,C,Lightning,37.3075,-102.72166667
1525,CO,2005,245.0,D,Lightning,37.74222222,-103.86055556
1542,CO,2005,2.0,B,Lightning,38.12194444,-105.00027778
1546,CO,2005,0.25,A,Lightning,38.16583333,-105.05527778
1550,CO,2005,0.1,A,Lightning,38.12333333,-105.04444444
1560,CO,2005,0.1,A,Lightning,37.94611111,-105.01611111
1563,CO,2005,0.1,A,Lightning,38.04916667,-105.05527778
1569,CO,2005,0.1,A,Lightning,38.35888889,-105.29611111
1571,CO,2005,0.1,A,Lightning,38.11194444,-105.07166667
1585,CO,2005,0.1,A,Lightning,39.32888889,-105.25111111
1588,CO,2005,11357.0,G,Lightning,38.16972222,-105.03805556
1691,CO,2005,206.0,D,Lightning,37.11861111,-102.72805556
1693,CO,2005,0.1,A,Lightning,39.39916667,-105.19166667
1694,CO,2005,820.0,E,Lightning,37.58361111,-103.58861111
1703,CO,2005,595.0,E,Equipment Use,37.54222222,-102.34194444
1733,CO,2005,0.14,A,Lightning,38.36638889,-105.25277778
1736,CO,2005,0.1,A,Lightning,38.26805556,-105.26305556
1774,CO,2005,0.1,A,Miscellaneous,38.00527778,-105.05527778
1799,CO,2005,0.5,B,Lightning,39.23555556,-105.24583333
1836,CO,2005,0.25,A,Lightning,39.38277778,-105.47166667
1840,CO,2005,0.25,A,Miscellaneous,38.95361111,-105.31416667
1843,CO,2005,0.1,A,Lightning,39.3575,-105.76611111
1876,CO,2005,0.1,A,Lightning,38.95472222,-105.48638889
1881,CO,2005,4.3,B,Campfire,38.9225,-105.42916667
1972,CO,2005,0.1,A,Lightning,38.99055556,-105.38361111
2023,CO,2005,0.1,A,Miscellaneous,38.97277778,-105.45611111
2031,CO,2005,0.1,A,Campfire,39.09277778,-105.43166667
2046,CO,2005,0.1,A,Miscellaneous,39.32888889,-106.06027778
2061,CO,2005,0.1,A,Campfire,39.14833333,-105.09833333
2066,CO,2005,0.1,A,Campfire,38.78833333,-104.91416667
2072,CO,2005,0.1,A,Campfire,38.8975,-104.91194444
2135,CO,2005,0.1,A,Miscellaneous,38.89888889,-104.92222222
2141,CO,2005,0.1,A,Miscellaneous,38.8975,-104.91638889
2147,CO,2005,0.1,A,Campfire,38.73833333,-104.90944444
2157,CO,2005,0.1,A,Campfire,39.03166667,-105.01138889
2160,CO,2005,0.1,A,Arson,38.7375,-104.97361111
2161,CO,2005,0.1,A,Miscellaneous,38.73277778,-104.90166667
2162,CO,2005,1.0,B,Lightning,39.13527778,-105.06222222
2163,CO,2005,0.1,A,Campfire,39.03305556,-105.01777778
2164,CO,2005,0.1,A,Lightning,39.05388889,-105.20361111
2165,CO,2005,0.25,A,Miscellaneous,38.89805556,-104.91361111
2166,CO,2005,0.5,B,Lightning,38.85305556,-104.96361111
2168,CO,2005,0.1,A,Campfire,39.04611111,-105.07611111
2169,CO,2005,0.1,A,Lightning,39.07916667,-105.04472222
2170,CO,2005,0.1,A,Lightning,39.15305556,-105.10055556
2171,CO,2005,0.1,A,Lightning,39.08194444,-104.89472222
2172,CO,2005,0.1,A,Campfire,39.04916667,-104.98833333
2211,CO,2005,0.1,A,Campfire,38.74083333,-104.93972222
2213,CO,2005,0.1,A,Lightning,39.03527778,-105.09416667
2220,CO,2005,0.25,A,Lightning,39.35972222,-105.44166667
2226,CO,2005,0.1,A,Lightning,39.21805556,-105.0725
2230,CO,2005,0.2,A,Arson,39.07,-104.93
2232,CO,2005,0.1,A,Lightning,39.03861111,-104.985
2292,CO,2005,0.1,A,Campfire,38.79527778,-106.205
2366,CO,2005,0.1,A,Lightning,40.58083333,-106.60222222
2400,CO,2005,995.0,E,Lightning,37.68027778,-104.05972222
2612,CO,2005,0.25,A,Lightning,38.77944444,-105.32666667
2625,CO,2005,0.5,B,Miscellaneous,38.76,-105.45833333
2639,CO,2005,6.0,B,Miscellaneous,39.36194444,-105.38
2721,CO,2005,0.1,A,Campfire,38.84111111,-105.49305556
2726,CO,2005,0.1,A,Miscellaneous,39.42694444,-105.84138889
2731,CO,2005,0.1,A,Miscellaneous,39.42666667,-105.84083333
2799,CO,2005,0.1,A,Campfire,37.15583333,-107.09166667
2815,CO,2005,0.3,B,Lightning,37.46611111,-107.87805556
2817,CO,2005,0.1,A,Lightning,37.06222222,-106.90527778
2818,CO,2005,1.5,B,Lightning,37.17611111,-107.325
2833,CO,2005,0.1,A,Lightning,37.22694444,-107.53944444
2834,CO,2005,0.1,A,Campfire,37.27694444,-106.90138889
2835,CO,2005,0.1,A,Lightning,37.52083333,-107.78944444
2836,CO,2005,0.1,A,Lightning,37.45027778,-107.4525
2847,CO,2005,8.0,B,Lightning,37.54527778,-107.78638889
2849,CO,2005,0.1,A,Lightning,37.20444444,-107.08861111
2851,CO,2005,0.1,A,Lightning,37.30166667,-107.18083333
2856,CO,2005,0.1,A,Lightning,37.33555556,-107.175
2867,CO,2005,0.1,A,Lightning,37.37611111,-107.81694444
2877,CO,2005,0.1,A,Campfire,37.41638889,-106.74694444
2878,CO,2005,0.1,A,Lightning,37.11944444,-106.92222222
2880,CO,2005,0.5,B,Lightning,37.34083333,-107.99972222
2881,CO,2005,0.3,B,Lightning,37.35861111,-107.9425
2884,CO,2005,0.1,A,Lightning,37.16111111,-107.52972222
2886,CO,2005,0.1,A,Lightning,37.37472222,-107.88
2890,CO,2005,0.1,A,Lightning,37.23861111,-107.38861111
2904,CO,2005,0.1,A,Lightning,37.33888889,-108.00722222
2906,CO,2005,0.1,A,Lightning,37.38972222,-107.88944444
2908,CO,2005,0.2,A,Lightning,37.52,-108.57444444
2909,CO,2005,0.1,A,Lightning,37.6475,-108.34111111
2910,CO,2005,0.25,A,Lightning,37.14444444,-107.34
2911,CO,2005,0.1,A,Lightning,37.31833333,-107.245
2912,CO,2005,7.0,B,Lightning,37.10472222,-106.89611111
2958,CO,2005,0.25,A,Lightning,37.06527778,-106.88305556
2974,CO,2005,3.0,B,Lightning,37.38944444,-107.26416667
2977,CO,2005,0.1,A,Lightning,37.37555556,-106.92416667
2981,CO,2005,0.1,A,Lightning,37.43944444,-106.91555556
2983,CO,2005,0.25,A,Lightning,37.29166667,-107.25361111
2987,CO,2005,2.5,B,Lightning,37.28,-107.21722222
2989,CO,2005,0.1,A,Campfire,37.27611111,-106.85972222
2991,CO,2005,0.25,A,Lightning,37.15833333,-106.98111111
3021,CO,2005,0.1,A,Lightning,37.53388889,-108.50333333
3026,CO,2005,0.1,A,Lightning,37.36305556,-107.44388889
3032,CO,2005,15.0,C,Lightning,37.49527778,-107.12222222
3099,CO,2005,0.1,A,Campfire,39.03027778,-105.43111111
3775,CO,2005,0.3,B,Lightning,39.17444444,-105.07361111
3866,CO,2005,0.1,A,Campfire,40.56861111,-105.47305556
3869,CO,2005,0.1,A,Equipment Use,40.63694444,-105.31611111
3873,CO,2005,0.4,B,Equipment Use,40.56916667,-105.3625
3876,CO,2005,0.3,B,Lightning,40.44527778,-105.25472222
3885,CO,2005,0.1,A,Lightning,40.23916667,-105.49833333
3887,CO,2005,1.4,B,Lightning,40.88361111,-105.58861111
3900,CO,2005,4.1,B,Lightning,40.90527778,-105.41722222
3903,CO,2005,0.1,A,Campfire,40.76305556,-105.6575
3904,CO,2005,0.1,A,Lightning,40.45333333,-105.35333333
3906,CO,2005,14.0,C,Lightning,40.41555556,-105.35055556
3908,CO,2005,5.9,B,Lightning,40.33638889,-105.36694444
3909,CO,2005,2.0,B,Lightning,40.84805556,-105.52361111
4063,CO,2005,4.4,B,Lightning,40.43083333,-105.25916667
4065,CO,2005,45.0,C,Lightning,40.78,-105.65861111
4070,CO,2005,0.1,A,Lightning,40.9175,-105.71944444
4193,CO,2005,0.1,A,Lightning,40.76222222,-105.66722222
4198,CO,2005,0.25,A,Lightning,40.83861111,-105.45888889
4200,CO,2005,0.2,A,Campfire,40.63388889,-105.3925
4201,CO,2005,0.1,A,Lightning,40.63944444,-105.47777778
4202,CO,2005,0.25,A,Lightning,40.87277778,-105.52027778
4206,CO,2005,0.1,A,Campfire,40.67361111,-105.47583333
4207,CO,2005,0.1,A,Campfire,40.69055556,-105.49833333
4210,CO,2005,0.1,A,Miscellaneous,40.84722222,-105.69583333
4226,CO,2005,11.0,C,Lightning,40.90972222,-105.50027778
4228,CO,2005,0.1,A,Smoking,40.86166667,-105.8325
4229,CO,2005,1.9,B,Campfire,40.74027778,-105.63611111
4232,CO,2005,0.1,A,Campfire,40.70638889,-105.36611111
4233,CO,2005,30.5,C,Lightning,40.915,-105.5875
4327,CO,2005,12.0,C,Lightning,37.42333333,-107.15222222
4403,CO,2005,50.1,C,Miscellaneous,40.67638889,-104.50694444
4431,CO,2005,0.1,A,Lightning,37.235,-106.81722222
4434,CO,2005,0.1,A,Lightning,37.33166667,-107.17166667
4476,CO,2005,0.1,A,Lightning,37.44638889,-108.25583333
4478,CO,2005,0.1,A,Lightning,37.52527778,-108.55861111
4480,CO,2005,0.3,B,Lightning,37.78583333,-108.53972222
4481,CO,2005,0.1,A,Campfire,37.51416667,-108.44972222
4483,CO,2005,3.3,B,Lightning,37.67555556,-108.68305556
4486,CO,2005,0.3,B,Lightning,37.48527778,-108.26916667
4487,CO,2005,0.1,A,Lightning,37.45611111,-108.27916667
