,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
242268,CT,1993,6.0,B,Miscellaneous,41.9233,-73.35331
365924,CT,2002,0.3,B,Miscellaneous,41.28777778,-72.46777778
1063717,CT,2007,0.1,A,Arson,41.06666667,-73.3925
1272345,CT,2010,0.1,A,Campfire,41.4096829,-72.4847352
1272346,CT,2010,0.1,A,Miscellaneous,41.4096829,-72.4847352
1272347,CT,2010,0.4,B,Campfire,41.5573768,-72.3442483
1272348,CT,2010,1.3,B,Debris Burning,41.5573768,-72.3442483
1272349,CT,2010,0.4,B,Smoking,41.4766614,-72.39212009999999
1272350,CT,2010,0.4,B,Campfire,41.4766614,-72.39212009999999
1272351,CT,2010,1.6,B,Smoking,41.5677366,-72.5095441
1272352,CT,2010,0.1,A,Debris Burning,41.983993,-72.5555531
1272353,CT,2010,0.1,A,Debris Burning,41.983993,-72.5555531
1272354,CT,2010,1.3,B,Smoking,41.983993,-72.5555531
1272355,CT,2010,0.5,B,Smoking,41.983993,-72.5555531
1272356,CT,2010,0.2,A,Campfire,41.983993,-72.5555531
1272357,CT,2010,0.1,A,Campfire,41.983993,-72.5555531
1272358,CT,2010,0.5,B,Smoking,41.983993,-72.5555531
1272359,CT,2010,0.6,B,Smoking,41.983993,-72.5555531
1272360,CT,2010,0.2,A,Smoking,41.3473533,-72.41241219999999
1272361,CT,2010,0.1,A,Missing/Undefined,41.481264200000005,-72.5481469
1272362,CT,2010,0.1,A,Campfire,41.481264200000005,-72.5481469
1272363,CT,2010,1.0,B,Miscellaneous,41.481264200000005,-72.5481469
1272364,CT,2010,0.6,B,Miscellaneous,41.481264200000005,-72.5481469
1272365,CT,2010,1.0,B,Children,41.481264200000005,-72.5481469
1272366,CT,2010,0.1,A,Arson,41.783030100000005,-72.0645718
1272367,CT,2010,0.2,A,Debris Burning,41.6583378,-72.3934727
1272368,CT,2010,3.0,B,Campfire,41.6583378,-72.3934727
1272369,CT,2010,0.2,A,Smoking,41.6583378,-72.3934727
1272370,CT,2010,2.0,B,Debris Burning,41.380739500000004,-72.57665899999999
1272371,CT,2010,2.0,B,Campfire,41.3986146,-72.33154559999998
1272372,CT,2010,4.0,B,Debris Burning,41.7752403,-72.524434
1272373,CT,2010,0.2,A,Debris Burning,41.789272499999996,-72.2284642
1272374,CT,2010,1.2,B,Debris Burning,41.789272499999996,-72.2284642
1272375,CT,2010,0.2,A,Equipment Use,41.636439,-72.45400179999999
