,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
242167,DC,1999,0.1,A,Miscellaneous,38.88669,-76.9451
242168,DC,1999,0.1,A,Miscellaneous,38.91193,-76.942739
242169,DC,1999,0.1,A,Miscellaneous,38.8867,-76.94530999999999
242170,DC,1999,0.1,A,Miscellaneous,38.8626,-76.98591
242172,DC,1992,0.2,A,Arson,38.938320000000004,-77.0374
242173,DC,1992,0.1,A,Arson,38.95916,-77.01434
242174,DC,1993,0.3,B,Arson,38.948370000000004,-77.00484
242175,DC,1993,0.7,B,Arson,38.93587,-76.98836999999999
242176,DC,1993,1.0,B,Arson,38.9333,-77.05
242177,DC,1993,4.0,B,Arson,38.9333,-77.05
242178,DC,1993,3.2,B,Arson,38.93851,-77.04961
242179,DC,1993,0.5,B,Arson,38.94312,-77.05096999999999
242180,DC,1993,0.1,A,Miscellaneous,38.907959999999996,-77.05451
242181,DC,1994,0.1,A,Smoking,38.93848,-77.03626
242182,DC,1994,0.2,A,Children,38.948409999999996,-77.04179
242183,DC,1994,0.1,A,Smoking,38.90735,-77.05496
242184,DC,1994,4.7,B,Arson,38.95762,-77.05395
242185,DC,1995,0.1,A,Arson,38.959140000000005,-77.01541999999999
242186,DC,1995,0.1,A,Debris Burning,38.953720000000004,-77.04963000000001
242187,DC,1995,0.2,A,Arson,38.93827,-77.03788
242188,DC,1995,0.1,A,Equipment Use,38.93059,-77.04547
242189,DC,1997,0.1,A,Miscellaneous,38.91342,-77.0613
242190,DC,1997,0.1,A,Miscellaneous,38.96033,-77.0143
242191,DC,1997,0.1,A,Miscellaneous,38.96055,-77.01369
242192,DC,1998,0.1,A,Equipment Use,38.93632,-77.04595
242193,DC,1998,0.1,A,Miscellaneous,38.913509999999995,-77.08118
242194,DC,1998,0.5,B,Miscellaneous,38.91653,-77.08213
242195,DC,1998,1.0,B,Miscellaneous,38.94787,-77.04983
242196,DC,1998,0.4,B,Miscellaneous,38.94847,-77.0041
242197,DC,1998,1.2,B,Miscellaneous,38.94784,-77.00483
242198,DC,1998,0.1,A,Miscellaneous,38.95428,-77.05219
242199,DC,1998,0.2,A,Miscellaneous,38.93696,-77.04083
242200,DC,1998,0.1,A,Miscellaneous,38.94124,-77.0485
242201,DC,1998,0.1,A,Miscellaneous,38.95507,-77.04086
242202,DC,1998,0.4,B,Miscellaneous,38.9142,-77.08055999999999
242203,DC,1998,0.1,A,Smoking,38.96322,-77.03868
242204,DC,1998,0.1,A,Smoking,38.98863,-77.04048
242205,DC,1999,0.1,A,Miscellaneous,38.95465,-77.04028000000001
242206,DC,1999,0.1,A,Miscellaneous,38.95915,-77.01479
242207,DC,1999,1.0,B,Miscellaneous,38.95817,-77.05931
242208,DC,1999,0.5,B,Smoking,38.90574,-77.07574
242225,DC,1992,0.1,A,Campfire,38.92045,-77.105136
354628,DC,2001,0.1,A,Campfire,38.95688,-77.04055
354629,DC,2002,1.0,B,Arson,38.94784,-77.00480999999999
354630,DC,2005,0.1,A,Arson,38.95171,-77.07567
354631,DC,2005,0.1,A,Arson,38.95171,-77.07567
354632,DC,2006,0.3,B,Arson,38.95,-77.05
354633,DC,2006,0.1,A,Miscellaneous,38.916909999999994,-77.066238
354634,DC,2006,0.1,A,Miscellaneous,38.9417,-77.0333
354635,DC,2007,0.2,A,Smoking,38.95008,-77.005166
354636,DC,2008,0.1,A,Miscellaneous,38.95,-77.0417
354637,DC,2009,0.5,B,Miscellaneous,38.9583,-77.0417
1065123,DC,1995,0.1,A,Arson,38.93602,-76.98648
1219330,DC,2010,0.1,A,Lightning,38.9522,-77.05
1470047,DC,2011,0.1,A,Missing/Undefined,38.9528,-77.0542
1470049,DC,2011,0.1,A,Arson,38.9192,-77.1044
1573677,DC,2012,0.3,B,Miscellaneous,38.8792,-76.9586
1573678,DC,2012,1.5,B,Children,38.8775,-76.9572
1573679,DC,2012,0.8,B,Miscellaneous,38.8664,-76.9581
1573680,DC,2012,0.6,B,Miscellaneous,38.8664,-76.9642
1573681,DC,2012,1.2,B,Miscellaneous,38.8683,-76.9511
1645068,DC,2013,0.1,A,Arson,38.9597,-77.0142
1730756,DC,2014,0.2,A,Debris Burning,38.9356,-77.0786
1798226,DC,2015,2.0,B,Miscellaneous,38.8558,-76.9769
1798227,DC,2015,0.1,A,Smoking,38.9417,-77.05
1798228,DC,2015,0.1,A,Miscellaneous,38.9603,-77.0142
