,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
358913,DE,1992,120.0,D,Arson,39.25,-75.41666667
358914,DE,1992,1.0,B,Arson,38.78333333,-75.2
358915,DE,1992,3.0,B,Arson,38.78333333,-75.2
359334,DE,1993,1.0,B,Miscellaneous,38.78333333,-75.2
359812,DE,1994,95.0,C,Arson,39.23333333,-75.45
359813,DE,1994,1.0,B,Miscellaneous,38.8297,-75.2342
360294,DE,1995,2000.0,F,Arson,39.2,-75.42083000000001
360295,DE,1995,0.1,A,Debris Burning,38.8467,-75.2381
360296,DE,1995,0.1,A,Arson,38.7,-75.2
360297,DE,1995,14.0,C,Arson,38.8131,-75.2
360298,DE,1995,0.2,A,Arson,38.7,-75.2
361335,DE,1997,0.1,A,Equipment Use,39.28333333,-75.5
361336,DE,1997,3.0,B,Arson,38.82528,-75.22278
361337,DE,1997,2.0,B,Arson,38.8122,-75.2
361338,DE,1997,4.5,B,Arson,38.8117,-75.2
361339,DE,1997,15.0,C,Arson,38.8067,-75.2
362734,DE,1999,7.0,B,Miscellaneous,39.2903,-75.5
362735,DE,1999,500.0,E,Miscellaneous,39.21666667,-75.41666667
364920,DE,2001,10.5,C,Arson,38.8089,-75.2
365925,DE,2002,1250.0,F,Miscellaneous,38.9092,-75.3058
368178,DE,2004,100.0,D,Arson,38.625,-75.69166667
369446,DE,2005,160.0,D,Miscellaneous,38.56833333,-75.37222222
371936,DE,2007,0.1,A,Miscellaneous,39.20888889,-75.46305556
371937,DE,2007,0.1,A,Miscellaneous,38.87833333,-75.28111111
374095,DE,2004,0.5,B,Miscellaneous,39.72,-75.65
374096,DE,2003,0.1,A,Miscellaneous,39.72,-75.66
374097,DE,2005,1.0,B,Miscellaneous,39.73,-75.65
374098,DE,2005,0.1,A,Miscellaneous,39.73,-75.65
374099,DE,2004,0.5,B,Miscellaneous,39.73,-75.62
374100,DE,2004,0.5,B,Miscellaneous,39.71,-75.68
