,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
244302,HI,1992,0.6,B,Miscellaneous,20.7617,-156.2453
244303,HI,1992,0.2,A,Miscellaneous,20.6667,-156.1167
244304,HI,1992,3.0,B,Miscellaneous,20.7922,-156.2678
244305,HI,1992,0.4,B,Miscellaneous,20.6667,-156.1167
244306,HI,1993,0.1,A,Campfire,20.7,-156.2
244307,HI,1993,0.1,A,Campfire,20.7167,-156.25
244308,HI,1997,0.1,A,Campfire,20.7644,-156.2439
244309,HI,1997,0.1,A,Equipment Use,20.7581,-156.2486
244310,HI,1999,0.1,A,Equipment Use,20.7667,-156.25
244311,HI,1992,0.1,A,Campfire,19.4167,-155.25
244312,HI,1992,0.1,A,Campfire,19.4167,-155.25
244313,HI,1992,0.1,A,Campfire,19.277720000000002,-155.34554
244314,HI,1992,0.1,A,Campfire,19.3167,-155.2667
244315,HI,1992,0.1,A,Campfire,19.4167,-155.2833
244316,HI,1992,0.1,A,Campfire,19.4167,-155.3
244317,HI,1992,0.1,A,Campfire,19.35,-155.2167
244318,HI,1992,0.1,A,Campfire,19.30248,-155.2095
244319,HI,1992,0.1,A,Campfire,19.3208,-155.2667
244320,HI,1992,0.1,A,Campfire,19.4333,-155.3
244321,HI,1992,0.1,A,Campfire,19.4167,-155.2833
244322,HI,1992,0.1,A,Campfire,19.4167,-155.2833
244323,HI,1992,0.1,A,Campfire,19.4333,-155.3
244324,HI,1992,0.1,A,Campfire,19.4,-155.2833
244325,HI,1992,0.1,A,Campfire,19.4208,-155.2833
244326,HI,1992,4700.0,F,Miscellaneous,19.3833,-155.1333
244327,HI,1992,0.1,A,Campfire,19.4333,-155.3
244328,HI,1992,0.1,A,Campfire,19.3167,-155.2667
244329,HI,1992,0.1,A,Miscellaneous,19.290029999999998,-155.1203
244330,HI,1992,0.1,A,Campfire,19.32266,-155.0529
244331,HI,1992,0.1,A,Miscellaneous,19.2833,-155.4833
244332,HI,1992,0.1,A,Campfire,19.4333,-155.3
244333,HI,1992,0.1,A,Campfire,19.4167,-155.2833
244334,HI,1992,988.0,E,Miscellaneous,19.3833,-155.1
244335,HI,1992,0.1,A,Campfire,19.4333,-155.3
244336,HI,1992,0.1,A,Campfire,19.323,-155.04984
244337,HI,1992,1566.0,F,Miscellaneous,19.3833,-155.1
244338,HI,1992,0.1,A,Debris Burning,19.4167,-155.1667
244339,HI,1992,0.1,A,Debris Burning,19.42752,-155.23633999999998
244340,HI,1993,927.0,E,Miscellaneous,19.3833,-155.1
244341,HI,1993,0.1,A,Campfire,19.4167,-155.2833
244342,HI,1993,0.1,A,Campfire,19.4167,-155.2833
244343,HI,1993,0.1,A,Campfire,19.4167,-155.2833
244344,HI,1993,0.1,A,Smoking,19.3971,-155.23973
244345,HI,1993,5.0,B,Smoking,19.29518,-155.11327
244346,HI,1993,20.0,C,Miscellaneous,19.324,-155.04632
244347,HI,1993,0.1,A,Campfire,19.3333,-155.2667
244348,HI,1993,0.1,A,Campfire,19.4167,-155.2833
244349,HI,1994,0.1,A,Campfire,19.4167,-155.2833
244350,HI,1994,1.0,B,Miscellaneous,19.3333,-155.0333
244351,HI,1994,0.1,A,Smoking,19.334120000000002,-155.16743
244352,HI,1994,0.1,A,Campfire,19.3167,-155.2667
244353,HI,1994,0.1,A,Campfire,19.3167,-155.2667
244354,HI,1994,40.0,C,Miscellaneous,19.30225,-155.10016000000002
244355,HI,1994,37.0,C,Miscellaneous,19.3172,-155.0817
244356,HI,1994,0.1,A,Campfire,19.4333,-155.3
244357,HI,1994,0.1,A,Campfire,19.4333,-155.3
244358,HI,1995,396.0,E,Miscellaneous,19.3167,-155.0667
244359,HI,1995,0.1,A,Campfire,19.4167,-155.2833
244360,HI,1995,0.1,A,Campfire,19.4167,-155.2833
244361,HI,1995,0.1,A,Campfire,19.4333,-155.2667
244362,HI,1995,25.0,C,Miscellaneous,19.3167,-155.0667
244363,HI,1995,181.0,D,Miscellaneous,19.3333,-155.0625
244364,HI,1995,5.0,B,Debris Burning,19.42119,-155.34188999999998
244365,HI,1995,0.1,A,Campfire,19.4167,-155.2833
244366,HI,1995,0.1,A,Lightning,19.3333,-155.3
244367,HI,1996,5.0,B,Miscellaneous,19.3333,-155.05
244368,HI,1996,300.0,E,Miscellaneous,19.365,-155.1161
244369,HI,1996,5.0,B,Miscellaneous,19.3333,-155.0667
244370,HI,1996,0.1,A,Campfire,19.4167,-155.3
244371,HI,1996,0.1,A,Campfire,19.4333,-155.2917
244372,HI,1996,0.1,A,Campfire,19.4403,-155.3058
244373,HI,1997,0.1,A,Campfire,19.4167,-155.3
244374,HI,1997,1.0,B,Miscellaneous,19.3833,-155.1333
244375,HI,1997,50.0,C,Miscellaneous,19.3333,-155.0833
244376,HI,1997,0.1,A,Campfire,19.4167,-155.3
244377,HI,1997,0.1,A,Campfire,19.4167,-155.2833
244378,HI,1997,0.1,A,Campfire,19.4167,-155.3
244379,HI,1997,0.1,A,Campfire,19.4167,-155.3
244380,HI,1997,0.1,A,Campfire,19.3333,-155.2667
244381,HI,1997,0.1,A,Campfire,19.4167,-155.3
244382,HI,1997,0.1,A,Campfire,19.3333,-155.2667
244383,HI,1998,30.0,C,Miscellaneous,19.3333,-155.0625
244384,HI,1998,0.6,B,Miscellaneous,19.375,-155.2167
244385,HI,1999,0.1,A,Campfire,19.44184,-155.2989
244386,HI,1999,0.1,A,Campfire,19.3319,-155.2833
244387,HI,1999,0.1,A,Campfire,19.4272,-155.2992
244388,HI,1998,0.1,A,Debris Burning,21.1439,-156.94123000000002
244389,HI,1998,0.1,A,Debris Burning,21.16553,-157.00045
356604,HI,2000,0.3,B,Campfire,20.6622,-156.0442
356605,HI,2005,0.1,A,Smoking,20.7831,-156.2397
356606,HI,2005,0.1,A,Smoking,20.7694,-156.2389
356607,HI,2000,0.1,A,Campfire,19.4983,-155.3878
356608,HI,2000,1008.0,F,Equipment Use,19.4478,-155.29134
356609,HI,2001,0.1,A,Campfire,19.4283,-155.2992
356610,HI,2001,0.2,A,Smoking,19.3933,-155.2514
356611,HI,2001,0.1,A,Campfire,19.4167,-155.2833
356612,HI,2001,0.1,A,Campfire,19.4167,-155.2833
356613,HI,2002,0.1,A,Fireworks,19.4167,-155.2833
356614,HI,2002,3407.0,F,Miscellaneous,19.3433,-155.1175
356615,HI,2002,7.0,B,Miscellaneous,19.3333,-155.0833
356616,HI,2002,100.0,D,Miscellaneous,19.3333,-155.0333
356617,HI,2002,0.1,A,Smoking,19.30498,-155.08886
356618,HI,2002,0.1,A,Miscellaneous,19.3169,-155.15
356619,HI,2002,86.0,C,Miscellaneous,19.3667,-155.0833
356620,HI,2002,5.0,B,Miscellaneous,19.35,-155.0667
356621,HI,2002,5.0,B,Miscellaneous,19.37294,-155.08359
356622,HI,2002,46.0,C,Miscellaneous,19.37632,-155.0993
356623,HI,2002,0.3,B,Miscellaneous,19.387320000000003,-155.11253
356624,HI,2003,2019.0,F,Miscellaneous,19.3167,-155.1
356625,HI,2003,40.0,C,Lightning,19.1822,-155.44456
356626,HI,2003,4930.0,F,Miscellaneous,19.28729,-155.12935
356627,HI,2003,3.0,B,Miscellaneous,19.3333,-155.1
356628,HI,2003,52.0,C,Miscellaneous,19.3167,-155.0833
356629,HI,2003,50.0,C,Miscellaneous,19.3214,-155.095
356630,HI,2003,65.0,C,Miscellaneous,19.3333,-155.1
356631,HI,2004,0.1,A,Miscellaneous,19.3781,-155.2414
356632,HI,2004,656.0,E,Lightning,19.2831,-155.3597
356633,HI,2005,0.2,A,Equipment Use,19.3653,-155.2292
356634,HI,2005,5.0,B,Campfire,19.0642,-155.6842
356635,HI,2007,4.0,B,Miscellaneous,19.3833,-155.1667
356636,HI,2007,0.1,A,Miscellaneous,19.4497,-155.1894
356637,HI,2008,0.1,A,Arson,19.4331,-155.2769
356638,HI,2008,0.1,A,Campfire,19.4303,-155.2997
356639,HI,2009,0.1,A,Lightning,19.1331,-155.7331
356640,HI,2003,70.0,C,Campfire,20.0,-155.2725
356641,HI,2007,6.0,B,Arson,20.0269,-155.8178
361968,HI,1998,7.1,B,Miscellaneous,21.38333333,-157.98333333
361969,HI,1998,0.1,A,Miscellaneous,21.38333333,-157.98333333
363947,HI,2000,1400.0,F,Debris Burning,19.79166667,-155.36666667
363948,HI,2000,5.0,B,Miscellaneous,19.86666667,-155.33888889
363949,HI,2000,200.0,D,Miscellaneous,19.78416667,-155.33861111
365960,HI,2002,250.0,D,Debris Burning,19.79583333,-155.33722222
372065,HI,2007,30.0,C,Miscellaneous,21.9525,-159.37777778
372751,HI,2008,2800.0,F,Miscellaneous,19.85111111,-155.34555556
372752,HI,2008,150.0,D,Miscellaneous,19.78194,-155.34583
372753,HI,2008,400.0,E,Miscellaneous,19.78667,-155.34528
462057,HI,2007,360.0,E,Arson,21.566670000000002,-158.2333
462058,HI,2007,8.0,B,Miscellaneous,20.683329999999998,-156.3167
462059,HI,2003,2100.0,F,Miscellaneous,20.633329999999997,-156.2167
1063385,HI,1992,0.1,A,Arson,19.6885,-156.03038999999998
1063386,HI,1992,0.1,A,Debris Burning,19.6898,-156.03195
1063387,HI,1992,2800.0,F,Campfire,20.0264,-155.8228
1063388,HI,1998,100.0,D,Fireworks,20.0336,-155.8281
1063598,HI,2007,0.1,A,Arson,20.6603,-156.0425
1063599,HI,2007,0.1,A,Arson,20.0311,-155.8242
1183752,HI,2009,900.0,E,Lightning,19.29,-155.49
1219538,HI,2010,0.1,A,Arson,19.3236,-155.1664
1219539,HI,2010,0.1,A,Equipment Use,19.47825,-155.37339
1219540,HI,2010,0.1,A,Campfire,19.2831,-155.2664
1219541,HI,2010,0.1,A,Arson,20.7686,-156.2372
1219542,HI,2010,0.1,A,Lightning,19.31,-155.2964
1219821,HI,2010,1.0,B,Railroad,21.697,-157.9758
1262477,HI,2010,100.0,D,Debris Burning,19.42,-155.37
1262478,HI,2010,600.0,E,Miscellaneous,19.96,-155.55
1262479,HI,2010,10.0,C,Miscellaneous,19.5,-155.46
1470216,HI,2011,0.1,A,Fireworks,20.7489,-156.2358
1470217,HI,2011,2076.0,F,Miscellaneous,19.3803,-155.1236
1470218,HI,2011,0.1,A,Campfire,19.2514,-155.2069
1470219,HI,2011,140.0,D,Miscellaneous,19.3694,-155.125
1521241,HI,2011,338.0,E,Lightning,19.48,-155.44
1573756,HI,2012,0.1,A,Miscellaneous,19.3686,-155.3675
1613913,HI,2012,10.0,C,Miscellaneous,20.1,-155.53
1613914,HI,2012,22.0,C,Miscellaneous,19.55,-155.19
1613915,HI,2012,1.0,B,Miscellaneous,19.44,-154.85
1613916,HI,2012,1000.0,F,Miscellaneous,19.43,-155.4
1614504,HI,2012,220.0,D,Equipment Use,22.07,-159.42
1614505,HI,2012,652.0,E,Miscellaneous,22.02,-159.41
1645109,HI,2013,0.2,A,Miscellaneous,19.2253,-155.6833
1645110,HI,2013,0.1,A,Lightning,19.1217,-155.7169
1651091,HI,2013,0.1,A,Arson,20.79638889,-156.49083333
1657031,HI,2013,3.0,B,Debris Burning,19.5005,-155.4712
1657032,HI,2013,3.0,B,Debris Burning,19.5032,-155.4523
1657033,HI,2013,688.0,E,Debris Burning,19.5032,-155.4517
1657034,HI,2013,3.0,B,Miscellaneous,19.5529,-155.1954
1657035,HI,2013,3.0,B,Miscellaneous,19.5529,-155.1954
1730829,HI,2014,0.1,A,Lightning,19.4317,-155.2583
