,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
178377,IA,1994,46.9,C,Debris Burning,42.1167,-96.367
182484,IA,1992,1.8,B,Miscellaneous,42.0,-92.6669
182485,IA,1993,15.0,C,Miscellaneous,41.9833,-92.6335
182486,IA,1993,5.0,B,Miscellaneous,41.975,-92.6335
182487,IA,1993,10.0,C,Miscellaneous,41.9744,-92.6391
182488,IA,1994,38.0,C,Miscellaneous,41.9778,-92.6391
182489,IA,1994,10.0,C,Debris Burning,41.9567,-92.6346
182490,IA,1994,10.0,C,Miscellaneous,41.9605,-92.63600000000001
182491,IA,1995,2.0,B,Miscellaneous,41.9608,-92.6363
182492,IA,1995,5.0,B,Debris Burning,41.9575,-92.6346
182493,IA,1995,1.0,B,Miscellaneous,41.9572,-92.6349
182494,IA,1995,30.0,C,Miscellaneous,41.9567,-92.6355
182495,IA,1996,6.5,B,Miscellaneous,41.9561,-92.6363
182496,IA,1996,1.0,B,Miscellaneous,41.9555,-92.6369
182497,IA,1996,80.0,C,Miscellaneous,41.9983,-92.63799999999999
182498,IA,1996,50.0,C,Debris Burning,41.9667,-92.6408
182499,IA,1996,5.0,B,Miscellaneous,41.9694,-92.6419
182500,IA,1996,5.0,B,Fireworks,41.9722,-92.6419
182501,IA,1996,70.0,C,Debris Burning,41.9736,-92.6433
182502,IA,1996,50.0,C,Miscellaneous,41.9728,-92.6374
182503,IA,1996,75.0,C,Debris Burning,41.975,-92.6391
182504,IA,1996,0.5,B,Debris Burning,41.9789,-92.64299999999999
182505,IA,1996,3.0,B,Miscellaneous,41.9805,-92.6502
182506,IA,1996,2.0,B,Debris Burning,41.9805,-92.646
182507,IA,1996,0.3,B,Miscellaneous,41.9819,-92.6446
182508,IA,1996,17.0,C,Arson,41.9939,-92.6563
182509,IA,1996,5.0,B,Debris Burning,41.9944,-92.6963
182510,IA,1996,5.0,B,Debris Burning,41.9889,-92.6938
182511,IA,1996,30.0,C,Miscellaneous,41.98,-92.6835
182512,IA,1996,100.0,D,Debris Burning,41.9908,-92.6855
182513,IA,1996,5.0,B,Debris Burning,41.9958,-92.6924
182514,IA,1996,3.0,B,Miscellaneous,41.9917,-92.6891
182515,IA,1996,25.0,C,Miscellaneous,41.9972,-91.6899
182516,IA,1996,2.0,B,Miscellaneous,41.9867,-92.6966
182517,IA,1996,50.0,C,Miscellaneous,41.9947,-92.6641
182518,IA,1996,2.0,B,Miscellaneous,41.9967,-92.6516
182519,IA,1996,50.0,C,Miscellaneous,42.0,-92.663
182520,IA,1997,1.5,B,Debris Burning,41.9667,-92.62799999999999
182521,IA,1997,2.0,B,Miscellaneous,41.9667,-92.6299
182522,IA,1997,0.5,B,Miscellaneous,41.9667,-92.633
182523,IA,1997,0.5,B,Miscellaneous,41.95,-92.6332
182524,IA,1997,6.0,B,Miscellaneous,41.95,-92.63600000000001
182525,IA,1997,0.5,B,Miscellaneous,41.9661,-92.633
182526,IA,1997,10.0,C,Debris Burning,41.95,-92.6302
182527,IA,1997,50.0,C,Miscellaneous,41.983000000000004,-92.68299999999999
182528,IA,1997,20.0,C,Miscellaneous,41.983000000000004,-92.68299999999999
182529,IA,1997,2.0,B,Miscellaneous,41.9661,-92.633
182530,IA,1998,10.0,C,Miscellaneous,41.9742,-92.6333
182531,IA,1998,10.0,C,Miscellaneous,41.998000000000005,-92.6833
182532,IA,1998,50.0,C,Miscellaneous,41.995,-92.6827
182533,IA,1999,1.0,B,Miscellaneous,41.9605,-92.6285
182534,IA,1999,1.0,B,Miscellaneous,41.9667,-92.6499
182535,IA,1999,1.0,B,Miscellaneous,41.9622,-92.6257
182536,IA,1999,2.0,B,Miscellaneous,41.9833,-92.6696
182537,IA,1999,1.0,B,Powerline,41.9825,-92.646
182538,IA,1999,50.0,C,Miscellaneous,41.9664,-92.6499
182539,IA,1999,0.5,B,Miscellaneous,41.9667,-92.6332
182540,IA,1999,50.0,C,Miscellaneous,41.9683,-92.6291
182541,IA,1999,15.0,C,Miscellaneous,41.9797,-92.64299999999999
182542,IA,1999,85.0,C,Miscellaneous,41.9667,-92.6499
182543,IA,1999,1.0,B,Miscellaneous,41.983000000000004,-92.6541
259916,IA,2009,6.0,B,Campfire,42.0825,-96.2725
268781,IA,2000,2.0,B,Arson,41.9864,-92.6963
268782,IA,2000,2.0,B,Arson,41.9658,-92.6455
268783,IA,2000,3.0,B,Miscellaneous,42.0011,-92.6405
268784,IA,2000,2.0,B,Arson,41.9905,-92.6969
268785,IA,2000,0.5,B,Arson,41.9667,-92.6558
268786,IA,2000,2.0,B,Miscellaneous,41.9833,-92.6696
268787,IA,2000,1.0,B,Debris Burning,41.9828,-92.64299999999999
268788,IA,2001,2.0,B,Debris Burning,42.0011,-92.6405
268789,IA,2001,0.3,B,Miscellaneous,41.9864,-92.6544
268790,IA,2002,101.0,D,Miscellaneous,41.9667,-92.6252
268791,IA,2002,1.0,B,Miscellaneous,41.9639,-92.6441
268792,IA,2002,0.2,A,Miscellaneous,41.9644,-92.6496
268793,IA,2002,42.0,C,Miscellaneous,41.9708,-92.6419
268794,IA,2002,1.0,B,Debris Burning,42.0019,-92.6521
268795,IA,2002,2.0,B,Debris Burning,42.0019,-92.6683
268796,IA,2002,3.0,B,Debris Burning,41.9869,-92.65100000000001
268797,IA,2002,1.0,B,Debris Burning,41.9842,-92.6458
268798,IA,2002,17.0,C,Miscellaneous,41.9969,-92.696
268799,IA,2002,4.0,B,Debris Burning,41.9947,-92.65100000000001
268800,IA,2002,0.1,A,Powerline,41.995,-92.6485
268801,IA,2002,0.1,A,Equipment Use,41.9886,-92.6538
268802,IA,2002,2.0,B,Debris Burning,41.9958,-92.6438
268803,IA,2002,4.0,B,Miscellaneous,41.9964,-92.6419
268804,IA,2002,0.3,B,Equipment Use,41.9955,-92.6424
268805,IA,2003,2.0,B,Debris Burning,41.9961,-92.6408
268806,IA,2003,4.0,B,Miscellaneous,41.9586,-92.6202
268807,IA,2003,1.0,B,Miscellaneous,41.968,-92.6349
268808,IA,2003,3.0,B,Miscellaneous,41.9578,-92.6252
268809,IA,2003,4.0,B,Miscellaneous,41.9603,-92.6274
268810,IA,2003,0.1,A,Miscellaneous,41.9953,-92.6946
268811,IA,2003,0.1,A,Miscellaneous,41.9992,-92.6394
268812,IA,2003,2.0,B,Miscellaneous,41.9575,-92.6202
268813,IA,2003,5.0,B,Miscellaneous,41.9569,-92.6238
268814,IA,2003,150.0,D,Miscellaneous,41.9758,-92.6494
268815,IA,2003,200.0,D,Miscellaneous,41.9764,-92.6499
268816,IA,2003,1.0,B,Miscellaneous,41.96,-92.6282
268817,IA,2003,1.0,B,Miscellaneous,41.9255,-92.6146
268818,IA,2003,1.0,B,Miscellaneous,41.9925,-92.6499
268819,IA,2003,0.3,B,Equipment Use,41.9989,-92.6746
268820,IA,2003,1.0,B,Miscellaneous,41.9969,-92.6491
268821,IA,2003,40.0,C,Miscellaneous,42.0061,-92.6502
268822,IA,2003,40.0,C,Miscellaneous,41.9933,-92.6833
268823,IA,2004,3.0,B,Miscellaneous,41.9611,-92.6363
268824,IA,2004,10.0,C,Miscellaneous,41.9605,-92.6352
268825,IA,2004,2.0,B,Miscellaneous,42.0133,-92.646
268826,IA,2004,4.0,B,Miscellaneous,41.9694,-92.6249
268827,IA,2004,5.0,B,Miscellaneous,41.9728,-92.6385
268828,IA,2004,6.0,B,Miscellaneous,41.9589,-92.6346
268829,IA,2004,1.0,B,Debris Burning,42.0028,-92.6502
268830,IA,2004,400.0,E,Debris Burning,41.9953,-92.6963
268831,IA,2004,20.0,C,Miscellaneous,41.98,-92.6608
268832,IA,2004,5.0,B,Miscellaneous,41.9689,-92.648
268833,IA,2004,1.0,B,Miscellaneous,41.9805,-92.65799999999999
268834,IA,2004,10.0,C,Miscellaneous,41.98,-92.6691
268835,IA,2004,10.0,C,Miscellaneous,41.9617,-92.62299999999999
268836,IA,2004,150.0,D,Debris Burning,41.9997,-92.6833
268837,IA,2004,80.0,C,Miscellaneous,41.9953,-92.6985
268838,IA,2004,2.2,B,Debris Burning,42.0019,-92.6396
268839,IA,2004,0.2,A,Debris Burning,41.9928,-92.6574
268840,IA,2004,45.0,C,Equipment Use,41.963,-92.6216
268841,IA,2004,1.0,B,Miscellaneous,41.9628,-92.6282
268842,IA,2004,5.0,B,Debris Burning,41.9628,-92.6305
268843,IA,2004,0.2,A,Children,41.9964,-92.6369
268844,IA,2005,3.0,B,Miscellaneous,41.9597,-92.6191
268845,IA,2005,1.0,B,Miscellaneous,41.9569,-92.6313
268846,IA,2005,2.0,B,Miscellaneous,41.96,-92.6407
268847,IA,2005,1.0,B,Miscellaneous,41.9569,-92.6307
268848,IA,2005,5.0,B,Miscellaneous,42.01,-92.6719
268849,IA,2005,1.0,B,Miscellaneous,42.0,-92.6702
268850,IA,2005,1.0,B,Miscellaneous,41.9708,-92.6221
268851,IA,2005,0.5,B,Campfire,41.9619,-92.6452
268852,IA,2005,0.5,B,Miscellaneous,41.9708,-92.6221
268853,IA,2005,0.2,A,Miscellaneous,41.9692,-92.6341
268854,IA,2005,1.0,B,Miscellaneous,41.983000000000004,-92.6277
268855,IA,2005,30.0,C,Miscellaneous,41.9953,-92.6938
268856,IA,2005,4.0,B,Miscellaneous,41.995,-92.6938
268857,IA,2006,0.2,A,Children,42.0017,-92.6702
268858,IA,2006,0.5,B,Arson,42.0011,-92.6474
268859,IA,2006,0.1,A,Arson,41.9705,-92.6299
268860,IA,2006,24.0,C,Arson,41.9633,-92.6271
268861,IA,2006,8.1,B,Arson,41.9614,-92.6194
268862,IA,2006,1.5,B,Arson,42.0047,-92.65299999999999
268863,IA,2006,0.3,B,Arson,41.9642,-92.6278
268864,IA,2007,0.2,A,Arson,41.9633,-92.63600000000001
268865,IA,2008,5.0,B,Arson,41.9822,-92.6389
268866,IA,2008,4.0,B,Arson,42.0017,-92.6519
268867,IA,2008,2.0,B,Arson,42.0033,-92.6631
268868,IA,2008,1.0,B,Arson,41.9822,-92.6361
268869,IA,2009,1.0,B,Debris Burning,41.9989,-92.6953
268870,IA,2009,4.0,B,Arson,42.0017,-92.6472
268871,IA,2009,1.0,B,Debris Burning,42.0039,-92.6633
268872,IA,2009,5.0,B,Arson,42.0039,-92.6633
268873,IA,2009,7.0,B,Debris Burning,42.0033,-92.6533
268874,IA,2009,11.0,C,Debris Burning,42.0033,-92.6558
268875,IA,2009,1.0,B,Debris Burning,41.9692,-92.6186
268876,IA,2009,1.0,B,Arson,41.9836,-92.6542
268877,IA,2009,5.0,B,Debris Burning,42.0086,-92.6611
268878,IA,2009,3.0,B,Children,42.01,-92.655
268879,IA,2009,4.0,B,Debris Burning,41.9844,-92.655
268880,IA,2009,1.0,B,Debris Burning,42.0042,-92.645
268881,IA,2009,47.0,C,Debris Burning,41.995,-92.6894
268882,IA,2009,1.0,B,Arson,41.9967,-92.6894
268883,IA,2009,1.0,B,Debris Burning,41.99,-92.6675
268884,IA,2009,7.0,B,Children,42.0067,-92.6675
268885,IA,2009,6.0,B,Debris Burning,41.9983,-92.6908
268886,IA,2009,25.0,C,Debris Burning,41.9892,-92.6772
268887,IA,2009,1.0,B,Debris Burning,42.0036,-92.6681
268888,IA,2009,4.0,B,Debris Burning,41.9653,-92.6464
268889,IA,2009,1.0,B,Debris Burning,41.9817,-92.645
354024,IA,2000,0.2,A,Structure,43.10203,-91.1855
358983,IA,1992,10.0,C,Arson,41.56666667,-93.26666667
358984,IA,1992,3.0,B,Arson,41.58333333,-93.26666667
358985,IA,1992,70.0,C,Arson,41.58333333,-93.26666667
359431,IA,1993,0.1,A,Miscellaneous,41.6,-93.2667
359432,IA,1993,0.5,B,Miscellaneous,41.533,-93.2667
359433,IA,1993,0.1,A,Miscellaneous,41.5801,-93.2532
359873,IA,1994,0.5,B,Debris Burning,41.5801,-93.2532
360350,IA,1995,3.4,B,Arson,43.2125,-94.1593
360450,IA,1995,16.0,C,Arson,43.2953,-91.0931
360833,IA,1996,333.1,E,Debris Burning,41.11600000000001,-91.1
360834,IA,1996,5.0,B,Debris Burning,43.316,-94.1167
360924,IA,1996,46.0,C,Arson,43.2953,-91.0931
362875,IA,1999,20.0,C,Smoking,41.55,-93.25
362876,IA,1999,0.1,A,Smoking,41.55,-93.25
362877,IA,1999,0.1,A,Equipment Use,41.55,-93.25
362878,IA,1999,65.4,C,Debris Burning,41.2571,-91.0944
362879,IA,1999,4.0,B,Miscellaneous,41.2571,-91.0944
362880,IA,1999,100.0,D,Miscellaneous,41.2571,-91.0944
363032,IA,1999,24.0,C,Arson,43.2953,-91.0931
363033,IA,1999,8.5,B,Miscellaneous,43.2953,-91.0931
363950,IA,2000,58.0,C,Miscellaneous,41.2571,-91.0944
363951,IA,2000,174.0,D,Miscellaneous,41.2571,-91.0944
363952,IA,2000,832.0,E,Miscellaneous,41.2571,-91.0944
363953,IA,2000,60.0,C,Miscellaneous,41.2571,-91.0944
363954,IA,2000,232.0,D,Miscellaneous,41.2571,-91.0944
363955,IA,2000,282.0,D,Miscellaneous,41.2571,-91.0944
363956,IA,2000,25.0,C,Miscellaneous,41.2571,-91.0944
363957,IA,2000,30.0,C,Miscellaneous,41.2571,-91.0944
363958,IA,2000,5.0,B,Miscellaneous,41.2571,-91.0944
363959,IA,2000,12.0,C,Miscellaneous,41.2571,-91.0944
364071,IA,2000,12.0,C,Debris Burning,43.2953,-91.0931
365015,IA,2001,0.5,B,Debris Burning,41.533,-96.0333
365962,IA,2002,28.0,C,Arson,41.11600000000001,-91.1
365963,IA,2002,3.0,B,Miscellaneous,41.2571,-91.0944
365964,IA,2002,1.0,B,Miscellaneous,41.2571,-91.0944
365965,IA,2002,10.0,C,Miscellaneous,41.2571,-91.0944
365966,IA,2002,2.2,B,Miscellaneous,41.2571,-91.0944
365967,IA,2002,3.7,B,Debris Burning,43.2061,-94.1612
365972,IA,2002,9.0,B,Miscellaneous,42.3522,-90.3767
365973,IA,2002,1.1,B,Miscellaneous,42.3522,-90.3767
366971,IA,2003,0.1,A,Miscellaneous,41.5801,-93.2532
366972,IA,2003,0.1,A,Miscellaneous,41.5801,-93.2532
366973,IA,2003,0.1,A,Miscellaneous,41.5801,-93.2532
366974,IA,2003,5.0,B,Miscellaneous,41.2571,-91.0944
366975,IA,2003,1200.0,F,Campfire,41.2571,-91.0944
366976,IA,2003,5.0,B,Miscellaneous,41.2571,-91.0944
