,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
151,ID,2005,0.1,A,Miscellaneous,44.48861111,-111.25611111
168,ID,2005,0.1,A,Campfire,42.73638889,-112.38444444
172,ID,2005,0.1,A,Campfire,42.83972222,-112.17666667
173,ID,2005,0.1,A,Campfire,42.69138889,-112.36861111
174,ID,2005,0.1,A,Campfire,42.73638889,-112.07222222
288,ID,2005,0.1,A,Lightning,43.56,-111.12916667
320,ID,2005,0.1,A,Debris Burning,42.84416667,-112.52277778
321,ID,2005,0.1,A,Lightning,43.21083333,-111.03444444
355,ID,2005,0.1,A,Campfire,42.69833333,-112.41888889
529,ID,2005,0.1,A,Lightning,42.74694444,-112.14027778
580,ID,2005,0.1,A,Lightning,43.49222222,-115.30416667
719,ID,2005,0.25,A,Lightning,44.16055556,-111.32361111
725,ID,2005,0.1,A,Lightning,44.295,-111.41222222
918,ID,2005,0.1,A,Campfire,48.79166667,-117.03027778
922,ID,2005,0.1,A,Miscellaneous,48.33416667,-116.96277778
928,ID,2005,0.1,A,Lightning,48.99777778,-116.19416667
929,ID,2005,0.1,A,Campfire,44.51027778,-112.07305556
940,ID,2005,0.1,A,Lightning,48.45972222,-116.99527778
941,ID,2005,0.1,A,Miscellaneous,48.52638889,-116.85916667
993,ID,2005,0.7,B,Lightning,48.99,-116.30138889
995,ID,2005,0.1,A,Lightning,48.59333333,-116.18916667
1020,ID,2005,0.1,A,Miscellaneous,44.2925,-114.7175
1023,ID,2005,0.1,A,Campfire,44.39,-114.73888889
1027,ID,2005,0.1,A,Lightning,44.31222222,-114.92472222
1033,ID,2005,0.25,A,Lightning,44.29972222,-114.85111111
1035,ID,2005,0.1,A,Lightning,44.30666667,-114.82166667
1043,ID,2005,0.1,A,Lightning,44.3275,-114.68416667
1047,ID,2005,0.1,A,Lightning,44.33083333,-114.39277778
1074,ID,2005,0.25,A,Lightning,44.64611111,-115.21083333
1079,ID,2005,0.25,A,Lightning,44.90166667,-114.71638889
1106,ID,2005,0.1,A,Lightning,44.43638889,-115.21944444
1130,ID,2005,0.1,A,Lightning,48.86388889,-116.22444444
1138,ID,2005,0.1,A,Lightning,48.83361111,-116.24972222
1150,ID,2005,0.1,A,Campfire,47.62222222,-116.53916667
1153,ID,2005,1.7,B,Lightning,48.41833333,-117.00083333
1161,ID,2005,0.1,A,Miscellaneous,48.96694444,-116.17388889
1192,ID,2005,0.1,A,Lightning,48.92,-116.35833333
1227,ID,2005,0.1,A,Lightning,42.84638889,-112.07944444
1229,ID,2005,0.1,A,Campfire,44.67111111,-111.30638889
1230,ID,2005,0.3,B,Lightning,48.19861111,-116.10222222
1232,ID,2005,0.1,A,Arson,48.87833333,-116.28833333
1235,ID,2005,0.1,A,Lightning,48.03805556,-116.4275
1236,ID,2005,3.3,B,Miscellaneous,48.12916667,-116.28666667
1237,ID,2005,2.0,B,Lightning,48.26527778,-116.09305556
1238,ID,2005,1.3,B,Lightning,48.79972222,-116.465
1239,ID,2005,0.1,A,Lightning,48.04083333,-116.60666667
1241,ID,2005,0.4,B,Lightning,48.25055556,-116.06277778
1243,ID,2005,0.8,B,Miscellaneous,48.37555556,-116.22666667
1248,ID,2005,0.1,A,Campfire,42.67555556,-112.41027778
1249,ID,2005,0.1,A,Miscellaneous,48.885,-116.10277778
1250,ID,2005,0.25,A,Lightning,43.96527778,-111.13277778
1519,ID,2005,0.25,A,Equipment Use,43.54305556,-115.28416667
1520,ID,2005,0.25,A,Lightning,43.62805556,-115.24777778
1521,ID,2005,0.25,A,Lightning,43.54166667,-115.25055556
1524,ID,2005,0.5,B,Lightning,43.53583333,-115.27055556
1539,ID,2005,0.1,A,Lightning,44.34444444,-115.56583333
1589,ID,2005,0.1,A,Lightning,43.69,-115.23888889
1590,ID,2005,1.0,B,Miscellaneous,43.60111111,-115.93
1591,ID,2005,0.5,B,Lightning,43.48138889,-115.40805556
1646,ID,2005,4.0,B,Lightning,45.22333333,-115.66333333
1652,ID,2005,0.1,A,Lightning,45.24027778,-115.78333333
1655,ID,2005,0.1,A,Lightning,45.28027778,-115.73611111
1658,ID,2005,0.25,A,Lightning,45.19083333,-115.48888889
1660,ID,2005,0.1,A,Campfire,45.10222222,-116.15694444
1663,ID,2005,0.1,A,Lightning,45.18444444,-115.48861111
1665,ID,2005,0.1,A,Lightning,45.36111111,-116.24833333
1667,ID,2005,0.2,A,Lightning,45.24222222,-115.58305556
1669,ID,2005,0.1,A,Lightning,45.33944444,-116.25972222
1670,ID,2005,0.1,A,Smoking,45.05194444,-116.12777778
1717,ID,2005,0.1,A,Lightning,44.67972222,-115.65222222
1722,ID,2005,0.25,A,Smoking,44.6875,-115.7125
1765,ID,2005,0.25,A,Lightning,44.6425,-116.16388889
1769,ID,2005,0.1,A,Lightning,44.44388889,-116.16638889
1770,ID,2005,0.1,A,Lightning,44.40777778,-115.64944444
1797,ID,2005,0.1,A,Miscellaneous,44.96305556,-116.44583333
1798,ID,2005,0.1,A,Lightning,45.11361111,-116.46
1800,ID,2005,0.1,A,Lightning,44.81638889,-115.43638889
1801,ID,2005,0.1,A,Lightning,44.64944444,-115.7275
1803,ID,2005,0.1,A,Lightning,44.64083333,-115.81055556
1806,ID,2005,0.1,A,Lightning,44.81138889,-115.49222222
1807,ID,2005,0.1,A,Lightning,44.81444444,-115.43777778
1812,ID,2005,0.1,A,Lightning,44.63388889,-115.79166667
1813,ID,2005,0.1,A,Lightning,44.635,-115.80833333
1816,ID,2005,0.1,A,Lightning,44.79277778,-115.51444444
1820,ID,2005,0.1,A,Lightning,44.84027778,-115.57194444
1824,ID,2005,0.5,B,Debris Burning,44.58944444,-115.68166667
1964,ID,2005,0.1,A,Lightning,48.45833333,-116.96666667
1966,ID,2005,0.1,A,Miscellaneous,43.85833333,-115.80083333
1983,ID,2005,0.75,B,Debris Burning,44.65722222,-115.67555556
1984,ID,2005,0.1,A,Debris Burning,44.66277778,-115.68222222
1992,ID,2005,0.25,A,Lightning,44.35611111,-114.44083333
1993,ID,2005,0.1,A,Lightning,43.80583333,-111.33416667
2000,ID,2005,0.1,A,Campfire,44.49583333,-111.35027778
2002,ID,2005,0.25,A,Lightning,44.79805556,-114.475
2004,ID,2005,0.1,A,Lightning,44.62166667,-115.12166667
2045,ID,2005,0.25,A,Lightning,48.89194444,-117.02111111
2062,ID,2005,0.1,A,Lightning,48.575,-116.88333333
2086,ID,2005,7.0,B,Lightning,45.1775,-116.22611111
2087,ID,2005,0.1,A,Campfire,45.08666667,-116.41611111
2093,ID,2005,0.1,A,Lightning,48.48305556,-117.02444444
2096,ID,2005,0.3,B,Lightning,48.79222222,-116.92361111
2119,ID,2005,0.1,A,Lightning,45.76361111,-116.0975
2120,ID,2005,0.1,A,Lightning,46.30111111,-115.73277778
2121,ID,2005,0.1,A,Lightning,45.90666667,-115.81
2122,ID,2005,0.1,A,Lightning,46.50055556,-114.70916667
2124,ID,2005,0.1,A,Lightning,46.47472222,-114.77361111
2126,ID,2005,0.1,A,Lightning,46.43194444,-114.9225
2127,ID,2005,0.3,B,Lightning,45.92222222,-115.72388889
2129,ID,2005,0.25,A,Lightning,46.06972222,-115.67944444
2130,ID,2005,0.25,A,Lightning,45.87638889,-115.88388889
2131,ID,2005,0.1,A,Lightning,45.93777778,-115.82555556
2136,ID,2005,0.8,B,Lightning,45.87583333,-115.9225
2138,ID,2005,0.1,A,Lightning,45.97722222,-115.79972222
2139,ID,2005,0.25,A,Lightning,46.80944444,-115.17138889
2142,ID,2005,0.2,A,Lightning,45.75055556,-115.80388889
2143,ID,2005,0.25,A,Lightning,46.86222222,-115.09777778
2146,ID,2005,0.1,A,Lightning,46.03527778,-115.73138889
2148,ID,2005,1.0,B,Lightning,46.89222222,-115.06694444
2154,ID,2005,0.25,A,Lightning,45.55138889,-116.16194444
2156,ID,2005,0.25,A,Lightning,45.51527778,-115.95833333
