,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
3659,IL,2005,0.1,A,Campfire,37.26222222,-88.63
3677,IL,2005,1.0,B,Miscellaneous,37.50305556,-89.41777778
3684,IL,2005,0.25,A,Debris Burning,37.59416667,-88.365
3697,IL,2005,4.0,B,Miscellaneous,37.395,-88.675
3706,IL,2005,0.5,B,Miscellaneous,37.56111111,-88.65305556
3709,IL,2005,115.0,D,Debris Burning,37.67472222,-88.4125
3714,IL,2005,47.0,C,Miscellaneous,37.2625,-89.46277778
3721,IL,2005,40.0,C,Miscellaneous,37.5925,-89.46166667
3724,IL,2005,0.2,A,Arson,37.85944444,-89.51305556
3727,IL,2005,0.1,A,Arson,37.62611111,-89.30416667
4548,IL,2005,59.0,C,Campfire,37.49166667,-88.68222222
4551,IL,2005,0.1,A,Campfire,37.54694444,-89.43361111
4554,IL,2005,15.0,C,Campfire,37.61055556,-89.25916667
4749,IL,2005,4.0,B,Miscellaneous,37.63944444,-89.41555556
4770,IL,2005,9.0,B,Arson,37.57055556,-89.50277778
5158,IL,2005,62.0,C,Arson,37.52222222,-88.30888889
7232,IL,2006,15.0,C,Equipment Use,41.38055556,-88.18416667
12729,IL,2006,0.1,A,Equipment Use,41.35333333,-88.13305556
13761,IL,2006,0.25,A,Equipment Use,41.38611111,-88.02888889
15476,IL,2006,0.1,A,Campfire,37.49944444,-88.67722222
15488,IL,2006,0.1,A,Campfire,37.49944444,-88.67722222
15493,IL,2006,0.1,A,Campfire,37.49944444,-88.67722222
15497,IL,2006,0.1,A,Campfire,37.49944444,-88.67722222
15498,IL,2006,0.1,A,Campfire,37.61833333,-88.27111111
15504,IL,2006,0.1,A,Arson,37.49027778,-88.9125
16829,IL,2006,2.0,B,Equipment Use,41.36722222,-88.14388889
17073,IL,2006,0.1,A,Debris Burning,37.58694444,-89.47277778
17080,IL,2006,6.2,B,Miscellaneous,37.69111111,-89.40611111
17128,IL,2006,0.1,A,Miscellaneous,37.6,-89.23333333
17135,IL,2006,0.1,A,Lightning,37.65472222,-89.45083333
17137,IL,2006,5.0,B,Arson,37.55138889,-88.83972222
17140,IL,2006,60.0,C,Arson,37.45138889,-88.59111111
17141,IL,2006,129.0,D,Arson,37.44166667,-88.59166667
17151,IL,2006,0.1,A,Campfire,37.58916667,-89.45833333
17159,IL,2006,2.5,B,Debris Burning,37.27805556,-89.44305556
17174,IL,2005,0.1,A,Miscellaneous,37.58555556,-89.47027778
17361,IL,2006,7.6,B,Debris Burning,37.58861111,-88.86722222
17369,IL,2006,0.1,A,Campfire,37.29916667,-89.36527778
17674,IL,2006,4.0,B,Miscellaneous,37.595,-88.36444444
17922,IL,2007,0.76,B,Debris Burning,37.56222222,-88.60583333
17933,IL,2007,4.7,B,Equipment Use,37.39527778,-89.39277778
17934,IL,2007,0.5,B,Miscellaneous,37.26083333,-89.46972222
17939,IL,2007,0.16,A,Arson,37.45583333,-88.66833333
17977,IL,2007,4.5,B,Debris Burning,37.86166667,-89.46583333
17978,IL,2007,31.0,C,Miscellaneous,37.6475,-89.34194444
17979,IL,2007,4.5,B,Debris Burning,37.56277778,-89.32611111
17989,IL,2007,18.0,C,Miscellaneous,37.5475,-89.33194444
18082,IL,2007,2.2,B,Miscellaneous,37.28138889,-89.43416667
18170,IL,2007,0.1,A,Railroad,37.24111111,-89.44722222
18207,IL,2007,3.2,B,Debris Burning,37.17944444,-89.29333333
18331,IL,2007,4.0,B,Miscellaneous,37.46611111,-88.71833333
18332,IL,2007,2.5,B,Miscellaneous,37.57027778,-88.8825
18423,IL,2007,5.0,B,Miscellaneous,37.53666667,-89.32472222
19023,IL,2007,0.1,A,Arson,37.39055556,-88.71388889
21072,IL,2007,6.4,B,Children,37.59555556,-89.45694444
21080,IL,2007,1.0,B,Miscellaneous,37.64277778,-88.36027778
21278,IL,2007,10.0,C,Miscellaneous,37.64694444,-88.34277778
21291,IL,2007,1.0,B,Miscellaneous,37.64694444,-88.34638889
21292,IL,2007,1.0,B,Miscellaneous,37.64666667,-88.3525
22629,IL,2007,1.0,B,Miscellaneous,37.48527778,-88.89722222
22854,IL,2007,0.1,A,Equipment Use,41.37611111,-88.12944444
22858,IL,2007,0.1,A,Equipment Use,41.32722222,-88.13277778
23083,IL,2007,4.2,B,Arson,37.38916667,-88.68527778
23088,IL,2007,100.3,D,Miscellaneous,37.68527778,-88.43611111
23648,IL,2007,0.5,B,Campfire,37.6125,-89.15305556
24686,IL,2007,0.5,B,Campfire,37.59444444,-89.38083333
25129,IL,2007,0.03,A,Debris Burning,37.51888889,-89.22722222
25133,IL,2007,0.1,A,Campfire,37.67361111,-89.41111111
25178,IL,2007,0.1,A,Campfire,37.25555556,-89.475
25940,IL,2007,0.25,A,Arson,37.42055556,-88.45305556
26241,IL,2007,0.1,A,Campfire,37.49972222,-88.67777778
26793,IL,2008,2.0,B,Debris Burning,37.49055556,-89.39305556
27150,IL,2008,0.3,B,Smoking,41.37333333,-88.13055556
28421,IL,2008,0.1,A,Arson,37.51472222,-89.4225
28567,IL,2008,0.1,A,Equipment Use,37.43166667,-88.42472222
28615,IL,2008,0.1,A,Equipment Use,41.37805556,-88.12694444
31454,IL,2008,6.5,B,Debris Burning,41.47388889,-88.11111111
32298,IL,2008,0.1,A,Arson,37.54666667,-89.43388889
32315,IL,2008,0.1,A,Miscellaneous,37.54666667,-89.43388889
33420,IL,2008,5.0,B,Debris Burning,41.29194444,-88.07472222
33638,IL,2008,4.0,B,Arson,37.50833333,-88.68388889
34043,IL,2009,4.8,B,Miscellaneous,37.19138889,-89.37944444
34044,IL,2009,2.0,B,Arson,37.47055556,-89.37388889
34080,IL,2009,19.0,C,Debris Burning,37.5575,-88.47083333
34083,IL,2009,2.0,B,Debris Burning,37.30833333,-88.6375
34198,IL,2009,0.1,A,Debris Burning,37.505,-89.425
34206,IL,2009,35.0,C,Debris Burning,37.69444444,-88.58194444
34207,IL,2009,0.5,B,Miscellaneous,37.4625,-89.40111111
34215,IL,2009,0.5,B,Arson,37.64861111,-89.34277778
34216,IL,2009,0.5,B,Debris Burning,37.19333333,-89.39083333
34283,IL,2009,6.0,B,Debris Burning,37.45,-88.52194444
34298,IL,2009,0.1,A,Miscellaneous,37.56333333,-88.6425
34299,IL,2009,2.0,B,Miscellaneous,37.5425,-88.23777778
34300,IL,2009,17.0,C,Campfire,37.46666667,-88.68833333
34310,IL,2009,0.5,B,Debris Burning,37.34166667,-88.74166667
34339,IL,2009,1.0,B,Arson,37.61694444,-88.5075
34340,IL,2009,2.5,B,Miscellaneous,37.78194444,-89.46083333
34341,IL,2009,7.0,B,Arson,37.19305556,-88.525
34377,IL,2009,35.0,C,Miscellaneous,37.49972222,-88.74666667
34382,IL,2009,0.01,A,Miscellaneous,37.49194444,-88.34166667
34506,IL,2009,35.0,C,Debris Burning,37.57583333,-88.83833333
34512,IL,2009,21.8,C,Miscellaneous,41.36416667,-88.11166667
34555,IL,2009,34.0,C,Miscellaneous,37.49972222,-89.48
34611,IL,2009,0.25,A,Campfire,37.49805556,-88.67777778
34635,IL,2009,0.25,A,Campfire,37.49805556,-88.67611111
34636,IL,2009,0.25,A,Campfire,37.49833333,-88.67472222
34637,IL,2009,0.25,A,Campfire,37.54111111,-88.64111111
34638,IL,2009,0.25,A,Campfire,37.52166667,-88.65666667
34642,IL,2009,0.25,A,Campfire,37.52138889,-88.65694444
35325,IL,2009,12.0,C,Miscellaneous,37.53416667,-88.45166667
35366,IL,2009,0.1,A,Campfire,37.54861111,-88.52916667
35574,IL,2009,70.0,C,Arson,37.15916667,-88.46277778
35712,IL,2009,0.01,A,Arson,37.51861111,-88.65611111
36555,IL,2009,0.1,A,Campfire,37.51277778,-88.44888889
39662,IL,2009,0.1,A,Campfire,37.53722222,-88.45055556
40713,IL,2009,16.5,C,Arson,37.47694444,-89.33555556
40862,IL,2009,0.25,A,Miscellaneous,37.20472222,-89.37777778
40878,IL,2009,0.01,A,Campfire,37.51694444,-89.42194444
53079,IL,1992,50.0,C,Debris Burning,37.58333333,-88.88333333
53080,IL,1992,0.3,B,Arson,37.605,-89.43666667
53081,IL,1992,22.1,C,Smoking,37.83833333,-89.48833333
53082,IL,1992,12.0,C,Railroad,37.68333333,-89.45
53083,IL,1992,13.0,C,Smoking,37.58333333,-88.87833333
53084,IL,1992,6.0,B,Debris Burning,37.48666667,-88.56833333
53085,IL,1992,20.0,C,Arson,37.51333333,-88.71666667
53086,IL,1992,80.0,C,Children,37.515,-88.63666667
53087,IL,1992,5.0,B,Equipment Use,37.56,-88.5
59771,IL,1993,25.0,C,Equipment Use,37.25166667,-89.03333333
59772,IL,1993,3.0,B,Equipment Use,37.335,-89.34
75056,IL,1994,3.0,B,Debris Burning,37.51333333,-88.26333333
75057,IL,1994,20.0,C,Debris Burning,37.53833333,-88.15
75058,IL,1994,10.0,C,Debris Burning,37.49166667,-88.44166667
75059,IL,1994,40.0,C,Debris Burning,37.48833333,-88.23333333
75060,IL,1994,2.0,B,Arson,37.62333333,-88.43333333
75061,IL,1994,80.0,C,Arson,37.63333333,-88.41666667
75062,IL,1994,5.0,B,Arson,37.53833333,-88.455
75063,IL,1994,110.0,D,Arson,37.6,-88.43333333
75064,IL,1994,0.5,B,Arson,37.375,-89.375
75065,IL,1994,1.0,B,Debris Burning,37.5,-89.405
75066,IL,1994,1.0,B,Debris Burning,37.25,-89.34166667
75067,IL,1994,5.0,B,Debris Burning,37.505,-89.33833333
75068,IL,1994,5.0,B,Lightning,37.25,-89.34
75069,IL,1994,1.0,B,Arson,37.57166667,-89.43833333
75070,IL,1994,13.0,C,Debris Burning,37.415,-88.585
75071,IL,1994,3.0,B,Debris Burning,37.585,-88.51666667
75072,IL,1994,0.2,A,Smoking,37.48666667,-88.73666667
75073,IL,1994,12.0,C,Arson,37.60166667,-88.63833333
75074,IL,1994,1.0,B,Arson,37.58333333,-88.53166667
75075,IL,1994,10.0,C,Arson,37.285,-88.6
75076,IL,1994,50.0,C,Smoking,37.51166667,-88.65833333
75077,IL,1994,5.0,B,Arson,37.52333333,-88.59833333
75078,IL,1994,1.0,B,Arson,37.51833333,-88.49
84358,IL,1995,15.0,C,Arson,37.50833333,-88.31666667
84359,IL,1995,10.0,C,Arson,37.63333333,-88.28333333
84360,IL,1995,7.0,B,Arson,37.555,-88.455
84361,IL,1995,2.0,B,Arson,37.53027778,-88.11083333
84362,IL,1995,42.0,C,Debris Burning,37.6,-88.37166667
84363,IL,1995,3.0,B,Arson,37.65444444,-89.49777778
84364,IL,1995,15.0,C,Debris Burning,37.58,-88.35833333
84365,IL,1995,0.5,B,Arson,37.59166667,-88.35833333
84366,IL,1995,1.0,B,Debris Burning,37.54,-88.44166667
84367,IL,1995,6.0,B,Debris Burning,37.53666667,-88.47166667
84368,IL,1995,4.5,B,Debris Burning,37.58833333,-88.43833333
84369,IL,1995,88.0,C,Arson,37.61666667,-88.43333333
84370,IL,1995,0.1,A,Campfire,37.61666667,-88.26666667
84371,IL,1995,2.5,B,Campfire,37.55,-88.43333333
84372,IL,1995,25.0,C,Arson,37.49083333,-88.3175
84373,IL,1995,20.0,C,Arson,37.49861111,-88.33416667
84374,IL,1995,32.0,C,Arson,37.50833333,-88.23333333
84375,IL,1995,25.0,C,Debris Burning,37.50833333,-88.41666667
84376,IL,1995,7.0,B,Debris Burning,37.33333333,-89.305
84377,IL,1995,245.0,D,Arson,37.33333333,-89.30083333
84378,IL,1995,1.0,B,Debris Burning,37.4,-89.30833333
84379,IL,1995,44.0,C,Debris Burning,37.83333333,-89.65
84380,IL,1995,2.0,B,Arson,37.7,-89.48333333
84381,IL,1995,2.0,B,Arson,37.83333333,-89.65
84382,IL,1995,0.2,A,Miscellaneous,37.67166667,-89.43833333
84383,IL,1995,46.0,C,Arson,37.66666667,-89.37333333
84384,IL,1995,102.0,D,Arson,37.625,-89.45
84385,IL,1995,0.2,A,Arson,37.49527778,-88.7425
84386,IL,1995,6.0,B,Arson,37.505,-88.60833333
84387,IL,1995,42.0,C,Debris Burning,37.53833333,-88.15
84388,IL,1995,55.0,C,Arson,37.52111111,-88.56555556
84389,IL,1995,1.0,B,Campfire,37.42638889,-88.60805556
84390,IL,1995,37.3,C,Arson,37.62166667,-89.43833333
84391,IL,1995,5.0,B,Debris Burning,37.48277778,-88.74666667
95795,IL,1996,2.0,B,Arson,37.50833333,-88.42
95796,IL,1996,10.0,C,Debris Burning,37.58333333,-88.62166667
95797,IL,1996,29.0,C,Debris Burning,37.24833333,-89.335
95798,IL,1996,2.0,B,Miscellaneous,37.58833333,-88.71666667
95799,IL,1996,2.0,B,Equipment Use,37.455,-88.56666667
95800,IL,1996,0.8,B,Arson,37.65305556,-89.50222222
95801,IL,1996,5.0,B,Miscellaneous,37.5,-88.88833333
95802,IL,1996,0.4,B,Arson,37.58333333,-89.4
95803,IL,1996,1.0,B,Arson,37.60833333,-88.39166667
95804,IL,1996,2.0,B,Debris Burning,37.51666667,-88.13333333
95811,IL,1996,0.2,A,Arson,37.3,-89.36666667
95812,IL,1996,7.0,B,Arson,37.285,-89.35
96224,IL,1997,0.1,A,Arson,37.58333333,-89.4
96230,IL,1997,0.1,A,Debris Burning,37.61583333,-88.61111111
96295,IL,1997,7.0,B,Miscellaneous,37.605,-88.63833333
96297,IL,1997,0.1,A,Miscellaneous,37.49611111,-88.32388889
96322,IL,1997,1.0,B,Arson,37.5,-88.3
96553,IL,1997,1.0,B,Miscellaneous,37.24166667,-89.39166667
96638,IL,1997,3.0,B,Equipment Use,37.56666667,-88.87083333
104047,IL,1998,15.0,C,Miscellaneous,37.50833333,-88.64166667
104048,IL,1998,15.0,C,Miscellaneous,37.21638889,-89.36333333
104057,IL,1998,5.0,B,Smoking,37.46666667,-88.47
104058,IL,1998,1.5,B,Debris Burning,37.70833333,-89.40333333
104115,IL,1998,20.0,C,Arson,37.19416667,-89.385
104118,IL,1998,2.0,B,Railroad,37.50333333,-88.69166667
104119,IL,1998,4.0,B,Railroad,37.50666667,-88.69333333
104120,IL,1998,2.0,B,Arson,37.225,-88.56333333
104121,IL,1998,1.5,B,Arson,37.225,-88.56333333
104122,IL,1998,1.0,B,Arson,37.225,-88.56333333
108236,IL,1998,0.1,A,Smoking,37.605,-88.335
108243,IL,1998,25.0,C,Debris Burning,37.605,-88.60666667
109591,IL,1998,0.1,A,Arson,37.68166667,-88.425
121445,IL,1999,0.2,A,Smoking,37.6,-88.355
121446,IL,1999,1.0,B,Miscellaneous,37.58333333,-88.51666667
121447,IL,1999,2.0,B,Miscellaneous,37.22833333,-88.52833333
121448,IL,1999,4.0,B,Miscellaneous,37.58333333,-89.5
121449,IL,1999,5.0,B,Miscellaneous,37.58333333,-89.5
121450,IL,1999,0.1,A,Campfire,37.51,-88.68166667
121451,IL,1999,0.1,A,Debris Burning,37.47611111,-88.31222222
121452,IL,1999,10.0,C,Campfire,37.655,-88.395
121453,IL,1999,30.0,C,Miscellaneous,37.56666667,-88.3
121454,IL,1999,3.0,B,Equipment Use,37.39166667,-88.675
121455,IL,1999,0.1,A,Arson,37.58333333,-88.28333333
121456,IL,1999,0.1,A,Arson,37.52,-89.31138889
121457,IL,1999,5.0,B,Smoking,37.37611111,-88.88472222
121458,IL,1999,0.1,A,Arson,37.625,-89.42833333
121459,IL,1999,0.5,B,Debris Burning,37.50833333,-88.80333333
121460,IL,1999,5.0,B,Smoking,37.64166667,-89.29
121461,IL,1999,0.1,A,Equipment Use,37.51916667,-89.41555556
121462,IL,1999,3.0,B,Smoking,37.32833333,-89.33
121463,IL,1999,13.0,C,Arson,37.61166667,-89.43833333
121464,IL,1999,34.0,C,Miscellaneous,37.34,-89.28694444
121465,IL,1999,41.0,C,Miscellaneous,37.71583333,-89.40111111
121466,IL,1999,2.0,B,Debris Burning,37.4875,-88.26111111
121467,IL,1999,16.0,C,Arson,37.525,-88.39166667
128191,IL,1999,0.1,A,Campfire,37.6,-88.38333333
128192,IL,2000,0.1,A,Arson,37.52,-89.31
128193,IL,2000,0.1,A,Campfire,37.25833333,-89.35277778
128194,IL,2000,0.1,A,Miscellaneous,37.62777778,-89.43333333
128195,IL,2000,4.5,B,Arson,37.44722222,-89.31666667
128196,IL,2000,90.0,C,Debris Burning,37.2625,-89.30972222
128197,IL,2000,12.0,C,Arson,37.4375,-88.61388889
128198,IL,2000,15.0,C,Arson,37.34444444,-89.34444444
128199,IL,2000,28.0,C,Arson,37.29166667,-89.35
128200,IL,2000,1.0,B,Miscellaneous,37.69861111,-88.41138889
128201,IL,2000,30.0,C,Miscellaneous,37.6175,-88.49805556
