,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
3356,IN,2005,3.0,B,Arson,39.03166667,-86.175
3380,IN,2005,4.0,B,Campfire,39.08888889,-86.35833333
3386,IN,2005,1.0,B,Arson,38.99416667,-86.36944444
3388,IN,2005,0.1,A,Campfire,38.98694444,-86.37277778
3393,IN,2005,0.3,B,Campfire,38.05,-86.66666667
3396,IN,2005,10.0,C,Campfire,38.60472222,-86.68611111
3403,IN,2005,30.0,C,Miscellaneous,39.01666667,-86.45527778
3406,IN,2005,2.5,B,Debris Burning,39.06277778,-86.14666667
3436,IN,2005,5.0,B,Debris Burning,38.74888889,-86.54638889
3438,IN,2005,4.0,B,Debris Burning,38.59472222,-86.65472222
3439,IN,2005,8.0,B,Debris Burning,38.89083333,-86.49972222
3441,IN,2005,0.5,B,Debris Burning,38.99805556,-86.45805556
4506,IN,2005,20.0,C,Arson,38.44722222,-86.53527778
4534,IN,2005,50.0,C,Debris Burning,38.85305556,-86.00222222
4578,IN,2005,1.4,B,Equipment Use,38.5,-86.41083333
4585,IN,2005,1.0,B,Smoking,38.55722222,-86.33916667
7020,IN,2006,0.1,A,Campfire,38.55833333,-86.38333333
7056,IN,2006,0.3,B,Equipment Use,38.50916667,-86.51888889
7058,IN,2006,1.45,B,Debris Burning,38.31027778,-86.60916667
7063,IN,2006,5.4,B,Debris Burning,38.10083333,-86.56472222
7211,IN,2006,100.0,D,Miscellaneous,37.93888889,-86.695
7212,IN,2006,2.5,B,Debris Burning,38.39027778,-86.3825
7213,IN,2006,1.0,B,Railroad,38.09611111,-86.6825
7214,IN,2006,20.0,C,Debris Burning,38.43222222,-86.555
8000,IN,2006,0.1,A,Equipment Use,38.19861111,-86.59944444
17984,IN,2007,13.41,C,Miscellaneous,38.30333333,-86.62027778
17985,IN,2007,4.0,B,Debris Burning,38.30416667,-86.59611111
17986,IN,2007,2.0,B,Debris Burning,38.48166667,-86.50833333
17987,IN,2007,10.0,C,Debris Burning,38.99222222,-86.4825
17988,IN,2007,1.0,B,Debris Burning,39.00666667,-86.15777778
18228,IN,2007,4.2,B,Miscellaneous,38.26527778,-86.65388889
18357,IN,2007,0.1,A,Miscellaneous,39.01944444,-86.43027778
18638,IN,2007,0.5,B,Arson,38.27666667,-86.59527778
21556,IN,2007,3.0,B,Campfire,38.28444444,-86.53833333
22092,IN,2007,1.0,B,Debris Burning,38.51805556,-86.45722222
22093,IN,2007,1.0,B,Arson,39.01472222,-86.39527778
22094,IN,2007,1.0,B,Arson,38.97916667,-86.2975
23738,IN,2007,1.5,B,Miscellaneous,38.32138889,-86.50027778
23742,IN,2007,5.0,B,Debris Burning,38.34916667,-86.63444444
23748,IN,2007,1.0,B,Campfire,39.04388889,-86.09277778
24481,IN,2007,15.0,C,Miscellaneous,37.90111111,-86.61805556
26503,IN,2007,1.0,B,Debris Burning,39.06611111,-86.19333333
26686,IN,2008,0.1,A,Miscellaneous,38.38916667,-86.46555556
26732,IN,2008,0.1,A,Miscellaneous,39.09555556,-86.37222222
26970,IN,2008,0.1,A,Arson,39.06444444,-86.2125
27251,IN,2008,4.0,B,Debris Burning,38.94222222,-86.11722222
