,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
1009,KS,2005,0.5,B,Smoking,37.08805556,-101.63694444
1025,KS,2005,0.1,A,Campfire,37.11833333,-101.89388889
1028,KS,2005,0.5,B,Miscellaneous,37.06833333,-101.99944444
1041,KS,2005,0.5,B,Equipment Use,37.15777778,-101.78972222
1044,KS,2005,0.1,A,Campfire,37.13944444,-101.82305556
1143,KS,2005,760.0,E,Equipment Use,37.02472222,-101.99333333
1256,KS,2005,0.1,A,Campfire,37.14083333,-101.81055556
6351,KS,2005,1.0,B,Equipment Use,37.34444444,-101.70944444
7674,KS,2006,2380.0,F,Arson,37.07388889,-101.70972222
9870,KS,2006,0.1,A,Equipment Use,37.17277778,-101.79611111
9981,KS,2006,145.0,D,Debris Burning,37.09027778,-101.75555556
9983,KS,2006,112.0,D,Arson,37.0975,-101.77722222
16832,KS,2006,2.0,B,Miscellaneous,37.045,-101.79
17782,KS,2006,0.1,A,Lightning,37.12666667,-101.15888889
17783,KS,2006,0.1,A,Lightning,37.0975,-101.76166667
17784,KS,2006,0.5,B,Equipment Use,37.10222222,-101.69611111
18190,KS,2007,25.0,C,Miscellaneous,37.21416667,-102.02666667
19759,KS,2007,18.0,C,Miscellaneous,37.03583333,-102.03138889
21680,KS,2007,15.3,C,Campfire,37.21055556,-101.6525
22090,KS,2007,27.0,C,Lightning,37.09388889,-101.86777778
22091,KS,2007,15.0,C,Lightning,37.09388889,-101.85611111
22109,KS,2007,0.01,A,Miscellaneous,37.02472222,-101.96444444
26242,KS,2007,5.0,B,Equipment Use,37.04194444,-101.96666667
29706,KS,2008,0.1,A,Campfire,37.13666667,-101.81916667
29708,KS,2008,0.1,A,Campfire,37.13583333,-101.82055556
29709,KS,2008,0.1,A,Campfire,37.13666667,-101.86138889
29713,KS,2008,0.1,A,Campfire,37.14333333,-101.82444444
29716,KS,2008,0.5,B,Lightning,37.18777778,-101.71166667
33421,KS,2008,61.0,C,Equipment Use,37.09777778,-101.955
35940,KS,2009,0.1,A,Lightning,37.13166667,-101.90027778
43643,KS,1992,0.1,A,Miscellaneous,37.13333333,-101.9
43644,KS,1992,3.0,B,Lightning,37.05,-101.93333333
43645,KS,1992,0.5,B,Lightning,37.05,-101.7
43646,KS,1992,140.0,D,Equipment Use,37.23333333,-102.0
43647,KS,1992,2.0,B,Miscellaneous,37.05,-101.87166667
43648,KS,1992,20.0,C,Equipment Use,37.27333333,-101.96666667
43649,KS,1992,0.2,A,Miscellaneous,37.06833333,-101.75
53933,KS,1993,0.2,A,Campfire,37.12666667,-101.81666667
53934,KS,1993,35.0,C,Miscellaneous,37.20333333,-101.655
53935,KS,1993,6.0,B,Miscellaneous,37.25,-101.86666667
64270,KS,1994,0.3,B,Equipment Use,37.185,-101.88333333
64271,KS,1994,2.0,B,Lightning,37.1375,-101.93333333
64272,KS,1994,1.0,B,Lightning,37.08333333,-101.75
64273,KS,1994,5.0,B,Lightning,37.04,-101.78333333
64274,KS,1994,120.0,D,Lightning,37.09833333,-101.86666667
64275,KS,1994,1.0,B,Lightning,37.06166667,-101.75
64276,KS,1994,0.3,B,Lightning,37.11166667,-101.75
64277,KS,1994,0.2,A,Lightning,37.16166667,-101.69166667
64278,KS,1994,0.3,B,Campfire,37.11166667,-101.87166667
64280,KS,1994,1.0,B,Lightning,37.05333333,-101.95
64281,KS,1994,0.3,B,Lightning,37.05333333,-101.91666667
64282,KS,1994,0.3,B,Lightning,37.205,-101.63666667
64283,KS,1994,0.3,B,Miscellaneous,37.04,-101.87166667
64284,KS,1994,45.0,C,Equipment Use,37.17,-101.8
64285,KS,1994,1.0,B,Miscellaneous,37.12666667,-101.9
76409,KS,1995,1.0,B,Miscellaneous,37.025,-101.96666667
76410,KS,1995,70.0,C,Lightning,37.08333333,-101.95
76411,KS,1995,15.0,C,Lightning,37.08333333,-101.95
76412,KS,1995,1.0,B,Lightning,37.10166667,-101.93833333
76413,KS,1995,0.3,B,Lightning,37.05,-101.88333333
76414,KS,1995,45.0,C,Lightning,37.15,-101.83333333
76415,KS,1995,5.0,B,Lightning,37.15,-101.83333333
76416,KS,1995,0.3,B,Lightning,37.06666667,-101.88333333
76417,KS,1995,2.0,B,Lightning,37.105,-101.93333333
76418,KS,1995,0.3,B,Lightning,37.25,-101.75
76419,KS,1995,2.0,B,Lightning,37.18333333,-101.62166667
76420,KS,1995,0.3,B,Lightning,37.03333333,-101.75
76421,KS,1995,175.0,D,Miscellaneous,37.05,-101.8
