,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
2482,KY,2005,1.5,B,Arson,36.625,-84.20194444
2484,KY,2005,0.1,A,Equipment Use,37.34888889,-84.00694444
2527,KY,2005,4.0,B,Arson,36.84666667,-84.27027778
2532,KY,2005,3.0,B,Arson,37.53833333,-84.03305556
2555,KY,2005,0.5,B,Arson,36.62277778,-84.50305556
2561,KY,2005,0.25,A,Arson,37.05833333,-83.52166667
2791,KY,2005,117.0,D,Arson,36.77333333,-84.58111111
2794,KY,2005,22.0,C,Miscellaneous,37.06166667,-83.4975
2796,KY,2005,0.2,A,Arson,36.88583333,-84.40055556
2802,KY,2005,12.0,C,Debris Burning,36.73055556,-84.44722222
2842,KY,2005,3.0,B,Arson,36.675,-84.44
2865,KY,2005,1.0,B,Lightning,36.78,-84.38444444
2873,KY,2005,6.0,B,Arson,36.715,-84.44666667
3002,KY,2005,1.0,B,Arson,36.87611111,-84.27111111
3003,KY,2005,0.4,B,Arson,36.74583333,-84.35555556
3025,KY,2005,20.0,C,Arson,36.62777778,-84.49166667
3028,KY,2005,1.0,B,Arson,37.55694444,-83.96194444
3045,KY,2005,0.5,B,Arson,36.64583333,-84.60583333
3046,KY,2005,0.25,A,Arson,36.635,-84.57111111
3048,KY,2005,2.0,B,Arson,36.61833333,-84.65166667
3050,KY,2005,2.0,B,Arson,36.60111111,-84.71777778
3051,KY,2005,1.0,B,Debris Burning,37.15972222,-84.22111111
3070,KY,2005,4.0,B,Campfire,38.01972222,-83.38944444
3072,KY,2005,0.2,A,Arson,36.88527778,-84.33416667
3101,KY,2005,1.0,B,Railroad,36.85611111,-84.4925
3107,KY,2005,7.0,B,Debris Burning,36.86916667,-84.36833333
3112,KY,2005,7.0,B,Railroad,36.85611111,-84.4925
3137,KY,2005,0.2,A,Arson,36.88472222,-84.15138889
3153,KY,2005,0.25,A,Debris Burning,36.82777778,-84.34444444
3154,KY,2005,26.0,C,Debris Burning,38.00388889,-83.37472222
3167,KY,2005,28.0,C,Arson,36.60166667,-84.35
