,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
571,LA,2005,4.0,B,Arson,30.95388889,-93.07166667
573,LA,2005,8.0,B,Arson,31.44472222,-93.1225
607,LA,2005,5.0,B,Miscellaneous,31.20277778,-92.66194444
608,LA,2005,25.0,C,Arson,30.92805556,-93.12805556
736,LA,2005,390.0,E,Campfire,31.24027778,-92.61305556
829,LA,2005,20.0,C,Equipment Use,31.05833333,-92.95
834,LA,2005,4.0,B,Arson,31.55277778,-92.59833333
837,LA,2005,1.0,B,Debris Burning,31.26027778,-92.75555556
863,LA,2005,17.0,C,Miscellaneous,31.5075,-93.23222222
864,LA,2005,162.0,D,Miscellaneous,31.39194444,-93.13611111
869,LA,2005,1.0,B,Equipment Use,31.04166667,-92.84166667
890,LA,2005,9.0,B,Equipment Use,31.04166667,-93.08333333
893,LA,2005,1.0,B,Debris Burning,31.00388889,-92.95972222
894,LA,2005,19.0,C,Equipment Use,31.05,-93.09166667
895,LA,2005,11.0,C,Equipment Use,31.01666667,-93.10833333
898,LA,2005,205.0,D,Campfire,31.18888889,-92.58583333
902,LA,2005,3.0,B,Arson,31.01333333,-92.5725
905,LA,2005,22.0,C,Equipment Use,31.04722222,-93.05277778
907,LA,2005,5.0,B,Equipment Use,31.01944444,-92.91111111
975,LA,2005,5.0,B,Arson,31.52,-92.58777778
980,LA,2005,3.0,B,Arson,31.66583333,-92.50194444
984,LA,2005,11.0,C,Arson,31.59361111,-92.44277778
986,LA,2005,5.0,B,Miscellaneous,30.975,-93.15833333
989,LA,2005,2.0,B,Equipment Use,31.025,-93.15833333
990,LA,2005,1.0,B,Equipment Use,31.02083333,-93.14166667
991,LA,2005,10.0,C,Arson,31.03388889,-92.89861111
1005,LA,2005,1.0,B,Miscellaneous,30.93888889,-93.19972222
1006,LA,2005,1.0,B,Lightning,31.25888889,-92.76444444
1007,LA,2005,1.0,B,Arson,31.63194444,-92.51166667
1008,LA,2005,15.0,C,Equipment Use,31.06666667,-92.95833333
1066,LA,2005,270.0,D,Lightning,31.80861111,-92.83194444
5983,LA,2005,1.0,B,Lightning,30.97777778,-93.13611111
6015,LA,2005,4.0,B,Debris Burning,31.28527778,-92.68833333
6018,LA,2005,2.0,B,Arson,31.63333333,-92.46416667
6024,LA,2005,38.0,C,Arson,31.66944444,-92.63583333
6029,LA,2005,21.0,C,Arson,31.42111111,-92.3825
6043,LA,2005,2.0,B,Miscellaneous,31.02222222,-93.16111111
6044,LA,2005,10.0,C,Miscellaneous,31.01944444,-93.16111111
6045,LA,2005,2.0,B,Miscellaneous,31.01944444,-93.16111111
6046,LA,2005,650.0,E,Miscellaneous,31.07777778,-93.01111111
6047,LA,2005,1.0,B,Debris Burning,30.99166667,-93.00277778
6048,LA,2005,15.0,C,Arson,31.01666667,-92.60361111
6050,LA,2005,20.0,C,Arson,31.06583333,-92.53416667
6051,LA,2005,2.0,B,Lightning,30.97111111,-93.1325
6053,LA,2005,3.0,B,Arson,31.66166667,-92.49361111
6116,LA,2005,6.0,B,Miscellaneous,31.70444444,-93.13972222
6117,LA,2005,20.0,C,Miscellaneous,30.99833333,-93.03111111
6118,LA,2005,2.0,B,Arson,31.68111111,-92.47916667
6122,LA,2005,9.0,B,Arson,31.66166667,-92.49361111
6129,LA,2005,22.0,C,Arson,31.69388889,-92.6375
6130,LA,2005,36.0,C,Miscellaneous,31.03333333,-92.91666667
6155,LA,2005,6.0,B,Miscellaneous,31.03333333,-92.91666667
6156,LA,2005,2.0,B,Miscellaneous,31.05,-92.91666667
6158,LA,2005,1.0,B,Miscellaneous,31.05,-92.83333333
6159,LA,2005,10.0,C,Campfire,31.225,-92.69861111
6160,LA,2005,75.0,C,Miscellaneous,30.05,-91.83333333
6161,LA,2005,1.0,B,Arson,30.98361111,-93.15972222
6162,LA,2005,1.0,B,Arson,31.23027778,-92.57555556
6163,LA,2005,6.0,B,Miscellaneous,32.71722222,-93.22138889
6168,LA,2005,3.0,B,Miscellaneous,32.92888889,-92.79166667
6169,LA,2005,27.0,C,Miscellaneous,32.92888889,-92.79166667
6354,LA,2005,8.0,B,Arson,31.78777778,-92.525
6360,LA,2005,2.0,B,Miscellaneous,31.88861111,-92.81527778
6361,LA,2005,2.0,B,Debris Burning,31.93833333,-92.74777778
6362,LA,2005,3.0,B,Debris Burning,31.84638889,-92.87138889
6363,LA,2005,902.0,E,Arson,32.69944444,-92.87888889
6364,LA,2005,1.0,B,Arson,31.75305556,-92.93694444
6365,LA,2005,20.0,C,Campfire,32.10777778,-92.94944444
6366,LA,2005,70.0,C,Arson,31.94305556,-92.76027778
6367,LA,2005,8.0,B,Smoking,31.93333333,-92.87138889
6376,LA,2005,5.0,B,Arson,30.99194444,-93.03361111
6377,LA,2005,5.0,B,Arson,31.06444444,-92.53472222
6381,LA,2005,8.0,B,Campfire,31.46722222,-93.09361111
6386,LA,2005,1100.0,F,Miscellaneous,31.39638889,-93.03083333
6411,LA,2005,1.0,B,Arson,31.47055556,-92.38305556
6412,LA,2006,7.0,B,Debris Burning,31.54833333,-92.41111111
6413,LA,2006,12.0,C,Arson,31.48527778,-92.38194444
7529,LA,2006,5.0,B,Miscellaneous,31.26361111,-92.60916667
7541,LA,2006,19.0,C,Arson,31.04444444,-92.58111111
7544,LA,2006,1.0,B,Arson,31.74222222,-92.44111111
7545,LA,2006,1.0,B,Miscellaneous,32.08694444,-92.915
7546,LA,2006,16.0,C,Arson,31.22527778,-92.57305556
7547,LA,2006,40.0,C,Equipment Use,31.01666667,-93.125
7555,LA,2006,20.0,C,Equipment Use,31.02222222,-93.12777778
7556,LA,2006,3.0,B,Equipment Use,31.06666667,-92.925
7557,LA,2006,1.0,B,Equipment Use,31.025,-93.14166667
7558,LA,2006,1.0,B,Equipment Use,31.09166667,-93.16944444
7559,LA,2006,12.0,C,Miscellaneous,31.01666667,-93.14166667
7592,LA,2006,6.0,B,Debris Burning,31.41888889,-93.10916667
7593,LA,2006,1.0,B,Arson,31.66305556,-92.52972222
7594,LA,2006,1.0,B,Arson,31.62111111,-92.49388889
7595,LA,2006,128.0,D,Equipment Use,31.17916667,-92.63416667
7601,LA,2006,1.0,B,Arson,31.10027778,-92.60972222
7602,LA,2006,1.0,B,Arson,31.09333333,-92.61194444
7603,LA,2006,1.0,B,Arson,31.09055556,-92.61055556
7604,LA,2006,1.0,B,Arson,31.02027778,-92.57888889
7606,LA,2006,10.0,C,Arson,31.04194444,-92.66027778
7607,LA,2006,15.0,C,Arson,31.10861111,-92.64027778
7608,LA,2006,8.0,B,Arson,31.01194444,-92.56944444
7609,LA,2006,1.0,B,Arson,31.68916667,-92.41472222
7612,LA,2006,150.0,D,Debris Burning,31.49027778,-92.53305556
7613,LA,2006,22.0,C,Arson,31.67027778,-92.50888889
7615,LA,2006,1.0,B,Equipment Use,31.08055556,-92.57444444
7616,LA,2006,1.0,B,Miscellaneous,31.00416667,-93.1825
7617,LA,2006,2.0,B,Miscellaneous,31.01,-93.18555556
7618,LA,2006,2.0,B,Campfire,30.98277778,-93.1275
7619,LA,2006,1.0,B,Arson,31.63361111,-92.51416667
7620,LA,2006,1.0,B,Arson,32.67444444,-93.30444444
7622,LA,2006,2.0,B,Arson,31.65388889,-92.63388889
7624,LA,2006,1.0,B,Arson,31.62055556,-92.49055556
7625,LA,2006,2.0,B,Arson,31.64222222,-92.49666667
7626,LA,2006,5.0,B,Arson,31.64166667,-92.49166667
7628,LA,2006,3.0,B,Arson,31.68305556,-92.47111111
7630,LA,2006,2.0,B,Arson,31.66388889,-92.48361111
7631,LA,2006,3.0,B,Arson,31.66111111,-92.48666667
7632,LA,2006,3.0,B,Arson,31.67222222,-92.47611111
7634,LA,2006,11.0,C,Debris Burning,31.39305556,-93.05361111
7635,LA,2006,37.0,C,Debris Burning,31.28611111,-92.67472222
7636,LA,2006,10.0,C,Arson,31.02861111,-92.57861111
7637,LA,2006,2.0,B,Arson,31.74555556,-92.43694444
8173,LA,2006,5.0,B,Arson,31.06833333,-92.53861111
8174,LA,2006,3.0,B,Equipment Use,31.03722222,-92.98027778
8175,LA,2006,2.0,B,Debris Burning,31.00833333,-93.06666667
8176,LA,2006,7.0,B,Arson,31.00944444,-92.61916667
8177,LA,2006,1.0,B,Arson,31.44861111,-92.34083333
8178,LA,2006,1.0,B,Arson,31.62472222,-92.42611111
8180,LA,2006,201.0,D,Arson,31.60138889,-92.44833333
8181,LA,2006,5.0,B,Equipment Use,31.05833333,-93.04166667
8182,LA,2006,7.0,B,Equipment Use,31.02916667,-92.91666667
8183,LA,2006,5.0,B,Equipment Use,31.00833333,-93.175
8184,LA,2006,4.0,B,Equipment Use,31.075,-93.03333333
8185,LA,2006,1.0,B,Arson,31.61527778,-92.49805556
8446,LA,2006,3.0,B,Miscellaneous,31.40805556,-93.12666667
8447,LA,2006,1.0,B,Miscellaneous,31.51861111,-92.04777778
8802,LA,2006,1.0,B,Arson,31.00944444,-92.61916667
8892,LA,2006,15.0,C,Arson,31.00944444,-92.62888889
9827,LA,2006,1.0,B,Arson,31.22916667,-92.58166667
9828,LA,2006,1.0,B,Arson,31.01916667,-92.61472222
9830,LA,2006,1.0,B,Arson,31.035,-92.62805556
14526,LA,2006,89.0,C,Arson,31.8975,-92.78194444
14528,LA,2006,1.0,B,Arson,31.53972222,-92.52722222
14572,LA,2006,1.0,B,Arson,31.92,-92.75805556
14576,LA,2006,2.0,B,Arson,31.9525,-92.76222222
14580,LA,2006,1.0,B,Arson,31.9525,-92.76222222
14582,LA,2006,40.0,C,Arson,31.78027778,-92.8525
14587,LA,2006,1.0,B,Equipment Use,31.72638889,-92.42166667
14695,LA,2006,1.0,B,Miscellaneous,31.26444444,-92.64194444
17890,LA,2007,1.0,B,Arson,31.185,-92.67083333
17891,LA,2007,60.0,C,Arson,30.96722222,-93.20111111
17892,LA,2007,1.0,B,Campfire,31.25,-92.61666667
17893,LA,2007,1.0,B,Arson,31.88805556,-92.8075
17894,LA,2007,3.0,B,Arson,31.55972222,-92.44666667
17895,LA,2007,6.0,B,Arson,31.45,-92.33833333
17897,LA,2007,1.0,B,Arson,31.62138889,-92.49416667
17898,LA,2007,10.0,C,Arson,31.68277778,-92.50833333
17899,LA,2007,8.0,B,Miscellaneous,30.9925,-93.025
17900,LA,2007,6.0,B,Miscellaneous,31.99166667,-92.91638889
17901,LA,2007,1.0,B,Arson,31.64555556,-92.8075
17902,LA,2007,20.0,C,Equipment Use,31.01611111,-92.93055556
18059,LA,2007,3.0,B,Debris Burning,31.98416667,-92.86694444
18060,LA,2007,20.0,C,Debris Burning,31.93805556,-92.82722222
18061,LA,2007,35.0,C,Equipment Use,31.07333333,-92.55805556
18062,LA,2007,20.0,C,Railroad,31.75166667,-92.56444444
18063,LA,2007,1.0,B,Railroad,31.73611111,-92.56027778
18064,LA,2007,216.0,D,Arson,31.00861111,-92.61944444
18114,LA,2007,1.0,B,Arson,31.46138889,-92.55583333
18115,LA,2007,3.0,B,Debris Burning,31.41861111,-93.17972222
18117,LA,2007,25.0,C,Arson,31.67416667,-92.46888889
18118,LA,2007,1.0,B,Debris Burning,31.22055556,-92.72305556
18129,LA,2007,2.0,B,Arson,31.76138889,-92.4375
18130,LA,2007,2.0,B,Miscellaneous,31.22194444,-92.59666667
18261,LA,2007,15.0,C,Railroad,31.75583333,-92.56555556
18262,LA,2007,1.0,B,Miscellaneous,31.14388889,-92.07361111
18263,LA,2007,40.0,C,Arson,31.2525,-92.69972222
18264,LA,2007,1.0,B,Arson,31.25222222,-92.7
18484,LA,2007,57.0,C,Railroad,31.48555556,-92.50861111
23215,LA,2007,1.0,B,Arson,31.80694444,-92.58555556
23216,LA,2007,1.0,B,Arson,31.81055556,-92.63527778
23217,LA,2007,4.0,B,Lightning,31.24944444,-92.67305556
26500,LA,2007,1.0,B,Campfire,30.4475,-93.00555556
26529,LA,2007,3.0,B,Miscellaneous,31.01611111,-92.125
26531,LA,2007,2.0,B,Arson,31.27972222,-92.68361111
26532,LA,2007,1.0,B,Lightning,31.47027778,-92.96777778
26533,LA,2007,9.0,B,Railroad,31.70305556,-92.55277778
26540,LA,2007,12.0,C,Debris Burning,31.76722222,-92.93388889
26541,LA,2007,8.0,B,Lightning,31.4775,-93.01388889
26543,LA,2007,1.0,B,Arson,31.10055556,-92.59555556
26544,LA,2007,1.0,B,Railroad,31.72638889,-92.42166667
26620,LA,2008,100.0,D,Miscellaneous,31.86833333,-92.88055556
26809,LA,2008,10.0,C,Equipment Use,31.04166667,-93.08333333
26810,LA,2008,3.0,B,Equipment Use,31.04166667,-93.08333333
26811,LA,2008,10.0,C,Equipment Use,31.05833333,-93.09166667
26812,LA,2008,1.0,B,Campfire,31.27055556,-92.64805556
26816,LA,2008,20.0,C,Equipment Use,31.01666667,-93.03333333
26817,LA,2008,1.0,B,Miscellaneous,31.19722222,-92.6325
26818,LA,2008,234.0,D,Arson,31.61111111,-92.48472222
