,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
242280,MA,1992,0.1,A,Arson,41.9048,-69.9789
242281,MA,1992,1.0,B,Children,42.026866999999996,-70.086019
242282,MA,1992,0.1,A,Equipment Use,42.001378,-70.079572
242283,MA,1992,1.0,B,Miscellaneous,41.931753,-70.052903
242284,MA,1992,0.1,A,Campfire,42.024103000000004,-70.192142
242285,MA,1992,0.1,A,Campfire,42.0765,-70.1578
242286,MA,1993,0.8,B,Miscellaneous,41.969394,-70.07060600000001
242287,MA,1993,0.1,A,Miscellaneous,41.8334,-69.9661
242288,MA,1993,0.1,A,Debris Burning,41.9048,-69.9789
242289,MA,1993,0.5,B,Campfire,41.9048,-69.9789
242290,MA,1994,0.1,A,Miscellaneous,41.9048,-69.9789
242291,MA,1995,1.0,B,Children,42.06399999999999,-70.1717
242292,MA,1995,0.1,A,Miscellaneous,42.032,-70.0634
242293,MA,1995,0.1,A,Miscellaneous,41.9668,-70.0245
242294,MA,1995,0.1,A,Equipment Use,41.9523,-70.0092
242295,MA,1995,5.0,B,Fireworks,41.9048,-69.9789
242296,MA,1995,0.2,A,Miscellaneous,41.9048,-69.9789
242297,MA,1995,0.4,B,Miscellaneous,41.866479999999996,-69.969564
242298,MA,1995,0.5,B,Miscellaneous,41.9579,-70.0322
242299,MA,1995,0.3,B,Miscellaneous,42.0404,-70.2086
242300,MA,1995,0.1,A,Debris Burning,41.8834,-69.98
242301,MA,1995,0.3,B,Equipment Use,41.9959,-70.0189
242302,MA,1995,0.2,A,Miscellaneous,42.0015,-70.0225
242303,MA,1996,0.4,B,Debris Burning,41.9598,-69.9981
242304,MA,1996,0.2,A,Miscellaneous,41.913336,-70.01060799999999
242305,MA,1996,1.5,B,Miscellaneous,42.0312,-70.055
242306,MA,1996,0.1,A,Campfire,41.89806,-69.98195
242307,MA,1997,3.0,B,Debris Burning,41.9668,-70.0484
242308,MA,1997,0.1,A,Miscellaneous,42.052,-70.08
242309,MA,1997,0.1,A,Smoking,42.052,-70.08
242310,MA,1997,0.1,A,Campfire,41.93899999999999,-70.0092
242311,MA,1997,0.1,A,Miscellaneous,41.9351,-70.002
242312,MA,1997,0.1,A,Miscellaneous,41.931999999999995,-69.9784
242313,MA,1997,0.1,A,Campfire,41.9232,-69.9756
242314,MA,1997,1.0,B,Debris Burning,41.9768,-70.0306
242315,MA,1997,0.6,B,Smoking,42.0759,-70.22
242316,MA,1997,0.1,A,Miscellaneous,42.0765,-70.21
242317,MA,1998,3.0,B,Smoking,42.0504,-70.0989
242318,MA,1999,0.1,A,Equipment Use,41.9473,-70.0056
242319,MA,1999,0.2,A,Campfire,42.0598,-70.1947
242320,MA,1999,0.1,A,Smoking,41.922183000000004,-69.974703
242321,MA,1999,0.2,A,Debris Burning,41.8434,-69.957
242322,MA,1999,0.2,A,Debris Burning,42.0509,-70.1086
242323,MA,1999,0.6,B,Miscellaneous,42.075458000000005,-70.159719
242324,MA,1999,0.1,A,Smoking,41.9645,-70.0211
242325,MA,1992,3.0,B,Miscellaneous,42.447697999999995,-71.265034
354656,MA,2000,0.8,B,Campfire,41.9473,-69.9917
354657,MA,2000,1.0,B,Miscellaneous,42.0515,-70.1175
354658,MA,2001,0.3,B,Miscellaneous,41.884596,-69.985742
354659,MA,2001,2.0,B,Smoking,42.025397,-70.177456
354660,MA,2001,0.1,A,Equipment Use,41.8465,-69.9489
354661,MA,2002,0.1,A,Missing/Undefined,41.9251,-69.9911
354662,MA,2004,1.0,B,Children,41.888999999999996,-69.9745
354663,MA,2004,0.1,A,Debris Burning,41.8982,-69.9817
354664,MA,2004,0.1,A,Smoking,42.049,-70.2189
354665,MA,2004,0.1,A,Campfire,41.8782,-69.9786
354666,MA,2005,0.1,A,Miscellaneous,42.060889,-70.195401
354667,MA,2005,1.0,B,Arson,42.0504,-70.0989
354668,MA,2005,1.0,B,Fireworks,41.893381,-69.984942
354669,MA,2006,2.7,B,Smoking,41.9434,-70.0764
354670,MA,2007,0.1,A,Smoking,41.8434,-69.9589
354671,MA,2008,0.1,A,Powerline,41.9048,-69.9789
354672,MA,2009,1.0,B,Smoking,42.0379,-70.0661
354673,MA,2001,0.1,A,Lightning,42.447804999999995,-71.262222
360412,MA,1995,0.1,A,Miscellaneous,42.35,-71.38333333
361473,MA,1997,0.1,A,Debris Burning,42.4,-71.38333333
365081,MA,2001,7.0,B,Lightning,41.58111111,-70.4925
367080,MA,2003,1.3,B,Arson,42.35722222,-71.38055556
367081,MA,2003,0.8,B,Arson,42.40139,-71.37445
367082,MA,2003,23.1,C,Arson,42.38277778,-71.47222222
367083,MA,2003,1.1,B,Arson,42.3475,-71.36805556
368170,MA,2004,8.5,B,Arson,42.41305556,-71.47527778
370905,MA,2006,1.0,B,Miscellaneous,41.88944444,-70.645
370906,MA,2006,5.0,B,Miscellaneous,42.345,-71.38583333
372127,MA,2007,3.0,B,Arson,42.38055556,-71.46472222
372128,MA,2007,0.3,B,Miscellaneous,42.77666667,-70.80694444
372824,MA,2008,8.0,B,Miscellaneous,42.53388889,-71.29888889
375748,MA,2004,0.1,A,Smoking,41.72,-70.58
375749,MA,2004,0.1,A,Smoking,41.75,-70.6
375750,MA,2001,1.0,B,Equipment Use,41.73,-70.58
375751,MA,2003,0.1,A,Miscellaneous,41.71,-70.6
375752,MA,2002,0.5,B,Arson,41.72,-70.6
375753,MA,2003,0.1,A,Lightning,41.69,-70.63
375754,MA,2003,1.0,B,Miscellaneous,41.67,-70.61
375755,MA,2001,1.0,B,Arson,41.74,-70.59
375756,MA,2003,0.5,B,Smoking,41.78,-70.54
375757,MA,2003,0.1,A,Miscellaneous,41.74,-70.61
375758,MA,2004,0.5,B,Smoking,41.75,-70.6
375759,MA,2001,1.0,B,Smoking,41.75,-70.59
375760,MA,2002,0.1,A,Miscellaneous,41.66,-70.6
375761,MA,2002,0.5,B,Miscellaneous,41.71,-70.62
375762,MA,2002,5.0,B,Arson,41.72,-70.6
375763,MA,2002,1.0,B,Miscellaneous,41.72,-70.6
375764,MA,2004,0.2,A,Miscellaneous,41.69,-70.62
375765,MA,2002,0.5,B,Miscellaneous,41.71,-70.62
375766,MA,2002,1.0,B,Miscellaneous,41.72,-70.59
375767,MA,2002,0.1,A,Smoking,41.75,-70.6
375768,MA,2002,0.1,A,Smoking,41.72,-70.59
375769,MA,2002,1.0,B,Smoking,41.74,-70.59
375770,MA,2002,0.5,B,Smoking,41.78,-70.54
375771,MA,2002,1.0,B,Arson,41.77,-70.62
375772,MA,2001,1.0,B,Smoking,41.75,-70.59
375773,MA,2002,0.2,A,Miscellaneous,41.72,-70.6
375774,MA,2002,0.5,B,Smoking,41.77,-70.62
375775,MA,2002,0.1,A,Smoking,41.75,-70.59
375776,MA,2002,0.1,A,Miscellaneous,41.75,-70.61
375777,MA,2002,0.5,B,Arson,41.72,-70.59
375778,MA,2002,0.2,A,Miscellaneous,41.77,-70.52
375779,MA,2001,0.2,A,Smoking,41.78,-70.55
375780,MA,2004,1.0,B,Miscellaneous,41.79,-70.56
375781,MA,2001,1.0,B,Miscellaneous,41.71,-70.59
375782,MA,2002,1.0,B,Miscellaneous,41.69,-70.63
