,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
242171,MD,1999,0.1,A,Miscellaneous,38.68277,-77.09828
242209,MD,1994,0.1,A,Lightning,39.48118,-77.74812
242210,MD,1994,1.0,B,Miscellaneous,39.4731,-77.75192
242211,MD,1995,0.5,B,Debris Burning,39.47381,-77.75356
242212,MD,1996,4.0,B,Miscellaneous,39.45497,-77.72821
242213,MD,1997,0.1,A,Smoking,39.47568,-77.74778
242214,MD,1998,0.5,B,Debris Burning,39.475,-77.75166999999999
242215,MD,1999,0.1,A,Equipment Use,39.46901,-77.73328000000001
242216,MD,1999,0.1,A,Miscellaneous,39.451190000000004,-77.7327
242217,MD,1994,0.1,A,Campfire,39.64852,-77.478096
242218,MD,1995,0.1,A,Miscellaneous,39.64564,-77.475789
242219,MD,1995,0.1,A,Missing/Undefined,39.6334,-77.4497
242220,MD,1995,0.1,A,Smoking,39.62607,-77.43745200000001
242221,MD,1998,0.2,A,Smoking,39.65939,-77.477846
242222,MD,1999,0.2,A,Smoking,39.642790000000005,-77.45840600000001
242223,MD,1999,0.2,A,Smoking,39.6434,-77.4486
242224,MD,1992,0.1,A,Arson,39.31081,-77.627273
242226,MD,1992,0.1,A,Miscellaneous,39.22495,-77.452628
242227,MD,1993,0.1,A,Campfire,39.60582,-77.919816
242228,MD,1993,0.8,B,Campfire,39.50157,-77.840549
242229,MD,1994,3.0,B,Children,39.37437,-77.74081600000001
242230,MD,1995,0.5,B,Children,38.97155,-77.160842
242231,MD,1995,0.1,A,Campfire,38.970187,-77.198761
242232,MD,1995,0.1,A,Miscellaneous,38.99284,-77.245711
242233,MD,1995,0.1,A,Arson,39.60911,-77.8397
242234,MD,1996,0.5,B,Miscellaneous,38.9927,-77.237135
242235,MD,1996,0.1,A,Campfire,39.067890000000006,-77.332437
242236,MD,1997,0.5,B,Smoking,39.36446,-77.739106
242237,MD,1997,0.1,A,Debris Burning,39.324940000000005,-77.71357900000001
242238,MD,1992,0.1,A,Miscellaneous,38.99471,-76.87939200000001
242239,MD,1995,2.0,B,Miscellaneous,39.00043,-76.86748399999999
242240,MD,1995,0.5,B,Campfire,38.97907,-76.902523
354621,MD,2006,0.1,A,Smoking,39.00166,-77.243147
354622,MD,2006,0.1,A,Campfire,38.9711,-77.2014
354623,MD,2006,0.1,A,Campfire,38.98153,-77.23688299999999
354624,MD,2007,0.1,A,Campfire,38.940981,-77.1233
354625,MD,2006,1.0,B,Arson,38.97398,-76.91025
354626,MD,2006,1.0,B,Arson,38.97201,-76.89924
354627,MD,2008,2.9,B,Arson,38.9831,-76.8947
354638,MD,2005,0.6,B,Equipment Use,39.361740000000005,-77.392202
354641,MD,2006,0.1,A,Campfire,38.9153,-77.1042
354674,MD,2000,0.1,A,Campfire,38.119,-75.1824
354675,MD,2000,0.1,A,Campfire,38.118885999999996,-75.178673
354676,MD,2009,0.1,A,Miscellaneous,38.5283,-77.0364
359039,MD,1992,140.0,D,Arson,38.38333333,-76.1
359040,MD,1992,200.0,D,Arson,38.41666667,-76.08333333
359041,MD,1992,151.0,D,Arson,38.38333333,-76.1
359042,MD,1992,269.0,D,Arson,38.41666667,-76.08333333
359043,MD,1992,30.0,C,Arson,38.43333333,-76.08333333
359044,MD,1992,30.0,C,Arson,38.43333333,-76.08333333
359045,MD,1992,200.0,D,Arson,38.4,-76.03333333
359046,MD,1992,50.0,C,Arson,38.4,-76.03333333
359047,MD,1992,90.0,C,Arson,38.4,-76.03333333
359493,MD,1993,130.0,D,Arson,38.38333333,-76.1
359494,MD,1993,225.0,D,Arson,38.38333333,-76.1
359495,MD,1993,280.0,D,Arson,38.38333333,-76.1
359496,MD,1993,250.0,D,Arson,38.38333333,-76.1
359497,MD,1993,230.0,D,Arson,38.41666667,-76.08333333
359498,MD,1993,42.0,C,Arson,38.45,-76.08333333
359499,MD,1993,200.0,D,Arson,38.4,-76.11666667
359500,MD,1993,300.0,E,Arson,38.41666667,-76.08333333
359501,MD,1993,15.0,C,Miscellaneous,38.38333333,-76.1
359946,MD,1994,120.0,D,Arson,38.424440000000004,-76.07744
359947,MD,1994,30.0,C,Arson,38.4,-76.04136
359948,MD,1994,140.0,D,Arson,38.424721999999996,-76.083056
359949,MD,1994,45.0,C,Arson,38.40011,-76.11631
359950,MD,1994,25.0,C,Arson,38.42028,-76.15012
359951,MD,1994,60.0,C,Arson,38.450109999999995,-76.09964000000001
359952,MD,1994,70.0,C,Arson,38.42694,-76.07469
359953,MD,1994,290.0,D,Arson,38.38483,-76.08006
359954,MD,1994,0.1,A,Arson,38.44194444,-76.15222222
359955,MD,1994,0.1,A,Equipment Use,38.22917,-76.04992
359956,MD,1994,2.0,B,Lightning,38.4275,-76.16521999999999
359957,MD,1994,0.5,B,Arson,38.416109999999996,-76.05764
360413,MD,1995,410.0,E,Arson,38.38575,-76.10082
360414,MD,1995,360.0,E,Arson,38.426944,-76.151111
360415,MD,1995,180.0,D,Arson,38.424721999999996,-76.143056
360416,MD,1995,50.0,C,Arson,38.394444,-76.03694399999999
360417,MD,1995,8.0,B,Arson,38.42389,-76.07014000000001
360418,MD,1995,100.0,D,Arson,38.41972,-76.14444
360419,MD,1995,100.0,D,Arson,38.40011,-76.11631
360420,MD,1995,10.0,C,Arson,38.393609999999995,-76.04522
360421,MD,1995,10.0,C,Arson,38.40011,-76.11631
360422,MD,1995,15.0,C,Arson,38.40011,-76.11631
360423,MD,1995,10.0,C,Arson,38.378609999999995,-76.10268
360424,MD,1995,10.0,C,Arson,38.380559999999996,-76.1014
360425,MD,1995,10.0,C,Arson,38.40011,-76.11631
360426,MD,1995,10.0,C,Arson,38.37778,-76.09546999999999
360427,MD,1995,2.0,B,Arson,38.43222,-76.06281
360428,MD,1995,5.0,B,Arson,38.42778,-76.14331
360429,MD,1995,0.2,A,Arson,38.420559999999995,-76.13619
360430,MD,1995,1.0,B,Arson,38.45142,-76.10141
360431,MD,1995,5.5,B,Debris Burning,38.44611,-76.15169
360432,MD,1995,1.1,B,Arson,38.450109999999995,-76.09964000000001
360433,MD,1995,1.5,B,Arson,38.450109999999995,-76.06631
360434,MD,1995,1.0,B,Arson,38.450109999999995,-76.09964000000001
360895,MD,1996,62.0,C,Arson,38.38111,-76.08039000000001
360896,MD,1996,50.0,C,Arson,38.388059999999996,-76.10047
360897,MD,1996,95.0,C,Arson,38.422779999999996,-76.14039
360898,MD,1996,13.0,C,Arson,38.43056,-76.14344
360899,MD,1996,10.0,C,Arson,38.41666667,-76.1
360900,MD,1996,25.0,C,Arson,38.418079999999996,-76.13591
360901,MD,1996,10.0,C,Arson,38.4275,-76.13461
360902,MD,1996,2.0,B,Arson,38.431670000000004,-76.13548
360903,MD,1996,0.5,B,Arson,38.40011,-76.11631
360904,MD,1996,10.0,C,Arson,38.39083,-76.07644
360905,MD,1996,3.0,B,Arson,38.3775,-76.10059
360906,MD,1996,3.0,B,Arson,38.44417,-76.15269
360907,MD,1996,20.0,C,Arson,38.40011,-76.11631
360908,MD,1996,4.0,B,Arson,38.41556,-76.14083000000001
361474,MD,1997,20.0,C,Arson,38.380559999999996,-76.07644
361475,MD,1997,20.0,C,Arson,38.385,-76.09594
361476,MD,1997,30.0,C,Arson,38.42194,-76.15058
361477,MD,1997,1.0,B,Arson,39.56413,-76.08708
361478,MD,1997,2.0,B,Arson,38.375,-76.10209
361479,MD,1997,2.0,B,Arson,38.39972,-76.07681
361480,MD,1997,5.0,B,Arson,38.38278,-76.10175
361481,MD,1997,5.0,B,Arson,38.42667,-76.06994
361482,MD,1997,5.0,B,Arson,38.38361,-76.06787
361483,MD,1997,20.0,C,Arson,38.38917,-76.07633
361484,MD,1997,10.0,C,Arson,38.39333,-76.07203
361485,MD,1997,22.0,C,Arson,38.40833333,-75.88333333
361486,MD,1997,35.7,C,Equipment Use,38.45917,-76.25944
361487,MD,1997,0.2,A,Arson,38.43592,-76.15294
361488,MD,1997,0.1,A,Arson,38.41666667,-76.05
362049,MD,1998,0.1,A,Arson,38.41361,-76.05861
362050,MD,1998,3.0,B,Arson,38.38888889,-76.10797
362051,MD,1998,5.0,B,Arson,38.36333,-76.08989
362052,MD,1998,270.0,D,Arson,38.325,-76.07361111
362053,MD,1998,10.0,C,Arson,38.42528,-76.13178
362054,MD,1998,60.0,C,Arson,38.38889,-75.995
362055,MD,1998,3.4,B,Debris Burning,38.44444,-76.07989
362056,MD,1998,0.3,B,Equipment Use,38.42916667,-76.02464
362057,MD,1998,0.5,B,Miscellaneous,38.38861,-76.13283
362058,MD,1998,15.0,C,Miscellaneous,38.4,-75.95833333
362059,MD,1998,20.0,C,Smoking,38.59166667,-76.23333333
362060,MD,1998,15.0,C,Equipment Use,39.08278,-76.79167
362971,MD,1999,150.0,D,Debris Burning,38.3,-76.08333333
362972,MD,1999,1.5,B,Arson,38.38888889,-76.09685999999999
362973,MD,1999,100.0,D,Arson,38.34166667,-76.05833333
362974,MD,1999,45.0,C,Arson,38.416779999999996,-76.17444
362975,MD,1999,1.0,B,Debris Burning,38.3,-76.04166667
362976,MD,1999,100.0,D,Debris Burning,38.375,-76.06631
362977,MD,1999,75.0,C,Debris Burning,38.35,-76.04166667
362978,MD,1999,900.0,E,Arson,38.39166667,-76.00833333
362979,MD,1999,7.0,B,Arson,38.373059999999995,-75.922
362980,MD,1999,2.0,B,Arson,38.37388889,-75.91916667
362981,MD,1999,0.1,A,Arson,38.37333333,-75.92166667
362982,MD,1999,7.0,B,Arson,38.99444444,-75.73333333
362983,MD,1999,1.0,B,Arson,38.37472222,-75.93333333
362984,MD,1999,0.1,A,Arson,38.39138889,-76.07305556
362985,MD,1999,9.3,B,Debris Burning,38.55,-76.16666667
362986,MD,1999,197.0,D,Arson,38.35,-76.15
362987,MD,1999,6.3,B,Debris Burning,38.45555556,-76.08019
362988,MD,1999,6.0,B,Lightning,38.46666667,-75.93333333
362989,MD,1999,0.1,A,Debris Burning,38.466390000000004,-76.26556
362990,MD,1999,5.0,B,Arson,38.325,-76.13333333
362991,MD,1999,1.0,B,Debris Burning,38.44194,-76.1475
362992,MD,1999,0.1,A,Debris Burning,38.37556,-76.12380999999999
362993,MD,1999,0.1,A,Miscellaneous,38.456109999999995,-76.25108
362994,MD,1999,0.1,A,Equipment Use,38.43333,-75.875
362995,MD,1999,0.1,A,Lightning,38.45833,-76.04297
362996,MD,1999,5.0,B,Lightning,38.45833333,-76.85833333
362997,MD,1999,5.0,B,Miscellaneous,39.0822,-76.74805556
362998,MD,1999,0.1,A,Equipment Use,39.08333,-76.77694
362999,MD,1999,0.1,A,Miscellaneous,39.03,-76.79111111
364032,MD,2000,25.0,C,Debris Burning,38.41666667,-75.975
364033,MD,2000,30.0,C,Debris Burning,38.375,-75.875
364034,MD,2000,40.0,C,Arson,38.36875,-76.09985999999999
364035,MD,2000,50.0,C,Arson,38.38611111,-76.05519
364036,MD,2000,2.0,B,Arson,38.31861,-75.09583
364037,MD,2000,20.0,C,Arson,38.36611,-76.05218
364038,MD,2000,1.0,B,Arson,38.50833333,-75.80833333
364039,MD,2000,20.0,C,Lightning,38.55,-75.90833333
364040,MD,2000,20.0,C,Lightning,38.55,-75.90833333
364041,MD,2000,0.5,B,Debris Burning,38.49028,-76.13928
364042,MD,2000,0.2,A,Arson,39.08278,-76.73083000000001
365082,MD,2001,10.0,C,Arson,38.40681,-76.18139000000001
365083,MD,2001,20.0,C,Arson,38.35,-76.13333333
365084,MD,2001,170.0,D,Arson,38.37,-76.04791999999999
365085,MD,2001,20.0,C,Arson,38.36817,-76.04628000000001
365086,MD,2001,150.0,D,Arson,38.41666667,-76.99166667
365087,MD,2001,0.5,B,Debris Burning,38.46678,-76.06631
365088,MD,2001,1580.0,F,Arson,38.35,-75.91666667
365089,MD,2001,1756.0,F,Arson,38.35416667,-75.95
365090,MD,2001,500.0,E,Arson,38.35,-75.91666667
365091,MD,2001,100.0,D,Arson,38.38611111,-76.05555556
