,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
16023,ME,2006,40.0,C,Debris Burning,44.36805556,-70.8125
84598,ME,1995,0.3,B,Lightning,44.325,-70.81333333
133307,ME,2000,51.0,C,Miscellaneous,44.31666667,-70.81666667
140255,ME,2001,5.0,B,Lightning,44.31666667,-70.85
140258,ME,2001,0.2,A,Lightning,44.30222222,-70.8
151051,ME,2002,0.1,A,Campfire,44.30027778,-70.81888889
174232,ME,1996,0.5,B,Arson,45.2001,-68.0661
174233,ME,1997,0.1,A,Children,45.2334,-67.5828
174234,ME,1997,3.0,B,Lightning,45.1834,-68.1995
174235,ME,1997,0.2,A,Campfire,45.2667,-68.0661
174236,ME,1997,1.5,B,Arson,45.1834,-68.0495
174237,ME,1998,2.0,B,Lightning,45.1834,-68.1161
174238,ME,1994,0.1,A,Campfire,45.2667,-68.0495
174239,ME,1994,0.1,A,Lightning,45.2667,-68.0995
175085,ME,1993,0.1,A,Campfire,45.0001,-68.1828
175086,ME,1994,1.0,B,Lightning,45.1834,-68.0495
175087,ME,1994,0.2,A,Campfire,45.2334,-67.5661
175088,ME,1994,0.1,A,Children,45.3001,-67.5994
175089,ME,1995,0.1,A,Arson,45.2667,-67.6161
175090,ME,1995,0.4,B,Arson,44.9667,-67.0661
175091,ME,1995,0.2,A,Arson,44.9667,-67.0661
175092,ME,1995,0.1,A,Arson,44.9667,-67.0661
175093,ME,1995,2.2,B,Arson,44.9667,-67.0661
175094,ME,1995,0.1,A,Arson,44.9667,-67.0661
175095,ME,1995,0.3,B,Arson,44.9667,-67.0661
175096,ME,1995,1.5,B,Arson,44.9667,-67.0661
175097,ME,1995,0.3,B,Arson,44.9667,-67.0661
175098,ME,1995,0.2,A,Arson,44.9667,-67.0661
175099,ME,1995,0.1,A,Arson,45.2501,-67.6161
175100,ME,1995,0.2,A,Arson,45.2667,-67.6328
175101,ME,1995,0.3,B,Arson,45.2834,-67.6661
175102,ME,1995,0.1,A,Smoking,44.8001,-67.7661
175103,ME,1995,0.3,B,Arson,44.8001,-67.7328
175104,ME,1995,1.0,B,Lightning,45.3667,-67.4994
175105,ME,1995,0.1,A,Arson,45.2501,-67.6161
175106,ME,1995,0.2,A,Children,45.2167,-67.6328
175107,ME,1995,3.0,B,Arson,45.3001,-67.6328
175108,ME,1996,0.1,A,Arson,45.2501,-67.6161
242269,ME,1995,1.0,B,Campfire,45.12107,-70.35264000000001
242326,ME,1993,0.1,A,Fireworks,44.339694,-68.177128
242327,ME,1993,0.5,B,Debris Burning,44.332619,-68.529113
242328,ME,1993,0.1,A,Campfire,44.309819,-68.190387
242329,ME,1993,0.1,A,Campfire,44.332386,-68.370174
242330,ME,1993,3.0,B,Debris Burning,44.38295,-68.50988000000001
242331,ME,1993,5.0,B,Debris Burning,44.339647,-68.488912
242332,ME,1993,15.0,C,Debris Burning,44.362258000000004,-68.51130699999999
242333,ME,1993,0.1,A,Children,44.374808,-68.193595
242334,ME,1994,0.1,A,Equipment Use,44.322922,-68.33254699999999
242335,ME,1994,0.3,B,Arson,44.314445,-68.194122
242336,ME,1994,0.1,A,Campfire,44.328687,-68.366085
242337,ME,1994,100.0,D,Children,44.583377,-68.166157
242338,ME,1994,4.0,B,Debris Burning,44.366362,-68.51639899999999
242339,ME,1995,0.1,A,Miscellaneous,44.360709,-68.198657
242340,ME,1995,0.1,A,Miscellaneous,44.409884999999996,-68.24590400000001
242341,ME,1995,0.1,A,Smoking,44.308593,-68.204553
242342,ME,1995,0.1,A,Children,44.398476,-68.231693
242343,ME,1997,0.1,A,Arson,44.379494,-68.233359
242344,ME,1997,0.1,A,Children,44.4125,-68.269654
242345,ME,1997,0.1,A,Equipment Use,44.280485,-68.352689
242346,ME,1997,0.1,A,Smoking,44.046282,-68.639185
242347,ME,1997,0.1,A,Equipment Use,44.314095,-68.337198
242348,ME,1997,0.1,A,Miscellaneous,44.319827000000004,-68.254201
242349,ME,1997,0.1,A,Campfire,44.374239,-68.259466
242350,ME,1997,0.1,A,Smoking,44.332696,-68.177688
242351,ME,1997,0.1,A,Campfire,44.349428,-68.241297
242352,ME,1998,0.1,A,Powerline,44.379515000000005,-68.233665
242353,ME,1998,0.2,A,Campfire,44.304889,-68.319974
251752,ME,2000,2.5,B,Campfire,45.2987,-67.5622
251753,ME,2001,30.0,C,Children,44.9698,-67.0616
251754,ME,2001,0.5,B,Lightning,45.2437,-68.0047
251755,ME,2001,8.8,B,Arson,45.2795,-67.6486
251756,ME,2004,0.7,B,Campfire,45.8437,-70.0895
354677,ME,2000,1.0,B,Debris Burning,44.479914,-68.279573
354678,ME,2001,20.2,C,Debris Burning,44.576631,-68.79469
354679,ME,2001,13.0,C,Miscellaneous,44.555203999999996,-68.166588
354680,ME,2001,0.1,A,Miscellaneous,44.39287,-68.233193
354681,ME,2001,0.1,A,Powerline,44.377159999999996,-68.245322
354682,ME,2001,0.1,A,Smoking,44.304916,-68.35030400000001
354683,ME,2001,1.0,B,Campfire,44.401736,-68.312781
354684,ME,2001,0.1,A,Arson,44.359678,-68.199647
354685,ME,2001,0.1,A,Miscellaneous,44.417196999999994,-68.249282
354686,ME,2001,0.1,A,Campfire,44.299806,-68.365147
354687,ME,2002,0.1,A,Lightning,44.31329,-68.331518
354688,ME,2002,1.0,B,Lightning,44.616776,-68.249461
354689,ME,2002,0.1,A,Campfire,44.39043,-68.20508199999999
354690,ME,2002,0.1,A,Smoking,44.32925,-68.176123
354691,ME,2003,124.0,D,Miscellaneous,44.524278,-68.121154
354692,ME,2003,0.5,B,Miscellaneous,44.340046,-68.298743
354693,ME,2004,0.5,B,Equipment Use,44.331022999999995,-68.25029599999999
354694,ME,2004,0.1,A,Equipment Use,44.358198,-68.2058
