,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
2214,MI,2005,2.0,B,Debris Burning,43.57111111,-85.97916667
2323,MI,2005,66.0,C,Equipment Use,43.94416667,-82.99027778
2335,MI,2005,1.5,B,Miscellaneous,43.43,-85.80666667
2338,MI,2005,0.1,A,Debris Burning,43.59083333,-85.80416667
2354,MI,2005,2.0,B,Arson,43.45361111,-85.7925
2363,MI,2005,2.0,B,Debris Burning,43.51861111,-85.63527778
2368,MI,2005,0.1,A,Debris Burning,43.59,-85.74111111
2371,MI,2005,0.1,A,Miscellaneous,44.13722222,-86.24111111
2373,MI,2005,5.0,B,Campfire,43.815,-85.91333333
2381,MI,2005,0.5,B,Debris Burning,43.61833333,-85.69277778
2385,MI,2005,0.1,A,Campfire,44.21388889,-85.59611111
2390,MI,2005,2.0,B,Campfire,44.215,-85.71916667
2394,MI,2005,0.1,A,Equipment Use,44.14972222,-85.78305556
2427,MI,2005,1.0,B,Debris Burning,43.63277778,-85.77194444
2430,MI,2005,0.2,A,Debris Burning,43.3875,-85.7975
2434,MI,2005,0.1,A,Campfire,43.67638889,-85.56916667
2436,MI,2005,24.0,C,Miscellaneous,43.62083333,-85.78416667
2446,MI,2005,0.1,A,Debris Burning,43.62555556,-85.78777778
2450,MI,2005,3.0,B,Miscellaneous,43.93111111,-85.92361111
2451,MI,2005,0.1,A,Debris Burning,43.49083333,-85.59638889
2452,MI,2005,4.0,B,Campfire,43.71111111,-85.90777778
2518,MI,2005,0.1,A,Children,43.41944444,-85.71388889
2521,MI,2005,2.0,B,Smoking,43.5075,-85.92194444
2522,MI,2005,1.0,B,Debris Burning,43.88888889,-85.07805556
2524,MI,2005,0.5,B,Miscellaneous,44.12888889,-86.31055556
2528,MI,2005,2.0,B,Debris Burning,44.15944444,-85.86611111
2531,MI,2005,1.0,B,Campfire,44.14222222,-85.93166667
2536,MI,2005,0.25,A,Miscellaneous,43.56916667,-85.83083333
2538,MI,2005,0.25,A,Miscellaneous,43.66888889,-85.88388889
2545,MI,2005,3.0,B,Miscellaneous,43.65555556,-85.70555556
2547,MI,2005,0.1,A,Campfire,44.18166667,-85.94111111
2549,MI,2005,0.1,A,Debris Burning,44.13972222,-85.87472222
2550,MI,2005,0.75,B,Campfire,43.86055556,-85.89944444
2553,MI,2005,0.1,A,Miscellaneous,44.21138889,-85.72
2556,MI,2005,5.0,B,Debris Burning,43.59166667,-85.69138889
2557,MI,2005,0.1,A,Debris Burning,43.72472222,-85.87583333
2559,MI,2005,0.5,B,Debris Burning,44.19361111,-85.65805556
2562,MI,2005,0.5,B,Miscellaneous,44.36527778,-85.8425
3128,MI,2005,0.1,A,Lightning,46.22666667,-88.97944444
3168,MI,2005,0.1,A,Debris Burning,46.47777778,-89.02638889
3169,MI,2005,0.1,A,Campfire,46.45555556,-88.91222222
3171,MI,2005,0.1,A,Campfire,46.26666667,-89.08444444
3172,MI,2005,0.1,A,Lightning,46.38694444,-88.88777778
3174,MI,2005,3.0,B,Lightning,46.6775,-88.00027778
3176,MI,2005,3.2,B,Lightning,46.7025,-87.96694444
5840,MI,2008,0.1,A,Miscellaneous,44.56638889,-83.99361111
6173,MI,2005,0.1,A,Lightning,46.33333333,-87.15166667
6174,MI,2005,1.0,B,Miscellaneous,46.33333333,-86.71111111
6175,MI,2005,0.12,A,Arson,46.28777778,-86.67388889
6176,MI,2005,8.0,B,Lightning,46.05861111,-84.93527778
6177,MI,2005,0.4,B,Lightning,46.23333333,-86.84388889
6179,MI,2005,2.0,B,Lightning,46.29472222,-84.80166667
6180,MI,2005,2.5,B,Lightning,46.04833333,-86.53222222
6181,MI,2005,0.5,B,Lightning,46.24083333,-84.75833333
6184,MI,2005,3.0,B,Children,43.65527778,-85.95888889
6185,MI,2005,0.1,A,Campfire,46.18333333,-86.57527778
6186,MI,2005,0.2,A,Miscellaneous,46.06666667,-86.53361111
6188,MI,2005,0.25,A,Debris Burning,46.12222222,-84.56861111
6189,MI,2005,0.1,A,Lightning,45.98277778,-84.94
6190,MI,2005,0.1,A,Lightning,46.31666667,-86.62527778
6191,MI,2005,45.0,C,Lightning,46.075,-86.37916667
6392,MI,2005,1.1,B,Railroad,45.89944444,-86.72277778
6397,MI,2005,0.1,A,Lightning,45.91666667,-86.58333333
6399,MI,2005,0.1,A,Lightning,45.93694444,-86.81666667
7181,MI,2006,3.0,B,Debris Burning,44.32305556,-83.85222222
7267,MI,2006,0.05,A,Debris Burning,43.57722222,-85.80805556
7268,MI,2006,15.0,C,Debris Burning,43.48305556,-85.70583333
7269,MI,2006,0.25,A,Debris Burning,43.55527778,-85.71472222
7278,MI,2006,0.5,B,Debris Burning,44.22722222,-85.95222222
7290,MI,2006,0.75,B,Miscellaneous,43.69388889,-85.6175
7291,MI,2006,0.25,A,Debris Burning,43.71333333,-85.56583333
7338,MI,2006,2.0,B,Campfire,43.94527778,-85.94916667
7339,MI,2006,1.0,B,Debris Burning,43.91666667,-86.01083333
7420,MI,2006,6.0,B,Debris Burning,44.1975,-86.1475
9967,MI,2006,0.5,B,Lightning,46.67055556,-87.97111111
9975,MI,2006,0.25,A,Equipment Use,46.26722222,-89.10694444
10379,MI,2006,0.01,A,Campfire,46.0,-84.69694444
10399,MI,2006,2.6,B,Campfire,46.0,-84.69277778
10400,MI,2006,0.62,B,Miscellaneous,46.2,-86.83833333
10401,MI,2006,5.18,B,Debris Burning,45.80222222,-86.83361111
10463,MI,2006,0.9,B,Miscellaneous,45.9575,-86.955
10466,MI,2006,0.1,A,Campfire,45.5,-84.83333333
10469,MI,2006,2.6,B,Debris Burning,46.30416667,-86.65583333
10473,MI,2006,8.0,B,Lightning,46.13166667,-86.52833333
10613,MI,2006,2.5,B,Lightning,46.11666667,-86.4025
10617,MI,2006,1.55,B,Debris Burning,46.34583333,-84.96833333
10733,MI,2006,2.5,B,Equipment Use,46.29861111,-89.73777778
11648,MI,2006,4.0,B,Lightning,46.24027778,-86.54055556
11650,MI,2006,5.0,B,Miscellaneous,45.90611111,-86.935
11652,MI,2006,0.7,B,Railroad,45.90361111,-86.90083333
11656,MI,2006,3.0,B,Campfire,46.31,-86.73
13918,MI,2006,0.01,A,Miscellaneous,46.47722222,-84.69944444
15310,MI,2006,2.0,B,Debris Burning,44.53277778,-84.13194444
15321,MI,2006,6.5,B,Lightning,44.67,-83.9075
15394,MI,2006,20.0,C,Debris Burning,43.96027778,-86.04083333
15395,MI,2006,27.0,C,Miscellaneous,44.09666667,-86.15527778
15396,MI,2006,2.0,B,Debris Burning,43.49083333,-85.67055556
15397,MI,2006,0.5,B,Miscellaneous,44.22888889,-86.13277778
