,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
197,MN,2005,0.25,A,Campfire,48.05944444,-90.3375
201,MN,2005,0.1,A,Debris Burning,47.7675,-91.9475
204,MN,2005,0.2,A,Debris Burning,47.94027778,-91.85166667
206,MN,2005,0.1,A,Children,47.89833333,-91.86861111
208,MN,2005,0.1,A,Arson,47.89805556,-91.87111111
213,MN,2005,0.25,A,Campfire,47.91805556,-91.90194444
239,MN,2005,0.23,A,Arson,47.54277778,-94.59638889
240,MN,2005,1.06,B,Arson,47.54138889,-94.57361111
241,MN,2005,0.37,B,Railroad,47.59888889,-94.53916667
242,MN,2005,0.24,A,Arson,47.53527778,-94.50027778
243,MN,2005,1.2,B,Arson,47.5625,-94.64833333
255,MN,2005,3.1,B,Arson,47.3175,-93.93388889
259,MN,2005,1.03,B,Arson,47.35444444,-94.17194444
262,MN,2005,0.41,B,Arson,47.35444444,-94.17222222
264,MN,2005,0.25,A,Arson,47.32638889,-93.93694444
266,MN,2005,1.5,B,Debris Burning,47.25305556,-93.91027778
268,MN,2005,12.0,C,Arson,47.48166667,-93.67138889
273,MN,2005,0.1,A,Miscellaneous,47.54972222,-93.97694444
275,MN,2005,0.1,A,Arson,47.55472222,-93.98472222
466,MN,2005,0.1,A,Arson,47.55555556,-93.985
467,MN,2005,0.1,A,Arson,47.55916667,-93.98666667
468,MN,2005,0.1,A,Arson,47.56,-93.98805556
469,MN,2005,0.1,A,Debris Burning,47.50583333,-93.56694444
470,MN,2005,0.1,A,Miscellaneous,47.61277778,-93.67916667
471,MN,2005,0.1,A,Miscellaneous,47.42472222,-94.00527778
474,MN,2005,0.1,A,Arson,47.11777778,-94.50416667
479,MN,2005,0.1,A,Debris Burning,47.1175,-94.51
538,MN,2005,3.5,B,Arson,47.40888889,-94.07305556
542,MN,2005,0.1,A,Debris Burning,47.07,-94.50472222
551,MN,2005,0.1,A,Arson,47.11388889,-94.50138889
553,MN,2005,0.1,A,Arson,47.1125,-94.50277778
559,MN,2005,0.1,A,Arson,47.10916667,-94.50277778
560,MN,2005,0.1,A,Arson,47.1125,-94.50222222
561,MN,2005,0.1,A,Arson,47.06333333,-94.44166667
563,MN,2005,0.2,A,Campfire,47.10833333,-94.50388889
564,MN,2005,0.1,A,Miscellaneous,47.21138889,-94.20916667
565,MN,2005,0.1,A,Debris Burning,47.03305556,-94.07
568,MN,2005,0.1,A,Miscellaneous,47.05222222,-94.24111111
575,MN,2005,0.42,B,Miscellaneous,47.11333333,-94.54277778
577,MN,2005,0.2,A,Debris Burning,47.05388889,-94.20027778
601,MN,2005,3.0,B,Smoking,47.10277778,-94.63777778
602,MN,2005,0.1,A,Arson,47.10222222,-94.57527778
603,MN,2005,0.8,B,Campfire,47.09583333,-94.54472222
605,MN,2005,0.3,B,Debris Burning,47.23611111,-94.20611111
606,MN,2005,0.5,B,Arson,47.16166667,-94.18
609,MN,2005,1.5,B,Debris Burning,47.06194444,-94.59833333
611,MN,2005,0.2,A,Lightning,48.12111111,-91.14972222
957,MN,2005,2.0,B,Lightning,47.9725,-92.19083333
958,MN,2005,1.0,B,Campfire,47.98666667,-91.475
959,MN,2005,0.1,A,Campfire,47.84611111,-91.8075
960,MN,2005,0.35,B,Lightning,47.09361111,-91.7625
961,MN,2005,1.0,B,Lightning,48.12083333,-91.71194444
962,MN,2005,5.0,B,Campfire,47.93722222,-91.96388889
963,MN,2005,0.5,B,Campfire,47.83277778,-91.62972222
1638,MN,2005,0.1,A,Campfire,47.88305556,-91.785
1648,MN,2005,0.3,B,Lightning,48.04583333,-91.8775
2016,MN,2005,0.1,A,Campfire,47.86694444,-90.5575
2017,MN,2005,0.1,A,Children,48.09111111,-90.69194444
2018,MN,2005,0.1,A,Campfire,48.07555556,-90.56055556
2039,MN,2005,0.5,B,Lightning,47.87111111,-91.72611111
2044,MN,2005,0.25,A,Campfire,47.70666667,-91.64333333
2051,MN,2005,0.25,A,Campfire,47.78805556,-91.94444444
2053,MN,2005,0.1,A,Miscellaneous,47.87111111,-91.70055556
2058,MN,2005,0.25,A,Miscellaneous,47.73916667,-91.86444444
2064,MN,2005,0.1,A,Debris Burning,47.95888889,-91.80833333
2067,MN,2005,1.0,B,Lightning,47.79555556,-91.52527778
2208,MN,2005,0.1,A,Lightning,48.08888889,-91.99416667
2209,MN,2005,0.25,A,Lightning,47.94694444,-91.52416667
2210,MN,2005,0.4,B,Arson,47.88722222,-91.79472222
2215,MN,2005,0.5,B,Lightning,48.09305556,-91.7525
2218,MN,2005,0.92,B,Lightning,48.22833333,-92.42333333
2512,MN,2005,0.1,A,Arson,47.13666667,-94.45416667
2513,MN,2005,5.0,B,Lightning,47.98388889,-90.41361111
2519,MN,2005,1.0,B,Lightning,48.04555556,-90.96361111
3065,MN,2005,0.1,A,Campfire,47.91833333,-91.58111111
3066,MN,2005,3.0,B,Lightning,48.14638889,-91.72972222
3074,MN,2005,8.0,B,Lightning,48.17027778,-92.05777778
3435,MN,2005,1335.0,F,Lightning,48.14,-90.96777778
3797,MN,2005,0.1,A,Debris Burning,47.07527778,-94.1075
4669,MN,2005,0.1,A,Arson,47.32416667,-93.94277778
4677,MN,2005,0.1,A,Campfire,47.10472222,-94.55111111
4682,MN,2005,0.1,A,Debris Burning,47.34361111,-94.20805556
4791,MN,2005,0.1,A,Debris Burning,47.32666667,-93.95194444
4794,MN,2005,0.1,A,Miscellaneous,47.65805556,-94.17833333
4807,MN,2005,3.5,B,Campfire,47.65055556,-91.82277778
4822,MN,2005,2.0,B,Lightning,47.63388889,-92.85194444
5055,MN,2005,2.0,B,Campfire,47.825,-91.08944444
5058,MN,2005,0.5,B,Lightning,47.87166667,-91.09666667
5071,MN,2005,0.5,B,Lightning,47.90472222,-91.12194444
5092,MN,2005,30.0,C,Campfire,47.88888889,-90.6925
5123,MN,2005,0.1,A,Miscellaneous,47.845,-90.81694444
5286,MN,2005,0.1,A,Miscellaneous,47.86055556,-90.66611111
5311,MN,2005,0.2,A,Lightning,47.76472222,-91.36361111
5323,MN,2005,0.1,A,Smoking,47.98527778,-90.7075
5331,MN,2005,0.1,A,Campfire,47.74777778,-90.99916667
5383,MN,2005,0.1,A,Debris Burning,47.61138889,-92.44555556
5398,MN,2005,0.1,A,Campfire,47.5175,-92.125
5412,MN,2005,0.25,A,Campfire,47.45527778,-91.83
