,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
1064,MO,2005,2.04,B,Arson,37.65,-90.80083333
1072,MO,2005,3.53,B,Miscellaneous,37.82166667,-91.23861111
1076,MO,2005,13.74,C,Debris Burning,37.77916667,-91.01
1077,MO,2005,2.5,B,Miscellaneous,37.82333333,-90.93333333
1081,MO,2005,3.2,B,Debris Burning,37.78583333,-91.05055556
1087,MO,2005,3.89,B,Debris Burning,37.80833333,-91.05833333
1090,MO,2005,81.35,C,Debris Burning,37.76277778,-91.1325
1092,MO,2005,43.15,C,Debris Burning,37.81111111,-91.06722222
1131,MO,2005,62.69,C,Equipment Use,37.89861111,-90.98722222
1132,MO,2005,30.93,C,Debris Burning,37.72083333,-90.97222222
1134,MO,2005,9.98,B,Arson,37.77,-91.08388889
1140,MO,2005,69.38,C,Miscellaneous,37.65416667,-91.02
1262,MO,2005,11.0,C,Miscellaneous,37.02166667,-92.11472222
1265,MO,2005,20.0,C,Arson,36.92194444,-92.25388889
1267,MO,2005,43.0,C,Arson,36.96305556,-92.0325
1318,MO,2005,0.03,A,Arson,37.92138889,-90.9525
1319,MO,2005,180.0,D,Debris Burning,36.67277778,-92.88555556
1322,MO,2005,1.4,B,Arson,36.66583333,-92.61555556
1353,MO,2005,0.9,B,Arson,36.95277778,-92.94638889
1354,MO,2005,6.0,B,Arson,36.95194444,-92.95472222
1355,MO,2005,5.0,B,Arson,36.73861111,-93.61638889
1358,MO,2005,12.0,C,Arson,36.89666667,-92.935
1364,MO,2005,1.0,B,Arson,36.93666667,-92.90833333
1366,MO,2005,23.0,C,Arson,36.97944444,-92.99138889
1368,MO,2005,30.0,C,Arson,36.65055556,-92.56388889
1377,MO,2005,3.0,B,Arson,36.89972222,-92.93194444
1489,MO,2005,1.0,B,Arson,36.95638889,-92.95277778
1490,MO,2005,3.0,B,Arson,36.9525,-92.94611111
1491,MO,2005,1.0,B,Arson,36.95388889,-92.95444444
1500,MO,2005,6.0,B,Arson,36.98055556,-92.99444444
1501,MO,2005,3.9,B,Arson,36.82555556,-92.07111111
1502,MO,2005,78.9,C,Debris Burning,36.96722222,-92.10277778
1504,MO,2005,1.3,B,Arson,36.62194444,-93.55638889
1506,MO,2005,0.1,A,Campfire,37.02972222,-92.12555556
1507,MO,2005,0.1,A,Arson,36.82972222,-92.07416667
1509,MO,2005,0.1,A,Campfire,36.59861111,-93.76472222
1543,MO,2005,7.3,B,Arson,36.72666667,-92.93666667
1544,MO,2005,0.1,A,Arson,36.80666667,-92.06472222
1552,MO,2005,0.5,B,Debris Burning,36.67194444,-92.59972222
1553,MO,2005,13.26,C,Debris Burning,37.79722222,-90.92833333
1555,MO,2005,0.5,B,Arson,36.90388889,-92.98055556
1556,MO,2005,8.77,B,Miscellaneous,37.51,-90.46333333
1557,MO,2005,28.56,C,Arson,37.93555556,-91.21083333
