,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
57,MT,2005,0.5,B,Debris Burning,48.92194444,-115.0925
58,MT,2005,9.0,B,Campfire,48.99833333,-115.16555556
60,MT,2005,5.0,B,Campfire,47.66555556,-115.56916667
64,MT,2005,2.0,B,Debris Burning,48.89944444,-115.10694444
65,MT,2005,0.1,A,Miscellaneous,48.90694444,-115.07666667
66,MT,2005,0.1,A,Campfire,48.40777778,-115.55833333
67,MT,2005,0.1,A,Campfire,48.40777778,-115.55777778
70,MT,2005,17.0,C,Debris Burning,48.96666667,-115.20666667
71,MT,2005,0.1,A,Campfire,48.96444444,-115.18583333
72,MT,2005,3.0,B,Miscellaneous,48.89444444,-115.16527778
73,MT,2005,0.25,A,Debris Burning,48.81694444,-115.11138889
74,MT,2005,0.1,A,Miscellaneous,48.9625,-115.08555556
79,MT,2005,0.1,A,Equipment Use,48.28222222,-115.51055556
80,MT,2005,0.1,A,Campfire,48.41666667,-115.54611111
81,MT,2005,0.1,A,Campfire,48.34888889,-115.49083333
82,MT,2005,0.1,A,Campfire,48.40833333,-115.55833333
84,MT,2005,0.3,B,Miscellaneous,48.22805556,-115.48027778
99,MT,2005,0.1,A,Railroad,48.45833333,-115.66666667
100,MT,2005,0.1,A,Campfire,48.40833333,-115.55833333
101,MT,2005,1.2,B,Debris Burning,48.76666667,-114.87833333
102,MT,2005,0.1,A,Children,48.41472222,-115.54805556
103,MT,2005,0.1,A,Campfire,48.40833333,-115.55833333
115,MT,2005,0.1,A,Campfire,48.40777778,-115.55777778
123,MT,2005,0.1,A,Miscellaneous,48.83083333,-115.67638889
124,MT,2005,0.9,B,Debris Burning,48.53888889,-115.93472222
125,MT,2005,15.4,C,Debris Burning,48.84694444,-115.66222222
141,MT,2005,0.1,A,Campfire,48.305,-115.54166667
142,MT,2005,0.1,A,Campfire,48.40805556,-115.55833333
143,MT,2005,0.1,A,Campfire,48.40805556,-115.50805556
144,MT,2004,0.1,A,Miscellaneous,45.1,-109.3125
145,MT,2005,0.3,B,Campfire,48.41944444,-115.65777778
165,MT,2005,0.1,A,Campfire,48.40777778,-115.47527778
166,MT,2005,0.1,A,Campfire,48.4075,-115.55861111
192,MT,2005,0.1,A,Railroad,48.35194444,-115.3625
194,MT,2005,0.1,A,Campfire,48.40833333,-115.55833333
397,MT,2005,0.1,A,Arson,46.99638889,-114.675
405,MT,2005,7.0,B,Debris Burning,48.82305556,-114.98388889
415,MT,2005,0.1,A,Campfire,48.34944444,-115.89388889
419,MT,2005,1.0,B,Debris Burning,48.49722222,-115.92222222
420,MT,2005,0.1,A,Campfire,48.53888889,-115.93472222
424,MT,2005,0.2,A,Lightning,48.56083333,-115.91138889
428,MT,2005,0.1,A,Campfire,48.35555556,-115.86944444
429,MT,2005,0.1,A,Campfire,48.48222222,-115.85722222
432,MT,2005,0.1,A,Campfire,48.35138889,-115.89
433,MT,2005,0.5,B,Miscellaneous,48.43333333,-115.84666667
440,MT,2005,0.3,B,Debris Burning,48.49694444,-115.91861111
