,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
5279,ND,2005,3.0,B,Railroad,46.45,-97.39444444
5280,ND,2005,0.5,B,Miscellaneous,47.28194444,-103.48333333
5281,ND,2005,0.5,B,Miscellaneous,47.27777778,-103.48888889
5282,ND,2005,0.5,B,Miscellaneous,47.27777778,-103.48194444
5285,ND,2005,43.3,C,Miscellaneous,46.86861111,-103.69694444
5290,ND,2005,0.5,B,Debris Burning,46.90277778,-103.54583333
7295,ND,2006,1.15,B,Equipment Use,47.59805556,-103.6375
7296,ND,2006,0.1,A,Equipment Use,46.78916667,-103.33805556
7297,ND,2006,3.0,B,Equipment Use,46.80055556,-103.45055556
12352,ND,2006,0.25,A,Lightning,47.2775,-103.44416667
12353,ND,2006,35.5,C,Lightning,46.65277778,-103.32444444
12355,ND,2006,289.0,D,Lightning,46.52,-103.79861111
12358,ND,2006,4.1,B,Lightning,47.11833333,-103.48611111
12368,ND,2006,2.6,B,Lightning,47.26305556,-103.19027778
12370,ND,2006,8.4,B,Lightning,47.41222222,-103.82444444
15055,ND,2006,0.1,A,Lightning,46.36,-103.27
15061,ND,2006,2.7,B,Lightning,47.38333333,-103.97944444
15062,ND,2006,36.0,C,Lightning,46.30277778,-104.00138889
15065,ND,2006,6.4,B,Equipment Use,48.08472222,-102.88361111
15087,ND,2006,0.2,A,Lightning,46.29055556,-103.62611111
15089,ND,2006,36.0,C,Miscellaneous,46.86111111,-103.67222222
15092,ND,2006,3.3,B,Lightning,47.63611111,-103.36833333
15094,ND,2006,0.1,A,Lightning,47.64611111,-103.355
15097,ND,2006,30.0,C,Lightning,47.71638889,-103.86138889
15101,ND,2006,13.0,C,Lightning,46.68166667,-103.57638889
15104,ND,2006,0.1,A,Lightning,46.66722222,-103.5975
15108,ND,2006,35.0,C,Lightning,46.68166667,-103.53444444
15112,ND,2006,3.4,B,Lightning,46.66722222,-103.51361111
15114,ND,2006,4.2,B,Lightning,46.17638889,-103.48694444
15116,ND,2006,0.1,A,Lightning,46.63833333,-103.55555556
15117,ND,2006,54.6,C,Lightning,46.62361111,-103.83527778
15118,ND,2006,0.1,A,Campfire,47.58666667,-103.27861111
15123,ND,2006,0.25,A,Lightning,47.08111111,-103.06861111
15125,ND,2006,3.3,B,Lightning,46.62361111,-103.66777778
17378,ND,2006,31.5,C,Equipment Use,46.80694444,-103.31944444
17381,ND,2006,1.7,B,Equipment Use,46.78972222,-103.40027778
21561,ND,2007,0.4,B,Miscellaneous,46.00666667,-101.23944444
21563,ND,2007,0.03,A,Equipment Use,47.27416667,-103.57888889
21566,ND,2007,2.4,B,Lightning,47.78083333,-103.28472222
21569,ND,2007,77.4,C,Lightning,47.76944444,-103.87361111
21570,ND,2007,86.8,C,Lightning,47.72222222,-104.0
21572,ND,2007,66.0,C,Lightning,47.29194444,-103.31722222
21573,ND,2007,2.0,B,Lightning,47.90166667,-102.82833333
21574,ND,2007,14.5,C,Lightning,47.90166667,-102.82833333
21575,ND,2007,0.04,A,Lightning,47.23416667,-103.52861111
21578,ND,2007,0.2,A,Miscellaneous,47.13305556,-103.31722222
21580,ND,2007,0.3,B,Lightning,47.36277778,-103.37194444
21581,ND,2007,0.4,B,Lightning,47.34222222,-103.14583333
