,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
1273,NE,2005,101.0,D,Lightning,42.98361111,-104.02555556
3905,NE,2005,0.1,A,Lightning,42.70333333,-103.59944444
5521,NE,2005,1.1,B,Lightning,42.775,-101.09416667
5527,NE,2005,0.5,B,Equipment Use,42.73305556,-100.91
5530,NE,2005,0.1,A,Lightning,41.83055556,-100.33194444
7484,NE,2006,155.1,D,Lightning,41.80611111,-100.42527778
7826,NE,2006,1.4,B,Lightning,42.5875,-103.35166667
7947,NE,2006,0.1,A,Lightning,41.89638889,-100.3125
8186,NE,2006,0.25,A,Lightning,42.6125,-103.19361111
8366,NE,2006,368.0,E,Lightning,42.92611111,-103.585
8848,NE,2006,33.0,C,Lightning,42.79166667,-102.97972222
10263,NE,2006,1.33,B,Lightning,41.83777778,-100.29194444
11333,NE,2006,5.2,B,Lightning,42.755,-102.98583333
11335,NE,2006,1.19,B,Lightning,42.70055556,-103.61083333
11373,NE,2006,0.1,A,Lightning,42.69833333,-102.94611111
11374,NE,2006,0.1,A,Lightning,42.63166667,-103.25138889
11377,NE,2006,0.1,A,Lightning,42.70944444,-102.98111111
11382,NE,2006,0.1,A,Lightning,42.70944444,-102.98111111
11396,NE,2006,6.7,B,Lightning,42.92805556,-103.85361111
13023,NE,2006,10079.0,G,Lightning,42.68333333,-103.145
13024,NE,2006,17899.0,G,Lightning,42.69111111,-102.96055556
18093,NE,2007,0.1,A,Campfire,42.7175,-102.93055556
18175,NE,2007,0.1,A,Campfire,42.7175,-102.93055556
18455,NE,2007,0.1,A,Lightning,41.89166667,-100.33055556
19356,NE,2007,0.2,A,Lightning,42.65972222,-103.24916667
19362,NE,2007,1.0,B,Lightning,42.67194444,-103.60416667
19364,NE,2007,7.8,B,Lightning,42.90555556,-103.40972222
19781,NE,2007,0.1,A,Campfire,42.69722222,-103.005
19794,NE,2007,0.1,A,Lightning,42.90722222,-103.41916667
19854,NE,2007,0.25,A,Lightning,42.74416667,-100.99361111
20089,NE,2007,0.1,A,Campfire,42.69722222,-103.00444444
20103,NE,2007,71.0,C,Lightning,42.91722222,-103.86333333
21549,NE,2007,0.1,A,Lightning,42.69722222,-103.57777778
21551,NE,2007,0.1,A,Lightning,42.71027778,-103.59166667
21613,NE,2007,0.3,B,Smoking,42.67833333,-102.97472222
21690,NE,2007,3587.0,F,Lightning,42.68277778,-103.62944444
22122,NE,2007,3.0,B,Lightning,42.95,-103.63694444
22123,NE,2007,1.0,B,Lightning,42.94611111,-103.66833333
24898,NE,2007,0.1,A,Campfire,42.69722222,-103.00527778
25326,NE,2007,0.4,B,Lightning,42.62888889,-103.19361111
25330,NE,2007,5.0,B,Lightning,42.94166667,-103.52833333
30807,NE,2008,0.94,B,Lightning,42.76,-101.08027778
37617,NE,2009,160.0,D,Lightning,42.78527778,-103.63
39631,NE,2009,0.5,B,Lightning,42.74777778,-103.02333333
39632,NE,2009,0.1,A,Campfire,42.7175,-103.93055556
39633,NE,2009,15.0,C,Railroad,42.98166667,-103.63166667
39634,NE,2009,23.0,C,Railroad,42.97388889,-103.62166667
39635,NE,2009,0.1,A,Lightning,42.69027778,-103.62166667
39636,NE,2009,0.1,A,Lightning,42.69305556,-103.57111111
39712,NE,2009,1.6,B,Lightning,41.89138889,-100.30972222
43534,NE,1992,2.0,B,Lightning,42.625,-103.25
53825,NE,1993,0.2,A,Lightning,41.90833333,-100.3
64058,NE,1994,300.0,E,Equipment Use,41.95194444,-100.42638889
64059,NE,1994,4.0,B,Lightning,42.65,-100.93333333
64060,NE,1994,25.0,C,Lightning,41.85833333,-100.31833333
64061,NE,1994,3.0,B,Lightning,42.77972222,-100.98166667
64062,NE,1994,10.0,C,Lightning,42.74916667,-100.97972222
64063,NE,1994,500.0,E,Lightning,42.71666667,-101.03333333
64064,NE,1994,0.1,A,Lightning,42.78333333,-101.03333333
64065,NE,1994,8.0,B,Lightning,42.66194444,-103.15833333
64066,NE,1994,5.0,B,Lightning,42.80611111,-103.35972222
64067,NE,1994,2.0,B,Lightning,42.72,-103.5775
64068,NE,1994,1.0,B,Lightning,42.70527778,-102.91694444
64069,NE,1994,2.0,B,Lightning,42.92666667,-103.73333333
64070,NE,1994,0.1,A,Railroad,42.96333333,-103.60666667
64071,NE,1994,0.1,A,Lightning,42.63,-103.26833333
64072,NE,1994,5.0,B,Lightning,42.70333333,-102.91666667
64073,NE,1994,20.1,C,Lightning,42.97166667,-103.91666667
64074,NE,1994,200.0,D,Lightning,42.96666667,-103.94166667
64075,NE,1994,230.0,D,Equipment Use,42.83472222,-103.51583333
64084,NE,1994,5.0,B,Lightning,42.72333333,-103.02166667
76312,NE,1995,6885.0,G,Lightning,41.87944444,-100.48416667
76313,NE,1995,1.0,B,Lightning,42.85,-100.39
