,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
5811,NH,2005,0.5,B,Miscellaneous,44.08333333,-71.45
15214,NH,2006,100.0,D,Railroad,44.71666667,-71.28333333
16062,NH,2006,0.1,A,Campfire,44.4,-71.4
16472,NH,2006,2.0,B,Campfire,44.41138889,-71.51138889
16650,NH,2006,0.01,A,Campfire,44.1,-71.23333333
20211,NH,2007,0.2,A,Campfire,44.35888889,-71.26944444
24117,NH,2007,0.5,B,Lightning,44.005,-71.90833333
24118,NH,2007,0.1,A,Lightning,44.24972222,-71.22361111
24365,NH,2007,0.25,A,Campfire,44.26638889,-71.27777778
27631,NH,2008,54.0,C,Miscellaneous,43.80277778,-71.83583333
34698,NH,2009,5.6,B,Miscellaneous,43.98333333,-71.35
59840,NH,1993,0.1,A,Smoking,44.23833333,-71.63333333
59841,NH,1993,1.0,B,Campfire,44.12166667,-71.28833333
75157,NH,1994,5.4,B,Campfire,43.75,-72.12166667
75158,NH,1994,0.5,B,Campfire,43.83333333,-71.48333333
75159,NH,1994,2.5,B,Campfire,44.03333333,-71.36666667
84596,NH,1995,0.2,A,Campfire,44.05166667,-71.885
84597,NH,1995,0.3,B,Arson,44.375,-71.03
84599,NH,1995,0.1,A,Lightning,43.90166667,-71.565
84600,NH,1995,0.1,A,Lightning,44.05333333,-71.635
84601,NH,1995,0.1,A,Campfire,44.03833333,-71.54166667
84602,NH,1995,0.1,A,Campfire,43.88166667,-71.515
84603,NH,1995,60.0,C,Miscellaneous,44.135,-71.00833333
84604,NH,1995,0.1,A,Lightning,44.05,-71.36666667
84605,NH,1995,0.1,A,Campfire,44.00833333,-71.23833333
84606,NH,1995,0.1,A,Campfire,43.95666667,-71.28833333
84607,NH,1995,0.1,A,Campfire,43.98833333,-71.38333333
84608,NH,1995,0.1,A,Campfire,43.935,-71.36833333
84609,NH,1995,0.1,A,Campfire,43.94166667,-71.29166667
84610,NH,1995,0.1,A,Campfire,44.08472222,-71.23333333
94742,NH,1996,0.4,B,Lightning,43.975,-71.85666667
94743,NH,1996,0.2,A,Lightning,44.15,-71.325
94744,NH,1996,0.1,A,Lightning,43.86833333,-71.77333333
94745,NH,1996,0.1,A,Lightning,43.85333333,-71.78333333
94746,NH,1996,0.1,A,Campfire,43.93833333,-71.35833333
94747,NH,1996,0.1,A,Campfire,43.94972222,-71.90777778
94765,NH,1996,0.1,A,Lightning,43.85333333,-71.77333333
94766,NH,1996,0.1,A,Campfire,44.28833333,-71.41666667
103427,NH,1997,0.1,A,Campfire,43.985,-71.29166667
103428,NH,1997,0.1,A,Smoking,44.07166667,-71.22333333
103429,NH,1997,0.1,A,Campfire,43.92055556,-71.29861111
108240,NH,1998,3.0,B,Miscellaneous,44.07333333,-71.78833333
108241,NH,1998,0.1,A,Campfire,43.87,-71.62666667
108242,NH,1998,0.5,B,Smoking,43.83333333,-71.83333333
109728,NH,1998,0.1,A,Arson,44.00833333,-71.31833333
109751,NH,1998,0.1,A,Campfire,43.77333333,-72.0
122584,NH,1999,13.3,C,Campfire,44.08333333,-71.58333333
122585,NH,1999,0.1,A,Campfire,43.83472222,-71.51833333
122586,NH,1999,0.2,A,Lightning,44.30027778,-71.01694444
122587,NH,1999,0.1,A,Miscellaneous,44.32694444,-71.45083333
122588,NH,1999,2.5,B,Campfire,43.81666667,-71.85
131095,NH,2000,0.1,A,Campfire,44.06666667,-71.0
133305,NH,2000,0.1,A,Campfire,44.10972222,-71.53583333
133306,NH,2000,0.1,A,Campfire,44.10194444,-71.56888889
140254,NH,2001,0.1,A,Campfire,44.03138889,-71.50833333
140256,NH,2001,0.1,A,Campfire,44.1,-71.57222222
140257,NH,2001,0.1,A,Campfire,44.08777778,-71.58138889
140259,NH,2001,0.1,A,Campfire,44.14944444,-71.58111111
140260,NH,2001,0.1,A,Campfire,43.99111111,-71.57888889
140261,NH,2001,0.5,B,Arson,44.01305556,-71.74333333
140262,NH,2001,0.1,A,Campfire,44.09388889,-71.57833333
140263,NH,2001,0.1,A,Campfire,44.215,-71.47666667
140264,NH,2001,0.3,B,Miscellaneous,44.23555556,-71.59805556
140265,NH,2001,0.1,A,Campfire,44.0025,-71.76444444
140266,NH,2001,0.1,A,Campfire,43.99805556,-71.60611111
140267,NH,2001,3.0,B,Equipment Use,44.09722222,-71.69972222
140268,NH,2001,0.1,A,Campfire,44.12083333,-71.52666667
