,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
242354,NJ,1992,0.2,A,Smoking,40.764942,-74.535317
242433,NJ,1993,0.5,B,Equipment Use,40.4333,-73.9833
242564,NJ,1992,15.0,C,Arson,41.133396000000005,-74.883
242568,NJ,1993,10.0,C,Campfire,40.966796,-75.116
242569,NJ,1993,0.1,A,Smoking,40.966795,-75.133
242571,NJ,1993,0.1,A,Smoking,41.033396,-75.05
242573,NJ,1993,0.2,A,Smoking,41.229295,-74.84100000000001
242574,NJ,1993,0.1,A,Powerline,41.150095,-74.9
242575,NJ,1994,7.6,B,Campfire,41.166795,-74.883
242592,NJ,1995,0.1,A,Smoking,41.063996,-74.955
242593,NJ,1996,4.0,B,Miscellaneous,41.141796,-74.859
242594,NJ,1996,18.0,C,Campfire,40.968696,-75.115
242597,NJ,1996,0.1,A,Miscellaneous,41.191795,-74.87
242599,NJ,1997,1.3,B,Powerline,41.125095,-74.945
242601,NJ,1998,1.3,B,Miscellaneous,41.266794,-74.837
242603,NJ,1998,0.1,A,Campfire,40.979295,-75.126
242609,NJ,1999,0.1,A,Campfire,41.069796000000004,-74.97
242610,NJ,1999,623.0,E,Arson,40.995895000000004,-75.12
242611,NJ,1999,5.5,B,Miscellaneous,41.120896,-74.933
242613,NJ,1999,0.3,B,Powerline,41.183395000000004,-74.876
242616,NJ,1999,0.1,A,Miscellaneous,41.036440999999996,-75.02600000000001
242621,NJ,1999,2.5,B,Lightning,41.060096,-74.967
242623,NJ,1999,5.3,B,Campfire,41.063196000000005,-74.959
354702,NJ,2008,0.1,A,Miscellaneous,40.7922,-74.4889
354790,NJ,2008,0.1,A,Miscellaneous,40.4589,-73.9964
354804,NJ,2000,40.0,C,Smoking,40.976196,-75.109
354805,NJ,2000,60.0,C,Arson,41.116796,-74.92
354812,NJ,2001,0.6,B,Debris Burning,41.289094,-74.801
354813,NJ,2001,0.1,A,Arson,41.186995,-74.855
354815,NJ,2001,0.1,A,Equipment Use,41.110096,-74.946
354816,NJ,2001,0.1,A,Campfire,41.097296,-74.965
354818,NJ,2001,0.3,B,Equipment Use,41.109796,-74.89399999999999
354828,NJ,2003,3.0,B,Powerline,41.322794,-74.783
354834,NJ,2005,1.5,B,Lightning,41.151795,-74.905
354836,NJ,2005,35.0,C,Smoking,41.039497,-74.985
354839,NJ,2006,2.0,B,Smoking,41.022597,-75.015
354841,NJ,2007,0.1,A,Miscellaneous,41.15797,-74.87011
354842,NJ,2007,0.2,A,Miscellaneous,41.2889,-74.8144
354851,NJ,2008,0.4,B,Miscellaneous,41.06075,-74.959078
354852,NJ,2008,0.4,B,Miscellaneous,41.1375,-74.8981
354854,NJ,2008,0.1,A,Campfire,41.1019,-74.8992
354856,NJ,2008,0.1,A,Miscellaneous,41.135,-74.8614
354857,NJ,2009,0.1,A,Smoking,41.0306,-75.0344
354858,NJ,2009,0.1,A,Campfire,41.0183,-75.0319
359128,NJ,1992,11.6,C,Miscellaneous,39.75,-74.2
359129,NJ,1992,0.1,A,Miscellaneous,40.71666667,-74.45
359583,NJ,1993,0.7,B,Miscellaneous,39.75,-74.2
359584,NJ,1993,0.2,A,Miscellaneous,39.75,-74.2
359585,NJ,1993,0.1,A,Miscellaneous,39.75,-74.2
360562,NJ,1995,0.3,B,Miscellaneous,39.75,-74.2
360563,NJ,1995,0.3,B,Smoking,39.45,-74.41666
360564,NJ,1995,0.1,A,Arson,40.71666667,-74.45
360565,NJ,1995,20.0,C,Miscellaneous,39.6,-75.51666667
360566,NJ,1995,60.0,C,Miscellaneous,39.6,-75.51666667
360567,NJ,1995,90.0,C,Miscellaneous,39.6,-75.51666667
360568,NJ,1995,0.5,B,Campfire,41.2,-74.55
361613,NJ,1997,1.0,B,Miscellaneous,39.08916,-74.88639
363210,NJ,1999,1.0,B,Equipment Use,39.0975,-74.85278000000001
365259,NJ,2001,2.0,B,Miscellaneous,39.06361,-74.87306
367277,NJ,2003,0.5,B,Miscellaneous,39.84944444,-74.15861111
368334,NJ,2004,0.5,B,Miscellaneous,39.85333333,-74.17861111
368335,NJ,2004,0.3,B,Miscellaneous,39.81944444,-74.20583333
368336,NJ,2004,6.0,B,Miscellaneous,39.63783,-74.3008
369625,NJ,2005,3.5,B,Arson,39.83888889,-74.175
369626,NJ,2005,0.5,B,Miscellaneous,39.85805556,-74.17388889
369627,NJ,2005,1.0,B,Miscellaneous,39.89,-74.21
371193,NJ,2006,0.2,A,Campfire,39.85305556,-74.17555556
371194,NJ,2006,0.2,A,Campfire,39.83305556,-74.20833333
371195,NJ,2006,0.3,B,Campfire,39.85194444,-74.17555556
371196,NJ,2006,0.3,B,Campfire,39.85277778,-74.17555556
371197,NJ,2006,1.0,B,Campfire,39.83305556,-74.20833333
371198,NJ,2006,0.3,B,Campfire,39.84861111,-74.16166667
371199,NJ,2006,0.3,B,Campfire,39.84361111,-74.17305556
371200,NJ,2006,0.1,A,Miscellaneous,40.71444444,-74.52111111
371201,NJ,2006,0.3,B,Miscellaneous,40.70583333,-74.46833333
372282,NJ,2007,0.4,B,Campfire,39.85222222,-74.17416667
372283,NJ,2007,0.3,B,Campfire,39.8525,-74.17222222
372284,NJ,2007,2.0,B,Campfire,39.84194444,-74.17527778
372285,NJ,2007,9.0,B,Campfire,40.03388889,-74.09416667
372286,NJ,2007,0.3,B,Campfire,39.85277778,-74.17111111
372287,NJ,2007,17050.0,G,Arson,39.7075,-74.30972222
372288,NJ,2007,3.5,B,Campfire,39.85277778,-74.17111111
372954,NJ,2008,0.5,B,Campfire,39.60583333,-74.51222222
372955,NJ,2008,1.3,B,Miscellaneous,39.83944444,-74.17472222
372956,NJ,2008,0.2,A,Campfire,39.8525,-74.17305556
372957,NJ,2008,1.0,B,Campfire,39.61222222,-74.30194444
372958,NJ,2008,0.3,B,Smoking,40.71694444,-74.52138889
372959,NJ,2008,0.2,A,Miscellaneous,40.71305556,-74.51388889
372960,NJ,2008,0.5,B,Miscellaneous,40.72888889,-74.42138889
373714,NJ,2009,0.2,A,Campfire,39.83611111,-74.15972222
373715,NJ,2009,0.1,A,Miscellaneous,40.71333333,-74.51527778
373716,NJ,2009,0.1,A,Smoking,40.70583333,-74.46805556
373717,NJ,2009,0.2,A,Smoking,40.71333333,-74.51472222
373718,NJ,2009,0.1,A,Miscellaneous,40.7125,-74.505
538007,NJ,2006,0.25,A,Miscellaneous,40.35286001,-74.40359997
538008,NJ,2006,0.25,A,Arson,41.02334001,-74.47507001
538009,NJ,2006,0.25,A,Campfire,41.01644998,-74.21449997
538010,NJ,2006,0.25,A,Smoking,41.00815997,-74.15057
538011,NJ,2006,0.25,A,Smoking,40.347809999999996,-74.30864998
538012,NJ,2006,0.25,A,Railroad,40.30971999,-74.39766998
538013,NJ,2006,0.25,A,Miscellaneous,40.59474998,-74.99757999
538014,NJ,2006,0.25,A,Children,40.39044999,-74.36852001
538015,NJ,2006,0.25,A,Smoking,40.44175998,-74.33153999
538016,NJ,2006,0.25,A,Debris Burning,40.58810001,-75.01756002
538017,NJ,2006,0.5,B,Miscellaneous,40.52118,-74.57621001
538018,NJ,2006,2.5,B,Debris Burning,40.58773002,-74.47021999
