,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
19,NM,2004,0.1,A,Lightning,33.44083333,-105.72055556
20,NM,2004,0.1,A,Lightning,33.30722222,-105.62861111
21,NM,2004,0.1,A,Lightning,33.44444444,-105.76805556
22,NM,2004,0.1,A,Lightning,33.55944444,-105.76611111
23,NM,2004,0.25,A,Lightning,33.30805556,-105.52611111
24,NM,2004,2.5,B,Lightning,33.54527778,-105.22944444
25,NM,2004,10.0,C,Lightning,33.31583333,-105.51222222
26,NM,2004,8.2,B,Miscellaneous,33.44444444,-105.63111111
27,NM,2004,0.1,A,Lightning,33.36805556,-105.50722222
28,NM,2004,0.25,A,Debris Burning,33.38527778,-105.63861111
29,NM,2004,0.25,A,Debris Burning,33.38277778,-105.70027778
30,NM,2004,0.1,A,Lightning,33.37972222,-105.68027778
32,NM,2004,0.1,A,Lightning,33.49666667,-105.73972222
33,NM,2004,0.1,A,Lightning,33.41777778,-105.7075
34,NM,2004,0.1,A,Lightning,33.25527778,-105.62611111
85,NM,2005,45.6,C,Lightning,32.46722222,-104.94166667
92,NM,2005,0.1,A,Lightning,36.01666667,-106.71666667
97,NM,2005,0.1,A,Lightning,36.66944444,-107.25361111
98,NM,2005,0.25,A,Lightning,36.87638889,-107.21916667
120,NM,2005,0.1,A,Lightning,35.95,-106.71666667
121,NM,2005,0.1,A,Lightning,35.91666667,-106.8
122,NM,2005,0.1,A,Lightning,36.03333333,-106.98333333
131,NM,2005,1.0,B,Equipment Use,36.69166667,-107.38583333
133,NM,2005,0.1,A,Lightning,36.87138889,-107.24777778
135,NM,2005,0.1,A,Lightning,36.88388889,-107.29083333
136,NM,2005,30.0,C,Lightning,36.93472222,-107.34972222
137,NM,2005,0.1,A,Lightning,36.74194444,-107.2125
138,NM,2005,0.5,B,Lightning,36.65944444,-107.19638889
139,NM,2005,0.5,B,Lightning,36.64583333,-107.22694444
140,NM,2005,0.1,A,Debris Burning,36.09666667,-106.16166667
148,NM,2005,0.75,B,Lightning,35.70111111,-105.70916667
153,NM,2005,0.5,B,Lightning,36.92277778,-107.23638889
161,NM,2005,0.2,A,Lightning,36.90972222,-107.25583333
162,NM,2005,0.1,A,Lightning,36.94111111,-107.32
176,NM,2005,0.1,A,Lightning,33.36861111,-108.60055556
189,NM,2005,0.1,A,Lightning,36.89972222,-107.29444444
190,NM,2005,0.1,A,Lightning,36.9,-107.32805556
191,NM,2005,0.1,A,Lightning,36.91833333,-107.35277778
193,NM,2005,0.1,A,Lightning,36.86388889,-107.265
198,NM,2005,0.1,A,Lightning,36.93472222,-107.34111111
313,NM,2005,0.1,A,Lightning,35.6875,-105.74388889
314,NM,2005,1.0,B,Lightning,35.785,-105.41194444
316,NM,2005,0.1,A,Lightning,35.61777778,-105.63138889
336,NM,2005,0.1,A,Lightning,33.31722222,-108.89527778
342,NM,2005,0.8,B,Equipment Use,33.33111111,-108.37805556
343,NM,2005,0.3,B,Lightning,33.68444444,-108.98166667
344,NM,2005,2.0,B,Lightning,33.69277778,-109.0
346,NM,2005,0.5,B,Campfire,33.55972222,-108.95916667
347,NM,2005,2.5,B,Arson,33.28694444,-108.86861111
349,NM,2005,0.3,B,Campfire,33.11861111,-109.0
350,NM,2005,0.1,A,Lightning,33.36305556,-108.66388889
353,NM,2005,0.3,B,Lightning,33.36166667,-108.615
354,NM,2005,0.5,B,Lightning,33.335,-108.67611111
357,NM,2005,0.1,A,Lightning,33.66638889,-109.0
360,NM,2005,0.5,B,Lightning,33.65222222,-109.0
362,NM,2005,1.0,B,Lightning,33.33777778,-108.72
366,NM,2005,0.1,A,Lightning,33.00222222,-108.93527778
368,NM,2005,2.0,B,Lightning,33.66916667,-108.95194444
385,NM,2005,2.0,B,Lightning,33.66833333,-108.96861111
387,NM,2005,0.1,A,Lightning,33.28416667,-108.6675
393,NM,2005,2.0,B,Lightning,33.61833333,-108.95138889
394,NM,2005,0.3,B,Lightning,33.21888889,-108.0025
402,NM,2005,0.5,B,Lightning,33.28416667,-108.65083333
426,NM,2005,0.1,A,Lightning,36.81472222,-107.21666667
437,NM,2005,0.1,A,Campfire,35.75777778,-105.66194444
438,NM,2005,0.1,A,Campfire,35.67361111,-105.45555556
439,NM,2005,0.1,A,Campfire,35.77,-105.66194444
441,NM,2005,0.5,B,Lightning,35.54361111,-105.50138889
455,NM,2005,0.25,A,Lightning,35.98333333,-106.75
456,NM,2005,0.1,A,Lightning,35.94944444,-106.71555556
458,NM,2005,3.0,B,Campfire,36.43333333,-106.95
459,NM,2005,0.25,A,Lightning,36.01833333,-107.02111111
461,NM,2005,1.0,B,Lightning,35.98611111,-106.76361111
463,NM,2005,0.1,A,Campfire,35.98333333,-106.78333333
475,NM,2005,0.75,B,Lightning,35.55138889,-105.765
476,NM,2005,0.25,A,Lightning,35.56694444,-105.44555556
478,NM,2005,1.0,B,Lightning,35.70111111,-105.81333333
480,NM,2005,0.5,B,Lightning,35.72888889,-105.76111111
484,NM,2005,0.1,A,Lightning,35.6875,-105.70916667
486,NM,2005,0.1,A,Lightning,35.29555556,-105.22861111
487,NM,2005,0.25,A,Lightning,35.81277778,-105.49888889
488,NM,2005,0.8,B,Lightning,35.52888889,-105.63833333
490,NM,2005,0.1,A,Lightning,35.60194444,-105.525
495,NM,2005,0.1,A,Lightning,35.74305556,-105.88361111
