,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
108,NV,2005,0.25,A,Lightning,38.17916667,-118.71166667
111,NV,2005,80.0,C,Lightning,38.25555556,-118.48611111
134,NV,2005,0.1,A,Arson,39.64972222,-119.86666667
147,NV,2005,1.0,B,Miscellaneous,39.11666667,-119.845
150,NV,2005,3.0,B,Lightning,38.60222222,-119.42972222
167,NV,2005,0.5,B,Lightning,39.08555556,-119.87416667
175,NV,2005,1.0,B,Campfire,39.47972222,-119.85138889
235,NV,2005,0.1,A,Lightning,38.65555556,-119.38888889
236,NV,2005,0.1,A,Miscellaneous,39.11583333,-119.8875
237,NV,2005,0.25,A,Miscellaneous,39.22027778,-119.84972222
238,NV,2005,0.5,B,Miscellaneous,39.11055556,-119.85972222
244,NV,2005,0.1,A,Lightning,38.1975,-118.73027778
245,NV,2005,0.1,A,Lightning,38.17333333,-118.71388889
248,NV,2005,0.1,A,Debris Burning,38.64444444,-119.44722222
250,NV,2005,0.1,A,Debris Burning,38.64444444,-119.44722222
252,NV,2005,0.25,A,Lightning,38.65555556,-119.39388889
339,NV,2005,8.0,B,Lightning,38.98916667,-119.84638889
418,NV,2005,0.1,A,Lightning,39.06666667,-119.81111111
421,NV,2005,0.1,A,Lightning,39.01972222,-119.8625
562,NV,2005,0.1,A,Campfire,39.06,-119.53
900,NV,2005,1.0,B,Lightning,36.25527778,-115.82555556
908,NV,2005,0.1,A,Debris Burning,36.30555556,-115.68027778
953,NV,2005,0.2,A,Lightning,39.10305556,-119.82888889
956,NV,2005,0.1,A,Lightning,39.04583333,-119.86944444
1292,NV,2005,0.1,A,Lightning,36.47,-115.79694444
1293,NV,2005,0.1,A,Lightning,36.29583333,-115.76305556
1296,NV,2005,0.1,A,Lightning,36.40138889,-115.76666667
1299,NV,2005,0.1,A,Lightning,36.47527778,-115.84333333
1923,NV,2005,0.3,B,Campfire,39.0,-119.87166667
1939,NV,2005,60.0,C,Lightning,36.13583333,-115.69666667
1947,NV,2005,4.8,B,Lightning,36.13305556,-115.7
1952,NV,2005,0.4,B,Lightning,36.32944444,-115.61416667
1956,NV,2005,4.7,B,Lightning,36.13777778,-115.71111111
1979,NV,2005,2.8,B,Smoking,36.01444444,-115.56944444
1981,NV,2005,0.1,A,Lightning,36.40361111,-115.76916667
1982,NV,2005,0.1,A,Lightning,36.43555556,-115.78388889
1985,NV,2005,0.1,A,Lightning,36.37444444,-115.75722222
1986,NV,2005,32.0,C,Lightning,36.09416667,-115.56527778
1988,NV,2005,2.8,B,Lightning,36.23333333,-115.78333333
1991,NV,2005,0.1,A,Lightning,38.17638889,-118.71416667
1995,NV,2005,0.1,A,Lightning,36.24138889,-115.64944444
1996,NV,2005,0.1,A,Lightning,36.29555556,-115.785
1998,NV,2005,28.0,C,Lightning,36.13527778,-115.67583333
2006,NV,2005,0.1,A,Lightning,36.15083333,-115.64611111
