,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
2520,OH,2005,303.0,E,Equipment Use,38.70666667,-82.66972222
15911,OH,2006,3.0,B,Miscellaneous,39.37388889,-82.12722222
15915,OH,2006,18.0,C,Debris Burning,39.50944444,-81.25722222
15928,OH,2006,1.0,B,Miscellaneous,39.49416667,-82.28166667
15933,OH,2006,10.0,C,Miscellaneous,39.32638889,-81.995
15947,OH,2006,1.0,B,Debris Burning,38.56194444,-82.70611111
15948,OH,2006,1.0,B,Miscellaneous,39.46944444,-82.18666667
15951,OH,2006,1.0,B,Debris Burning,38.55,-82.63222222
15955,OH,2006,1.0,B,Miscellaneous,39.48194444,-82.28638889
15963,OH,2006,6.5,B,Arson,38.83277778,-82.58888889
15965,OH,2006,10.0,C,Miscellaneous,39.32277778,-81.88138889
15967,OH,2006,1.0,B,Debris Burning,38.63027778,-82.70416667
15968,OH,2006,1.0,B,Equipment Use,38.59777778,-82.6575
15970,OH,2006,1.0,B,Arson,38.71805556,-82.5025
15972,OH,2006,1.0,B,Arson,38.62694444,-82.54888889
15974,OH,2006,1.0,B,Arson,38.62694444,-82.54888889
15978,OH,2006,1.0,B,Debris Burning,38.57416667,-82.60277778
15980,OH,2006,1.0,B,Debris Burning,38.56111111,-82.70361111
15982,OH,2006,32.0,C,Arson,38.59444444,-82.55694444
15983,OH,2006,2.0,B,Debris Burning,38.71277778,-82.555
15984,OH,2006,1.0,B,Debris Burning,38.54888889,-82.6325
15986,OH,2006,1.0,B,Debris Burning,38.66388889,-82.47777778
16018,OH,2006,1.0,B,Miscellaneous,39.41638889,-82.18888889
16019,OH,2006,1.0,B,Debris Burning,38.69722222,-82.46111111
16020,OH,2006,3.0,B,Miscellaneous,39.62472222,-82.34833333
16021,OH,2006,5.0,B,Miscellaneous,39.63277778,-82.27388889
16022,OH,2006,10.0,C,Miscellaneous,39.59361111,-82.78027778
16024,OH,2006,2.0,B,Miscellaneous,39.53416667,-82.26666667
16025,OH,2006,1.0,B,Debris Burning,39.48555556,-82.18222222
16027,OH,2006,1.0,B,Miscellaneous,39.40888889,-82.23166667
16031,OH,2006,2.0,B,Miscellaneous,39.39055556,-82.08916667
16034,OH,2006,1.0,B,Debris Burning,39.37305556,-82.1025
16037,OH,2006,1.0,B,Debris Burning,39.51777778,-82.08472222
16039,OH,2006,1.0,B,Campfire,39.50944444,-82.24638889
16064,OH,2006,5.0,B,Debris Burning,39.58861111,-82.38805556
16065,OH,2006,1.0,B,Debris Burning,39.39611111,-82.13111111
16069,OH,2006,1.0,B,Campfire,39.49277778,-82.28666667
16071,OH,2006,1.0,B,Campfire,39.4925,-82.18388889
16073,OH,2006,1.0,B,Campfire,39.48527778,-82.18277778
16074,OH,2006,2.0,B,Miscellaneous,39.47361111,-82.33666667
16075,OH,2006,2.0,B,Miscellaneous,39.44666667,-82.22666667
16077,OH,2006,1.0,B,Debris Burning,39.39611111,-82.13111111
16207,OH,2006,1.0,B,Campfire,39.48305556,-82.18166667
16208,OH,2006,1.0,B,Campfire,39.48555556,-82.29138889
