,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
579,OK,2005,50.0,C,Miscellaneous,35.59583333,-100.01305556
1285,OK,2005,780.0,E,Lightning,36.97805556,-102.58305556
1341,OK,2005,6.0,B,Arson,34.80805556,-94.51777778
1375,OK,2005,81.0,C,Arson,34.74638889,-94.51666667
1685,OK,2005,2.0,B,Arson,34.70527778,-94.50222222
1686,OK,2005,121.0,D,Arson,34.76222222,-94.48638889
1687,OK,2005,14.5,C,Arson,34.73444444,-94.54611111
1689,OK,2005,0.5,B,Arson,34.36805556,-94.73361111
1831,OK,2005,3.0,B,Lightning,34.21333333,-94.74027778
1833,OK,2005,0.5,B,Arson,34.65138889,-94.64861111
1848,OK,2005,1.0,B,Arson,34.38694444,-94.64111111
1851,OK,2005,10.0,C,Arson,34.08611111,-94.66166667
2117,OK,2005,0.75,B,Arson,34.16611111,-94.885
2118,OK,2005,1.0,B,Arson,34.16583333,-94.88527778
2252,OK,2005,3.0,B,Arson,34.21333333,-94.76166667
2529,OK,2005,0.25,A,Arson,34.19444444,-94.7975
2534,OK,2005,6.0,B,Arson,34.0875,-94.66833333
2537,OK,2005,3.0,B,Arson,34.06416667,-94.61083333
2539,OK,2005,13.5,C,Arson,34.08416667,-94.66694444
2543,OK,2005,112.0,D,Arson,34.72194444,-94.90972222
2544,OK,2005,4.5,B,Arson,34.53888889,-94.55972222
2619,OK,2005,30.0,C,Debris Burning,35.81138889,-99.90555556
2622,OK,2005,0.1,A,Debris Burning,35.8,-99.86666667
2636,OK,2005,1.0,B,Miscellaneous,35.73555556,-99.73333333
2738,OK,2005,0.1,A,Campfire,35.74555556,-99.71416667
2751,OK,2005,110.0,D,Arson,34.08916667,-94.65666667
2752,OK,2005,3.5,B,Arson,34.06361111,-94.62583333
2753,OK,2005,5.0,B,Arson,34.06361111,-94.62583333
2754,OK,2005,15.0,C,Arson,34.06611111,-94.63027778
3610,OK,2005,2.6,B,Arson,34.79555556,-94.94888889
3613,OK,2005,11.0,C,Arson,34.11305556,-94.68555556
3618,OK,2005,33.0,C,Arson,33.81083333,-94.6875
3621,OK,2005,400.0,E,Arson,34.14666667,-94.87666667
4164,OK,2005,1.0,B,Lightning,34.16444444,-94.86083333
4167,OK,2005,3.0,B,Arson,33.71861111,-94.60722222
4171,OK,2005,5.0,B,Miscellaneous,34.76305556,-94.47111111
4176,OK,2005,50.0,C,Railroad,34.74055556,-94.61027778
4960,OK,2005,593.0,E,Arson,35.72555556,-94.49
4993,OK,2005,1.0,B,Equipment Use,35.81861111,-99.85305556
5142,OK,2005,15.0,C,Lightning,35.67222222,-99.81777778
5145,OK,2005,2.0,B,Lightning,35.65305556,-99.99805556
5693,OK,2005,3.0,B,Arson,34.0575,-94.63916667
