,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
31,OR,2005,0.1,A,Campfire,43.99555556,-121.41416667
35,OR,2005,0.1,A,Campfire,44.04333333,-121.38611111
43,OR,2005,0.1,A,Campfire,43.95555556,-121.35222222
46,OR,2005,5.0,B,Miscellaneous,44.91111111,-119.69611111
48,OR,2005,0.1,A,Campfire,43.72527778,-121.57416667
49,OR,2005,0.1,A,Debris Burning,44.41,-121.31555556
50,OR,2005,0.1,A,Lightning,42.13388889,-121.23416667
51,OR,2005,0.1,A,Miscellaneous,42.31138889,-120.90277778
52,OR,2005,0.1,A,Arson,42.95083333,-120.83611111
55,OR,2005,0.1,A,Lightning,42.38694444,-120.80861111
56,OR,2005,2.0,B,Lightning,42.51472222,-121.12
59,OR,2005,0.1,A,Lightning,42.92138889,-121.03083333
68,OR,2005,0.1,A,Lightning,42.30277778,-120.54361111
69,OR,2005,0.5,B,Lightning,42.13694444,-120.70166667
78,OR,2005,0.1,A,Lightning,45.55444444,-118.10194444
89,OR,2005,0.1,A,Lightning,44.98861111,-118.93888889
93,OR,2005,0.1,A,Lightning,42.62083333,-120.845
112,OR,2005,1.0,B,Lightning,43.99138889,-118.73277778
118,OR,2005,0.1,A,Campfire,43.78333333,-119.0
126,OR,2005,0.25,A,Lightning,43.80888889,-118.7275
127,OR,2005,0.06,A,Lightning,43.72472222,-119.66055556
128,OR,2005,0.1,A,Lightning,43.77222222,-119.65972222
129,OR,2005,0.01,A,Lightning,43.81166667,-119.68666667
130,OR,2005,0.25,A,Lightning,43.83583333,-119.74138889
169,OR,2005,0.25,A,Lightning,43.84527778,-119.36583333
341,OR,2005,0.1,A,Campfire,45.13472222,-122.17972222
348,OR,2005,0.5,B,Lightning,42.58694444,-121.18638889
356,OR,2005,0.8,B,Lightning,42.53222222,-121.12055556
500,OR,2005,0.2,A,Lightning,44.83833333,-122.11166667
545,OR,2005,0.1,A,Campfire,43.20111111,-121.22111111
552,OR,2005,8.0,B,Miscellaneous,43.52638889,-121.94611111
574,OR,2005,0.1,A,Campfire,44.28416667,-121.60472222
600,OR,2005,0.1,A,Lightning,45.06777778,-119.33638889
620,OR,2005,9.2,B,Miscellaneous,44.23666667,-118.87333333
624,OR,2005,0.1,A,Miscellaneous,44.53138889,-118.48888889
634,OR,2005,0.1,A,Debris Burning,44.26666667,-119.00555556
636,OR,2005,0.1,A,Lightning,44.285,-118.91888889
638,OR,2005,0.34,B,Lightning,44.46388889,-118.54722222
640,OR,2005,3.5,B,Lightning,44.53472222,-118.63166667
641,OR,2005,0.3,B,Lightning,44.31305556,-118.79111111
642,OR,2005,0.5,B,Lightning,44.3075,-118.7475
644,OR,2005,0.1,A,Lightning,44.73694444,-118.87333333
645,OR,2005,0.1,A,Lightning,44.33111111,-118.69611111
646,OR,2005,0.3,B,Lightning,44.34833333,-119.30972222
647,OR,2005,0.1,A,Miscellaneous,44.26472222,-118.89027778
648,OR,2005,0.1,A,Lightning,44.13722222,-118.51194444
649,OR,2005,0.3,B,Miscellaneous,44.70833333,-118.80833333
650,OR,2005,0.1,A,Campfire,44.09527778,-119.23083333
653,OR,2005,0.1,A,Lightning,45.06027778,-119.3625
656,OR,2005,0.1,A,Lightning,45.04055556,-119.36083333
666,OR,2005,0.1,A,Campfire,44.40555556,-120.49972222
667,OR,2005,0.3,B,Campfire,44.26055556,-121.50055556
668,OR,2005,0.1,A,Campfire,44.41388889,-120.50833333
671,OR,2005,0.1,A,Lightning,43.59055556,-121.58666667
672,OR,2005,0.1,A,Miscellaneous,43.74222222,-121.59972222
673,OR,2005,0.2,A,Lightning,43.37666667,-121.98722222
674,OR,2005,0.1,A,Lightning,43.79277778,-121.72
675,OR,2005,0.3,B,Lightning,44.45333333,-120.44444444
676,OR,2005,0.1,A,Lightning,43.99194444,-121.42611111
677,OR,2005,0.1,A,Lightning,43.80861111,-121.51972222
678,OR,2005,0.1,A,Lightning,44.0625,-120.44805556
679,OR,2005,0.6,B,Lightning,44.13444444,-121.44166667
681,OR,2005,0.1,A,Campfire,43.76972222,-121.78916667
682,OR,2005,0.1,A,Lightning,45.55611111,-118.11916667
683,OR,2005,1.6,B,Lightning,43.95472222,-121.35722222
684,OR,2005,0.3,B,Miscellaneous,44.23111111,-121.53083333
