0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
2.8,1992,0.0,0.0,0.0,0.0,0.0,0.0,97.3,86.8,73.5,36.9,9.1
32.0,1993,2.7,0.4,0.0,0.0,0.0,0.0,65.3,47.7,22.4,7.7,1.2
47.1,1994,32.9,7.6,0.8,0.0,0.0,0.0,20.0,7.0,0.0,0.0,0.0
27.7,1995,25.7,12.0,3.0,0.0,0.0,0.0,46.7,26.1,7.1,0.3,0.0
30.5,1996,67.4,40.1,6.6,0.0,0.0,0.0,2.0,0.4,0.0,0.0,0.0
24.7,1997,0.4,0.0,0.0,0.0,0.0,0.0,75.0,46.7,19.6,3.9,0.0
44.5,1998,45.7,24.2,3.9,0.0,0.0,0.0,9.8,2.6,0.0,0.0,0.0
57.6,1999,15.6,4.5,0.4,0.0,0.0,0.0,26.8,8.6,1.1,0.0,0.0
21.7,2000,72.6,52.4,24.0,1.9,0.0,0.0,5.7,1.9,0.0,0.0,0.0
33.0,2001,30.7,18.4,8.1,0.0,0.0,0.0,36.4,14.7,6.6,2.0,0.4
41.4,2002,38.7,19.0,5.5,0.4,0.0,0.0,19.9,1.9,0.0,0.0,0.0
67.7,2003,12.3,3.6,0.4,0.0,0.0,0.0,20.0,5.2,1.2,0.0,0.0
24.6,2004,0.7,0.0,0.0,0.0,0.0,0.0,74.7,45.4,23.0,2.4,0.0
29.9,2005,7.8,0.4,0.0,0.0,0.0,0.0,62.3,38.5,11.1,0.8,0.0
4.8,2006,94.8,75.6,28.4,3.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0
7.9,2007,0.0,0.0,0.0,0.0,0.0,0.0,92.1,76.0,45.1,9.2,0.4
56.4,2008,33.5,11.6,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0
39.5,2009,56.8,29.8,22.7,11.1,0.4,0.0,3.8,1.3,0.0,0.0,0.0
32.8,2010,3.0,0.0,0.0,0.0,0.0,0.0,64.2,27.0,10.2,1.2,0.0
0.3,2011,99.7,93.9,81.5,61.2,20.6,0.0,0.0,0.0,0.0,0.0,0.0
17.8,2012,82.2,65.0,42.5,14.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0
5.9,2013,94.1,71.4,26.8,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.1,2014,70.8,44.5,11.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0
4.3,2015,0.4,0.0,0.0,0.0,0.0,0.0,95.3,69.8,29.4,3.5,0.6
