,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
5971,PA,2005,3.0,B,Equipment Use,41.41555556,-78.90722222
6066,PA,2005,1.0,B,Debris Burning,41.86472222,-78.66694444
15935,PA,2006,0.6,B,Miscellaneous,41.73833333,-79.08111111
15958,PA,2006,2.0,B,Equipment Use,41.785,-76.11277778
15969,PA,2006,1.0,B,Debris Burning,41.7675,-79.10277778
15976,PA,2006,0.3,B,Equipment Use,41.82388889,-79.12194444
16252,PA,2006,0.1,A,Debris Burning,41.95916667,-78.84777778
16256,PA,2006,1.0,B,Miscellaneous,41.86638889,-78.70444444
16305,PA,2006,33.0,C,Miscellaneous,41.85083333,-78.97611111
16353,PA,2006,1.0,B,Miscellaneous,41.69222222,-78.81972222
16358,PA,2006,2.0,B,Equipment Use,41.775,-79.22694444
16363,PA,2006,0.1,A,Equipment Use,41.66666667,-79.09277778
16373,PA,2006,2.0,B,Debris Burning,41.83222222,-78.805
16376,PA,2006,6.0,B,Debris Burning,41.35444444,-79.11
16379,PA,2006,2.0,B,Campfire,41.81527778,-78.93916667
17027,PA,2006,7.0,B,Miscellaneous,41.66666667,-79.03111111
17029,PA,2006,2.0,B,Miscellaneous,41.80222222,-79.0
17032,PA,2006,0.1,A,Miscellaneous,41.54722222,-78.86583333
17036,PA,2006,1.0,B,Arson,41.63638889,-78.86277778
17044,PA,2006,1.0,B,Campfire,41.41583333,-79.09444444
17054,PA,2006,1.0,B,Miscellaneous,41.58527778,-79.02277778
17055,PA,2006,1.0,B,Miscellaneous,41.505,-78.99972222
17059,PA,2006,6.0,B,Miscellaneous,41.62444444,-78.75611111
17062,PA,2006,1.0,B,Miscellaneous,41.50638889,-79.10888889
17070,PA,2006,1.0,B,Smoking,41.57861111,-78.87111111
17072,PA,2006,2.0,B,Debris Burning,41.48083333,-79.25388889
17544,PA,2006,0.01,A,Campfire,41.57527778,-78.96444444
21490,PA,2007,4.0,B,Miscellaneous,41.37472222,-78.85166667
21503,PA,2007,0.1,A,Miscellaneous,41.49027778,-78.79333333
21513,PA,2007,0.01,A,Campfire,41.67777778,-79.15527778
21535,PA,2007,0.1,A,Debris Burning,41.69083333,-79.06666667
21538,PA,2007,0.25,A,Debris Burning,41.67861111,-79.18277778
21767,PA,2007,5.0,B,Campfire,41.70027778,-79.43
21773,PA,2007,0.12,A,Arson,41.84388889,-78.94694444
21777,PA,2007,8.0,B,Railroad,41.38222222,-78.77722222
21786,PA,2007,0.1,A,Equipment Use,41.63527778,-79.09333333
21795,PA,2007,0.1,A,Debris Burning,41.70888889,-78.94666667
21803,PA,2007,0.1,A,Debris Burning,41.68027778,-79.22416667
21869,PA,2007,0.5,B,Miscellaneous,41.59805556,-79.11944444
21870,PA,2007,0.1,A,Campfire,41.46583333,-78.9675
27287,PA,2008,0.25,A,Debris Burning,41.69027778,-79.0675
27288,PA,2008,16.3,C,Debris Burning,41.83166667,-78.80638889
27299,PA,2008,5.0,B,Equipment Use,41.70388889,-79.15833333
27302,PA,2008,0.5,B,Debris Burning,41.45722222,-79.14944444
27303,PA,2008,0.25,A,Miscellaneous,41.59611111,-79.20555556
27304,PA,2008,0.25,A,Debris Burning,41.45805556,-79.12222222
27305,PA,2008,0.25,A,Miscellaneous,41.79416667,-79.10305556
27306,PA,2008,2.0,B,Miscellaneous,41.55166667,-78.86305556
27432,PA,2008,1.09,B,Equipment Use,41.81666667,-79.02083333
33409,PA,2008,0.1,A,Miscellaneous,41.46,-78.95555556
34560,PA,2009,9.0,B,Equipment Use,41.78138889,-79.13083333
34565,PA,2009,2.0,B,Equipment Use,41.83833333,-79.72472222
34567,PA,2009,2.0,B,Equipment Use,41.63583333,-79.01583333
34571,PA,2009,0.25,A,Debris Burning,41.70166667,-79.03527778
34628,PA,2009,0.8,B,Equipment Use,41.53694444,-79.24888889
34629,PA,2009,3.0,B,Equipment Use,41.83972222,-78.78972222
34630,PA,2009,0.5,B,Debris Burning,41.50305556,-79.31194444
34631,PA,2009,49.0,C,Miscellaneous,41.61472222,-79.17361111
35688,PA,2009,1.0,B,Debris Burning,41.61777778,-78.87694444
36084,PA,2009,1.0,B,Campfire,41.61833333,-79.035
36108,PA,2009,1.0,B,Miscellaneous,41.4775,-78.87055556
53180,PA,1992,54.0,C,Equipment Use,41.795,-79.10833333
59823,PA,1993,0.1,A,Arson,41.615,-79.16
59824,PA,1993,33.9,C,Campfire,41.665,-79.29333333
59825,PA,1993,2.5,B,Campfire,41.83666667,-79.05833333
59826,PA,1993,0.1,A,Lightning,41.44166667,-79.05
59827,PA,1993,0.2,A,Miscellaneous,41.4,-78.79166667
59828,PA,1993,0.1,A,Equipment Use,41.55666667,-78.75833333
75137,PA,1994,0.5,B,Smoking,41.79666667,-79.24166667
75138,PA,1994,26.0,C,Miscellaneous,41.43666667,-79.09333333
75139,PA,1994,2.0,B,Debris Burning,41.58333333,-79.11666667
75140,PA,1994,16.0,C,Miscellaneous,41.43833333,-79.005
75141,PA,1994,0.3,B,Railroad,41.69,-78.85333333
75142,PA,1994,0.5,B,Smoking,41.38833333,-78.865
75143,PA,1994,5.0,B,Miscellaneous,41.575,-78.83666667
75144,PA,1994,4.0,B,Miscellaneous,41.65,-78.90666667
84575,PA,1995,4.0,B,Campfire,41.65972222,-79.08166667
84576,PA,1995,1.0,B,Miscellaneous,41.63194444,-78.96833333
84577,PA,1995,0.1,A,Equipment Use,41.68083333,-79.01333333
84578,PA,1995,2.0,B,Debris Burning,41.52194444,-79.05166667
84579,PA,1995,0.1,A,Campfire,41.53861111,-79.98361111
84580,PA,1995,0.2,A,Campfire,41.57972222,-79.13805556
84581,PA,1995,4.8,B,Campfire,41.94972222,-78.93972222
84582,PA,1995,0.1,A,Miscellaneous,41.93,-78.9225
84583,PA,1995,0.1,A,Equipment Use,41.83472222,-78.68055556
84584,PA,1995,1.5,B,Miscellaneous,41.63305556,-78.98305556
84585,PA,1995,1.0,B,Miscellaneous,41.52166667,-79.11833333
91770,PA,1996,0.2,A,Equipment Use,41.60805556,-79.10805556
91771,PA,1996,0.5,B,Miscellaneous,41.85805556,-78.67305556
91772,PA,1996,5.0,B,Miscellaneous,41.34611111,-79.11361111
91773,PA,1996,1.0,B,Equipment Use,41.76027778,-79.19694444
91774,PA,1996,9.0,B,Equipment Use,41.76111111,-79.20166667
91775,PA,1996,0.1,A,Miscellaneous,41.85805556,-78.85
91776,PA,1996,0.1,A,Miscellaneous,41.605,-79.13305556
96302,PA,1997,0.1,A,Miscellaneous,41.87722222,-78.88083333
96303,PA,1997,3.0,B,Campfire,41.76861111,-79.2225
96304,PA,1997,5.0,B,Miscellaneous,41.81666667,-79.11666667
96696,PA,1997,10.0,C,Miscellaneous,41.53444444,-78.89472222
96697,PA,1997,3.0,B,Campfire,41.61166667,-79.24166667
96698,PA,1997,28.0,C,Miscellaneous,41.76666667,-79.21666667
108726,PA,1998,0.1,A,Equipment Use,41.81916667,-79.12666667
108727,PA,1998,3.0,B,Debris Burning,41.49166667,-79.10305556
108728,PA,1998,7.0,B,Campfire,41.425,-78.91666667
108729,PA,1998,0.1,A,Debris Burning,41.84083333,-79.25972222
