,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
572856,RI,2005,5.0,B,Campfire,41.61892,-71.49163
572857,RI,2005,1.0,B,Arson,41.55533,-71.46497
572858,RI,2005,1.0,B,Children,41.68775,-71.56579
572859,RI,2005,3.0,B,Debris Burning,41.40327,-71.56268
572860,RI,2005,2.0,B,Equipment Use,41.363820000000004,-71.68172
572861,RI,2005,1.0,B,Arson,41.69245,-71.54321
572862,RI,2005,1.0,B,Equipment Use,41.419090000000004,-71.65458000000001
572863,RI,2005,4.0,B,Debris Burning,41.47744,-71.76515
572864,RI,2005,3.0,B,Campfire,41.66873,-71.56981999999999
572865,RI,2005,1.0,B,Arson,41.4546,-71.64574
572866,RI,2005,1.0,B,Campfire,41.63868,-71.78719
572867,RI,2005,1.0,B,Railroad,41.61332,-71.47437
572868,RI,2005,1.0,B,Arson,41.36802,-71.65185
572869,RI,2005,1.0,B,Campfire,41.51768,-71.57234
572870,RI,2005,2.0,B,Campfire,41.39562,-71.75825999999999
572871,RI,2005,1.0,B,Arson,41.70431,-71.62151
572872,RI,2005,1.0,B,Campfire,41.40807,-71.63656999999999
572873,RI,2005,6.0,B,Arson,41.54287,-71.55536
572874,RI,2006,10.0,C,Arson,41.71635,-71.42274
572875,RI,2006,1.0,B,Miscellaneous,41.42948,-71.55317
572876,RI,2006,1.0,B,Arson,41.66668,-71.58649
572877,RI,2006,1.0,B,Arson,41.58893,-71.41085
572878,RI,2006,12.0,C,Arson,41.71635,-71.42274
572879,RI,2006,4.0,B,Arson,41.38746,-71.71078
572880,RI,2006,2.0,B,Campfire,41.42498,-71.46561
572881,RI,2006,1.0,B,Arson,41.68238,-71.47057
572882,RI,2006,2.0,B,Campfire,41.433690000000006,-71.56203000000001
572883,RI,2006,1.0,B,Arson,42.01117,-71.49438
572884,RI,2006,1.0,B,Arson,42.01403,-71.47115
572885,RI,2006,1.0,B,Arson,41.94618,-71.6358
572886,RI,2006,2.0,B,Arson,41.96032,-71.67323
572887,RI,2006,20.0,C,Arson,41.88705,-71.6237
572888,RI,2006,1.0,B,Arson,41.89543,-71.55209
572889,RI,2006,13.0,C,Arson,41.8877,-71.51361999999999
572890,RI,2006,10.0,C,Arson,41.75414,-71.27823000000001
572891,RI,2006,2.0,B,Arson,41.68629,-71.25088000000001
572892,RI,2006,1.0,B,Arson,42.00383,-71.4573
572893,RI,2006,1.0,B,Campfire,41.75444,-71.55752
572894,RI,2006,1.0,B,Arson,41.77048,-71.48501999999999
572895,RI,2006,1.0,B,Arson,41.77558,-71.66736
572896,RI,2006,2.0,B,Arson,41.78703,-71.48181
572897,RI,2006,1.0,B,Arson,41.93399,-71.56961
572898,RI,2006,1.0,B,Fireworks,41.81223,-71.52856
572899,RI,2007,7.0,B,Arson,41.64649,-71.16919
572900,RI,2007,1.0,B,Miscellaneous,41.62035,-71.56748
572901,RI,2007,2.0,B,Debris Burning,41.87082,-71.51015
572902,RI,2007,1.0,B,Debris Burning,41.44212,-71.4849
572903,RI,2007,2.0,B,Equipment Use,41.42985,-71.55739
572904,RI,2007,1.0,B,Arson,42.01619,-71.49045
572905,RI,2007,1.0,B,Arson,41.702870000000004,-71.48985
572906,RI,2007,4.0,B,Arson,41.65497,-71.55246
572907,RI,2007,2.0,B,Arson,41.48583,-71.66866
572908,RI,2007,2.0,B,Arson,41.77888,-71.33886
572909,RI,2007,1.0,B,Arson,41.60995,-71.14421
572910,RI,2007,1.0,B,Arson,41.75483,-71.61282
572911,RI,2007,2.0,B,Arson,41.72765,-71.56675
572912,RI,2007,1.0,B,Arson,41.72765,-71.56675
572913,RI,2007,1.0,B,Arson,41.42353,-71.62849
572914,RI,2007,2.0,B,Arson,41.72765,-71.56675
572915,RI,2007,1.0,B,Arson,41.70805,-71.77616
572916,RI,2007,1.0,B,Arson,41.75071,-71.34774
572917,RI,2007,1.0,B,Arson,41.88098,-71.50495
572918,RI,2007,2.0,B,Arson,42.00611,-71.74696
572919,RI,2007,1.0,B,Campfire,41.85183,-71.53304
1064018,RI,1994,25.0,C,Miscellaneous,41.35,-71.65
1471287,RI,2011,0.1,A,Miscellaneous,41.48472222,-71.24888889
1512745,RI,2011,0.5,B,Arson,41.62408889,-71.76083889
1512746,RI,2011,1.0,B,Arson,41.84931667,-71.49770556
1512747,RI,2011,1.5,B,Arson,41.73279444,-71.54224722
1512748,RI,2011,1.5,B,Arson,41.72305833,-71.45421389
1512749,RI,2011,0.7,B,Arson,41.43703889,-71.78635556
1512750,RI,2011,0.9,B,Arson,41.43025,-71.55858056
1512751,RI,2011,0.2,A,Debris Burning,41.41531389,-71.78721944
1512752,RI,2011,1.0,B,Arson,41.86941111,-71.59172222
1512753,RI,2011,0.03,A,Arson,41.64889722,-71.57869444
1512754,RI,2011,2.0,B,Arson,41.43982222,-71.62665278
1512755,RI,2011,0.2,A,Debris Burning,41.50897222,-71.76854722
1512756,RI,2011,0.01,A,Arson,41.62309167,-71.442275
1512757,RI,2011,0.25,A,Debris Burning,41.53182778,-71.686125
1512758,RI,2011,0.5,B,Debris Burning,41.50243056,-71.50960556
1512759,RI,2011,0.25,A,Debris Burning,41.92559722,-71.71472222
1512760,RI,2011,0.6,B,Debris Burning,41.48383056,-71.59168611
1512761,RI,2011,2.5,B,Arson,41.87391389,-71.55343611
1512762,RI,2011,0.5,B,Arson,42.01188333,-71.48943333
1512763,RI,2011,4.0,B,Arson,41.84971389,-71.55361944
1512764,RI,2011,0.25,A,Arson,41.71199167,-71.383775
1512765,RI,2011,0.5,B,Debris Burning,41.50824167,-71.68292778
1512766,RI,2011,0.5,B,Arson,41.52369167,-71.46337778
1512767,RI,2011,3.8,B,Debris Burning,41.46186667,-71.7427
1512768,RI,2011,0.2,A,Arson,41.44269722,-71.56058611
1512769,RI,2011,0.5,B,Arson,41.72913889,-71.49896111
1512770,RI,2011,0.5,B,Arson,41.74955278,-71.68223333
1512771,RI,2011,1.0,B,Arson,41.85276667,-71.63885833
1512772,RI,2011,1.5,B,Arson,41.44764167,-71.48728056
1512773,RI,2011,0.4,B,Arson,41.59895,-71.45626944
1512774,RI,2011,0.2,A,Arson,42.00431111,-71.48719167
1512775,RI,2011,0.1,A,Arson,41.64889722,-71.57869444
1512776,RI,2011,0.1,A,Arson,41.71816667,-71.54848333
1512777,RI,2011,0.25,A,Arson,41.70522778,-71.45170833
1625726,RI,2012,2.0,B,Arson,41.8172928,-71.4743788
1625727,RI,2012,0.02,A,Arson,41.713009,-71.5518869
1625728,RI,2012,0.01,A,Arson,41.4558236,-71.46880340000001
1625729,RI,2012,0.23,A,Debris Burning,41.688061,-71.696748
1625730,RI,2012,1.0,B,Arson,41.755906700000004,-71.6229725
1625731,RI,2012,1.2,B,Arson,41.612349,-71.526504
1625732,RI,2012,0.5,B,Arson,41.990749799999996,-71.4130459
1625733,RI,2012,0.5,B,Arson,41.934242600000005,-71.4870894
1625734,RI,2012,1.5,B,Debris Burning,41.9087343,-71.5928898
1625735,RI,2012,0.25,A,Arson,41.571434,-71.682668
1625736,RI,2012,5.0,B,Arson,41.3674938,-71.66426779999999
1625737,RI,2012,0.5,B,Arson,41.703852000000005,-71.602727
1625738,RI,2012,0.5,B,Arson,41.8953021,-71.57160490000001
1625739,RI,2012,0.25,A,Arson,41.562121000000005,-71.576767
1625740,RI,2012,0.3,B,Campfire,41.446214000000005,-71.51039899999999
1625741,RI,2012,0.5,B,Arson,41.961188,-71.709187
1625742,RI,2012,1.5,B,Arson,41.84936,-71.4250779
1625743,RI,2012,0.5,B,Debris Burning,41.989119,-71.682273
1625744,RI,2012,0.25,A,Miscellaneous,41.936786,-71.7432749
1625745,RI,2012,0.5,B,Arson,41.8089658,-71.6826488
1625746,RI,2012,2.0,B,Arson,41.9362641,-71.42177149999999
1625747,RI,2012,0.25,A,Campfire,41.770870200000005,-71.44006999999999
1625748,RI,2012,0.25,A,Miscellaneous,41.580492,-71.563245
1625749,RI,2012,0.5,B,Arson,41.7747258,-71.402291
1625750,RI,2012,0.25,A,Arson,41.427609499999996,-71.7619804
1625751,RI,2012,0.25,A,Arson,41.700988,-71.518268
1625752,RI,2012,0.25,A,Arson,41.625978,-71.506299
1625753,RI,2012,6.4,B,Arson,41.718889000000004,-71.6713137
1625754,RI,2012,1.0,B,Arson,41.7227072,-71.5744114
1625755,RI,2012,0.2,A,Arson,41.9227739,-71.696347
1625756,RI,2012,1.0,B,Debris Burning,41.8786153,-71.52240520000001
1625757,RI,2012,5.0,B,Arson,41.6766667,-71.29888890000001
1625758,RI,2012,0.1,A,Arson,41.7093078,-71.41064709999999
1625759,RI,2012,0.1,A,Arson,41.688921,-71.697052
1625760,RI,2012,0.3,B,Arson,41.905271500000005,-71.4262819
1625761,RI,2012,0.2,A,Arson,41.680912,-71.58335699999999
1625762,RI,2012,0.1,A,Arson,41.84288370000001,-71.4426287
1625763,RI,2012,0.1,A,Arson,41.699357,-71.589162
1625764,RI,2012,2.0,B,Arson,41.9950102,-71.57118609999999
1625765,RI,2012,0.1,A,Arson,41.9950102,-71.57118609999999
1625766,RI,2012,0.2,A,Arson,41.9231194,-71.6519152
1625767,RI,2012,0.25,A,Arson,41.699357,-71.589162
1625768,RI,2012,0.5,B,Arson,41.888495299999995,-71.508188
1625769,RI,2012,0.2,A,Arson,41.64281,-71.71323000000001
1625770,RI,2012,0.1,A,Debris Burning,41.811959,-71.661107
1625771,RI,2012,0.25,A,Arson,41.679885999999996,-71.5751161
1625772,RI,2012,0.25,A,Arson,41.609691999999995,-71.512839
1625773,RI,2012,0.2,A,Arson,41.687824,-71.285831
1625774,RI,2012,0.6,B,Arson,41.680912,-71.58335699999999
1671776,RI,2013,0.3,B,Debris Burning,41.452242,-71.331583
1671777,RI,2013,1.0,B,Structure,41.497526,-71.342119
1671778,RI,2013,0.25,A,Debris Burning,41.40339,-71.747529
1671779,RI,2013,0.2,A,Arson,41.587776,-71.638349
1671780,RI,2013,0.1,A,Debris Burning,41.690329,-71.53505200000001
1671781,RI,2013,0.1,A,Arson,41.712278000000005,-71.412231
1671782,RI,2013,0.5,B,Arson,41.713009,-71.551887
1671783,RI,2013,1.0,B,Debris Burning,41.586532,-71.672771
1671784,RI,2013,1.5,B,Arson,41.541011,-71.259218
1671785,RI,2013,5.0,B,Arson,41.576177,-71.46592199999999
1671786,RI,2013,1.0,B,Debris Burning,41.568913,-71.436791
1671787,RI,2013,2.0,B,Arson,41.48195,-71.419785
1671788,RI,2013,0.5,B,Arson,41.576102,-71.467949
1671789,RI,2013,0.25,A,Equipment Use,41.572255,-71.470596
1671790,RI,2013,1.0,B,Arson,41.51665,-71.324275
1671791,RI,2013,0.25,A,Arson,41.536627,-71.23674100000001
1671792,RI,2013,0.5,B,Powerline,41.528108,-71.316515
1671935,RI,2013,0.25,A,Smoking,41.518819,-71.309364
1671936,RI,2013,1.0,B,Children,41.58487,-71.283118
1699536,RI,2008,0.1,A,Campfire,41.670842,-71.551803
1699537,RI,2008,0.1,A,Arson,41.7053,-71.45334
1699538,RI,2008,0.1,A,Arson,41.78611,-71.483889
1699539,RI,2008,1.0,B,Arson,41.870678999999996,-71.524751
1699540,RI,2008,0.1,A,Arson,42.001525,-71.49436899999999
1699541,RI,2008,0.1,A,Arson,41.973496999999995,-71.620153
1699542,RI,2008,0.1,A,Children,41.410387,-71.791658
1699543,RI,2008,0.1,A,Arson,41.371736,-71.66978399999999
1699544,RI,2008,0.1,A,Arson,41.4361,-71.77685699999999
1699545,RI,2008,0.1,A,Campfire,41.604083,-71.765
1699546,RI,2008,0.1,A,Debris Burning,41.415062,-71.57879799999999
1699547,RI,2008,0.1,A,Debris Burning,41.448972,-71.50113499999999
1699548,RI,2008,0.1,A,Smoking,41.414784999999995,-71.795102
1699549,RI,2008,0.1,A,Arson,41.506038000000004,-71.766922
1699550,RI,2008,0.1,A,Arson,41.598788,-71.4555046
1699551,RI,2008,0.1,A,Arson,41.599133,-71.45474
1699552,RI,2008,0.1,A,Arson,41.643734,-71.607642
1699553,RI,2008,2.0,B,Arson,41.729744000000004,-71.566681
1699554,RI,2008,0.1,A,Miscellaneous,41.934739,-71.546194
1699555,RI,2008,1.0,B,Miscellaneous,41.506263,-71.157
1699556,RI,2008,0.1,A,Arson,41.989425,-71.530496
1699557,RI,2008,0.1,A,Miscellaneous,41.509923,-71.15339
1699558,RI,2008,10.0,C,Miscellaneous,42.009358,-71.762
1699559,RI,2008,0.1,A,Children,41.678473,-71.265714
1699560,RI,2008,0.1,A,Arson,41.783249,-71.518915
1699561,RI,2008,1.0,B,Arson,41.552639,-71.133696
1699562,RI,2008,0.1,A,Miscellaneous,41.556589,-71.154156
1699563,RI,2008,0.1,A,Miscellaneous,41.526877,-71.163876
1699564,RI,2008,7.0,B,Arson,41.805,-71.37141899999999
1699565,RI,2008,0.1,A,Arson,41.783473,-71.51751999999999
1699566,RI,2008,2.0,B,Campfire,41.807789,-71.49868000000001
1699567,RI,2008,2.0,B,Miscellaneous,41.946925,-71.68660600000001
1699568,RI,2008,0.1,A,Arson,41.710118,-71.28036999999999
1699569,RI,2008,1.0,B,Miscellaneous,41.535309999999996,-71.13930699999999
1699570,RI,2008,1.0,B,Arson,41.860116999999995,-71.34352
1699571,RI,2008,0.1,A,Arson,41.764462,-71.512434
1699572,RI,2008,0.1,A,Miscellaneous,41.939046999999995,-71.704727
1699573,RI,2008,0.1,A,Arson,42.004969,-71.485264
1699574,RI,2008,0.1,A,Miscellaneous,41.5,-71.186667
1699575,RI,2008,2.0,B,Miscellaneous,41.624428,-71.197636
1699576,RI,2008,0.1,A,Miscellaneous,41.953025,-71.539097
1699577,RI,2008,0.1,A,Miscellaneous,41.962083,-71.548237
1699578,RI,2008,0.1,A,Miscellaneous,41.905806,-71.434361
1699579,RI,2008,0.1,A,Arson,41.893747,-71.51123100000001
1699580,RI,2008,1.0,B,Equipment Use,41.766858,-71.757083
1699581,RI,2008,0.1,A,Miscellaneous,41.94,-71.635
1699582,RI,2008,0.1,A,Children,41.900139,-71.572972
1699583,RI,2008,0.1,A,Arson,41.904647,-71.457614
1699584,RI,2008,0.1,A,Arson,41.792417,-71.534747
1699585,RI,2008,0.1,A,Arson,41.815311,-71.509147
1699586,RI,2008,1.0,B,Arson,41.889317,-71.511831
1699587,RI,2008,0.1,A,Miscellaneous,41.980111,-71.427194
1699588,RI,2008,1.0,B,Miscellaneous,41.940861,-71.641056
1699589,RI,2008,0.1,A,Arson,41.892421999999996,-71.560144
1699590,RI,2008,0.1,A,Arson,41.908269,-71.469806
1699591,RI,2008,4.0,B,Arson,41.67725,-71.203133
1699592,RI,2008,0.1,A,Arson,41.946111,-71.561944
1699593,RI,2008,1.0,B,Arson,41.620472,-71.62575
1699594,RI,2008,8.0,B,Miscellaneous,41.700778,-71.667278
1699595,RI,2008,1.0,B,Miscellaneous,41.590556,-71.503361
1699596,RI,2008,0.1,A,Arson,41.706333,-71.740472
1699597,RI,2008,0.1,A,Miscellaneous,41.452194,-71.47980600000001
1699598,RI,2008,1.0,B,Arson,41.456917,-71.48683299999999
1699599,RI,2008,2.0,B,Arson,41.700222,-71.598528
1699600,RI,2008,0.1,A,Children,41.710139,-71.558139
1699601,RI,2008,1.0,B,Arson,41.690694,-71.516889
1699602,RI,2008,0.1,A,Debris Burning,41.688694,-71.70755600000001
1699603,RI,2008,3.0,B,Arson,41.737194,-71.56675
1699604,RI,2008,1.0,B,Children,41.455789,-71.525664
1699605,RI,2008,0.1,A,Arson,41.72,-71.419528
1699606,RI,2008,3.0,B,Children,41.403108,-71.762361
1699607,RI,2008,4.0,B,Arson,41.558942,-71.592936
1699608,RI,2008,0.1,A,Campfire,41.717639,-71.656944
1699609,RI,2008,0.1,A,Equipment Use,41.685194,-71.607389
1699610,RI,2008,0.1,A,Debris Burning,41.49175,-71.623361
1699611,RI,2008,0.1,A,Arson,41.725639,-71.557889
1699612,RI,2008,0.1,A,Arson,41.61775,-71.625389
1699613,RI,2008,0.1,A,Miscellaneous,41.588221999999995,-71.660083
1699614,RI,2008,0.1,A,Arson,41.554639,-71.676361
1699615,RI,2008,1.0,B,Arson,41.708778,-71.741139
1699616,RI,2008,0.1,A,Arson,41.695583,-71.702833
1699617,RI,2008,0.1,A,Arson,41.708694,-71.424444
1699618,RI,2008,0.1,A,Campfire,41.56025,-71.47413900000001
1699619,RI,2008,0.1,A,Arson,41.720611,-71.533194
1699620,RI,2008,1.0,B,Equipment Use,41.490572,-71.66077800000001
1699621,RI,2008,0.1,A,Arson,41.504,-71.67697199999999
1699622,RI,2008,0.1,A,Children,41.586194,-71.67697199999999
1699623,RI,2008,0.1,A,Miscellaneous,41.350308,-71.739081
1699624,RI,2008,0.1,A,Arson,42.003111,-71.54422199999999
1699625,RI,2008,0.1,A,Arson,41.984528000000005,-71.522472
1699626,RI,2008,0.1,A,Miscellaneous,41.921333000000004,-71.772472
1699627,RI,2008,0.1,A,Arson,42.009361,-71.53786099999999
1699628,RI,2008,0.1,A,Arson,42.007833000000005,-71.488167
1699629,RI,2008,0.1,A,Arson,41.972889,-71.580361
1699630,RI,2008,1.0,B,Arson,41.904639,-71.434472
1699631,RI,2008,0.1,A,Debris Burning,41.951894,-71.67397199999999
1699632,RI,2008,0.1,A,Arson,42.004083,-71.752611
1699633,RI,2008,0.1,A,Miscellaneous,42.007603,-71.622736
1699634,RI,2008,0.1,A,Arson,41.614594,-71.48438900000001
1699635,RI,2008,0.1,A,Arson,41.672278000000006,-71.534778
1699636,RI,2008,0.1,A,Arson,41.600056,-71.45133299999999
1699637,RI,2008,2.0,B,Arson,41.614594,-71.456
1699638,RI,2008,0.1,A,Debris Burning,41.369233,-71.72653100000001
1699639,RI,2008,0.1,A,Children,41.438028,-71.635278
1699640,RI,2008,0.1,A,Fireworks,41.569860999999996,-71.732417
1699641,RI,2008,1.0,B,Debris Burning,41.732333000000004,-71.644222
1699642,RI,2008,0.1,A,Arson,41.71,-71.441872
1699643,RI,2008,0.1,A,Arson,41.618883000000004,-71.433389
1699644,RI,2008,8.0,B,Arson,41.457694000000004,-71.704356
1699645,RI,2008,1.0,B,Powerline,41.618428,-71.491858
1699646,RI,2008,2.0,B,Arson,41.390722,-71.827556
1699647,RI,2008,0.1,A,Arson,41.693999999999996,-71.575194
1699648,RI,2008,0.1,A,Campfire,41.653,-71.617561
1699649,RI,2008,0.1,A,Campfire,41.711056,-71.768389
1699650,RI,2008,0.1,A,Arson,41.875572,-71.591142
1699651,RI,2008,0.1,A,Children,41.589,-71.4992
1699652,RI,2008,0.1,A,Arson,41.729783000000005,-71.566743
1699653,RI,2008,0.1,A,Campfire,41.832,-71.590889
1699654,RI,2008,0.1,A,Arson,41.887756,-71.534981
1699655,RI,2008,1.0,B,Arson,41.888069,-71.531661
1699656,RI,2008,0.1,A,Miscellaneous,41.959706,-71.560467
1699657,RI,2008,1.0,B,Arson,42.010447,-71.490303
1699658,RI,2008,0.1,A,Debris Burning,41.726361,-71.738194
1699659,RI,2008,0.1,A,Arson,41.827744,-71.48147800000001
