,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
91,SD,2005,0.1,A,Campfire,44.01277778,-103.3825
113,SD,2005,0.61,B,Railroad,43.065,-103.66055556
116,SD,2005,119.0,D,Lightning,43.89916667,-102.95472222
117,SD,2005,119.0,D,Lightning,43.89277778,-102.94805556
352,SD,2005,14.5,C,Lightning,43.66194444,-102.83444444
422,SD,2005,0.1,A,Campfire,43.8125,-103.59305556
425,SD,2005,0.9,B,Lightning,43.72666667,-102.76277778
427,SD,2005,0.1,A,Campfire,43.78888889,-103.52777778
431,SD,2005,0.25,A,Lightning,43.85555556,-103.41666667
442,SD,2005,0.1,A,Campfire,43.77444444,-103.50694444
444,SD,2005,0.1,A,Campfire,43.7575,-103.68888889
448,SD,2005,0.1,A,Lightning,43.59638889,-103.56861111
452,SD,2005,0.1,A,Lightning,43.81805556,-103.58944444
454,SD,2005,0.1,A,Lightning,43.66333333,-103.58861111
457,SD,2005,0.1,A,Equipment Use,43.82083333,-103.74777778
460,SD,2005,0.75,B,Lightning,43.77444444,-103.66722222
462,SD,2005,1.4,B,Lightning,43.59916667,-103.70916667
464,SD,2005,0.1,A,Campfire,43.75194444,-103.73388889
491,SD,2005,2.0,B,Lightning,43.61638889,-103.65555556
496,SD,2005,1.0,B,Lightning,43.59361111,-103.6225
499,SD,2005,0.1,A,Lightning,43.84055556,-103.62638889
652,SD,2005,1.5,B,Lightning,44.07888889,-103.61138889
661,SD,2005,0.1,A,Lightning,44.08055556,-103.76444444
662,SD,2005,0.03,A,Lightning,44.03638889,-103.38027778
669,SD,2005,0.1,A,Campfire,44.01361111,-103.76305556
826,SD,2005,5.6,B,Lightning,43.68472222,-102.93888889
828,SD,2005,41.0,C,Lightning,43.61888889,-103.10333333
830,SD,2005,12.3,C,Lightning,43.88555556,-102.77166667
833,SD,2005,5.0,B,Lightning,43.87527778,-102.75833333
835,SD,2005,15.6,C,Lightning,43.87416667,-102.76166667
871,SD,2005,0.1,A,Lightning,43.64083333,-103.5575
872,SD,2005,0.1,A,Lightning,43.63833333,-103.56166667
873,SD,2005,0.1,A,Lightning,43.70194444,-103.78638889
877,SD,2005,0.1,A,Lightning,43.71416667,-103.62333333
878,SD,2005,0.5,B,Lightning,43.72944444,-103.7375
879,SD,2005,0.1,A,Lightning,43.70222222,-103.52694444
880,SD,2005,0.1,A,Lightning,43.70222222,-103.50694444
882,SD,2005,0.25,A,Lightning,43.67333333,-103.54694444
885,SD,2005,0.1,A,Lightning,43.72722222,-103.7075
896,SD,2005,5.0,B,Lightning,43.675,-103.51833333
897,SD,2005,0.1,A,Lightning,43.72305556,-103.52388889
901,SD,2005,0.1,A,Lightning,43.72083333,-103.55222222
903,SD,2005,0.1,A,Lightning,43.70333333,-103.53194444
904,SD,2005,0.1,A,Lightning,43.77972222,-103.72361111
909,SD,2005,0.1,A,Lightning,43.63777778,-103.60972222
