,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
3820,TN,2005,1.5,B,Arson,36.46638889,-82.01
15791,TN,2006,5.0,B,Arson,35.09305556,-84.38111111
16496,TN,2006,1.5,B,Arson,35.19027778,-84.33333333
16497,TN,2006,94.0,C,Arson,35.18583333,-84.29611111
16498,TN,2006,2.0,B,Arson,35.19138889,-84.33861111
16499,TN,2006,4.0,B,Arson,35.05638889,-84.36888889
16500,TN,2006,3.0,B,Arson,35.04027778,-84.37361111
16501,TN,2006,0.1,A,Arson,36.30166667,-82.12972222
16502,TN,2006,1.0,B,Equipment Use,36.55194444,-81.96888889
16503,TN,2006,85.0,C,Debris Burning,35.215,-84.46527778
16504,TN,2006,111.0,D,Arson,35.16361111,-84.40138889
16505,TN,2006,35.0,C,Arson,35.215,-84.34916667
16506,TN,2006,45.0,C,Arson,35.20472222,-84.37111111
16507,TN,2006,5.0,B,Miscellaneous,35.85583333,-83.12555556
16508,TN,2006,0.1,A,Lightning,35.93833333,-82.80444444
16510,TN,2006,422.0,E,Arson,35.95472222,-82.97416667
16519,TN,2006,564.0,E,Arson,36.06222222,-82.55277778
16520,TN,2006,270.0,D,Arson,36.12805556,-82.445
16521,TN,2006,592.0,E,Arson,35.31166667,-84.21777778
16523,TN,2006,190.0,D,Arson,36.36777778,-81.95722222
16525,TN,2006,8.0,B,Arson,35.14222222,-84.50555556
16526,TN,2006,1.0,B,Smoking,35.85472222,-83.04277778
16527,TN,2006,6.0,B,Debris Burning,35.97777778,-82.895
16529,TN,2006,13.0,C,Arson,36.11722222,-82.45472222
16530,TN,2006,12.0,C,Lightning,36.05166667,-82.56111111
16532,TN,2006,0.5,B,Lightning,36.15555556,-82.445
16533,TN,2006,0.1,A,Lightning,35.92805556,-83.10694444
16534,TN,2006,75.0,C,Arson,35.21833333,-84.30083333
16535,TN,2006,16.0,C,Miscellaneous,35.3425,-84.23833333
16536,TN,2006,31.0,C,Arson,35.30166667,-84.215
16537,TN,2006,46.0,C,Arson,35.29861111,-84.32388889
16538,TN,2006,4.0,B,Campfire,35.29055556,-84.32416667
16540,TN,2006,66.0,C,Arson,35.33083333,-84.30833333
17769,TN,2006,30.0,C,Arson,35.34444444,-84.2575
17770,TN,2006,21.0,C,Arson,35.34833333,-84.21638889
17771,TN,2006,6.0,B,Arson,35.31611111,-84.28055556
17773,TN,2006,25.0,C,Arson,35.27444444,-84.40277778
17774,TN,2006,32.0,C,Arson,35.32277778,-84.25861111
17775,TN,2006,66.0,C,Arson,35.23055556,-84.28694444
17776,TN,2006,4.0,B,Arson,35.34333333,-84.26083333
17778,TN,2006,20.0,C,Arson,35.27916667,-84.20416667
17779,TN,2006,147.0,D,Arson,35.34972222,-84.25055556
17780,TN,2006,2.0,B,Miscellaneous,35.3275,-84.24055556
17829,TN,2006,4.0,B,Arson,35.32944444,-84.245
17830,TN,2006,20.0,C,Arson,35.19166667,-84.37444444
17831,TN,2006,63.0,C,Arson,35.17972222,-84.36833333
17832,TN,2006,17.0,C,Arson,36.45027778,-81.77861111
17833,TN,2006,40.0,C,Arson,35.06194444,-84.6625
20733,TN,2007,1.1,B,Miscellaneous,36.51611111,-88.02388889
20735,TN,2007,0.1,A,Miscellaneous,36.52055556,-87.92111111
20738,TN,2007,10.1,C,Miscellaneous,36.59388889,-87.95277778
24905,TN,2007,10.0,C,Debris Burning,35.0675,-84.35083333
24929,TN,2007,160.0,D,Arson,35.27638889,-84.20555556
25027,TN,2007,170.0,D,Arson,35.27833333,-84.18444444
25029,TN,2007,2.0,B,Debris Burning,36.29416667,-82.19861111
25033,TN,2007,24.0,C,Debris Burning,35.0,-84.36277778
25046,TN,2007,3.0,B,Arson,36.18027778,-82.24694444
25078,TN,2007,7.0,B,Debris Burning,36.17666667,-82.46916667
25080,TN,2007,570.0,E,Campfire,36.14805556,-82.51777778
25084,TN,2007,7.0,B,Arson,35.78361111,-83.10166667
25104,TN,2007,12.4,C,Arson,36.46444444,-81.93166667
25105,TN,2007,1.0,B,Miscellaneous,36.39694444,-82.05833333
25106,TN,2007,2.5,B,Debris Burning,36.46611111,-82.11638889
25107,TN,2007,23.0,C,Arson,36.46638889,-82.11638889
25108,TN,2007,1.0,B,Debris Burning,36.30583333,-82.17916667
25109,TN,2007,62.7,C,Debris Burning,36.51888889,-81.82555556
25110,TN,2007,1.0,B,Debris Burning,35.99666667,-82.78583333
25111,TN,2007,6.0,B,Debris Burning,36.1675,-82.39722222
25112,TN,2007,1.0,B,Arson,35.99444444,-82.78
25113,TN,2007,0.2,A,Lightning,35.94166667,-83.00333333
25114,TN,2007,5.1,B,Debris Burning,36.17777778,-82.44861111
25115,TN,2007,75.0,C,Lightning,35.93527778,-83.01805556
25116,TN,2007,49.0,C,Lightning,36.13527778,-82.38333333
25117,TN,2007,1.5,B,Debris Burning,35.98861111,-82.84277778
25118,TN,2007,213.0,D,Debris Burning,36.39416667,-82.14166667
25119,TN,2007,4.0,B,Debris Burning,36.43277778,-82.03416667
25121,TN,2007,0.1,A,Lightning,36.19972222,-82.34111111
25124,TN,2007,3.5,B,Arson,36.46444444,-82.00944444
25141,TN,2007,0.1,A,Arson,36.47666667,-81.9575
25142,TN,2007,0.5,B,Arson,36.47194444,-81.94777778
25143,TN,2007,0.1,A,Arson,36.43333333,-82.07222222
25144,TN,2007,1.5,B,Arson,36.44055556,-82.03138889
25147,TN,2007,2.0,B,Arson,36.47138889,-82.01416667
25148,TN,2007,1.0,B,Miscellaneous,36.55277778,-82.33666667
25149,TN,2007,0.5,B,Debris Burning,36.59277778,-81.96333333
25151,TN,2007,0.4,B,Children,36.41638889,-82.04472222
25152,TN,2007,0.1,A,Arson,36.41222222,-82.20527778
25153,TN,2007,244.0,D,Lightning,36.39972222,-82.14083333
25154,TN,2007,0.5,B,Miscellaneous,36.43361111,-82.11222222
25155,TN,2007,7.0,B,Debris Burning,36.19805556,-82.03888889
25156,TN,2007,0.05,A,Arson,36.2325,-82.15027778
25168,TN,2007,1.0,B,Arson,36.47666667,-81.9575
25169,TN,2007,0.05,A,Miscellaneous,36.27944444,-82.14777778
25170,TN,2007,32.5,C,Arson,35.25916667,-84.28
25171,TN,2007,3.5,B,Arson,35.25722222,-84.27861111
25172,TN,2007,80.0,C,Arson,35.29138889,-84.20916667
25183,TN,2007,40.0,C,Arson,35.27638889,-84.26027778
25185,TN,2007,32.0,C,Arson,35.26638889,-84.24305556
25187,TN,2007,43.0,C,Arson,35.27305556,-84.23583333
25189,TN,2007,0.1,A,Arson,35.26694444,-84.23972222
25197,TN,2007,24.0,C,Arson,35.25222222,-84.26083333
25198,TN,2007,66.0,C,Arson,35.27833333,-84.33833333
25200,TN,2007,0.1,A,Arson,35.38555556,-84.11888889
25202,TN,2007,13.0,C,Arson,35.38916667,-84.11194444
25204,TN,2007,34.0,C,Arson,35.39333333,-84.10888889
