,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
63,UT,2005,0.1,A,Lightning,40.08888889,-111.37833333
195,UT,2005,0.1,A,Smoking,41.26416667,-111.79583333
592,UT,2005,0.1,A,Lightning,41.25833333,-111.84972222
820,UT,2005,0.1,A,Campfire,39.31666667,-111.22833333
838,UT,2005,0.1,A,Lightning,37.87194444,-111.65805556
845,UT,2005,0.1,A,Campfire,37.30833333,-113.44805556
859,UT,2005,58.0,C,Miscellaneous,39.99055556,-111.37722222
967,UT,2005,0.1,A,Lightning,38.3475,-109.3075
1004,UT,2005,1.5,B,Lightning,39.93805556,-111.39555556
1021,UT,2005,0.25,A,Lightning,39.36888889,-111.19722222
1022,UT,2005,0.1,A,Lightning,39.8875,-111.52166667
1039,UT,2005,0.1,A,Lightning,39.905,-111.52333333
1042,UT,2005,0.1,A,Lightning,39.57722222,-111.70111111
1046,UT,2005,0.1,A,Campfire,39.94,-111.41833333
1049,UT,2005,0.1,A,Lightning,39.86666667,-111.23333333
1051,UT,2005,0.1,A,Lightning,38.49833333,-109.31833333
1053,UT,2005,10.1,C,Lightning,39.48,-111.82611111
1070,UT,2005,0.1,A,Lightning,37.35444444,-113.62111111
1107,UT,2005,0.5,B,Lightning,39.51055556,-111.83666667
1108,UT,2005,0.1,A,Campfire,39.63194444,-111.26472222
1109,UT,2005,0.1,A,Campfire,38.48305556,-109.31194444
1110,UT,2005,0.1,A,Debris Burning,39.32555556,-111.50027778
1119,UT,2005,3.0,B,Lightning,37.77666667,-109.85083333
1125,UT,2005,0.1,A,Lightning,37.67083333,-109.71527778
1194,UT,2005,0.1,A,Lightning,37.69,-109.88194444
1196,UT,2005,0.1,A,Lightning,37.71083333,-109.9175
1233,UT,2005,0.2,A,Lightning,37.81666667,-111.77083333
1288,UT,2005,0.1,A,Lightning,39.30472222,-111.46083333
1447,UT,2005,0.1,A,Lightning,40.48361111,-111.1
1457,UT,2005,0.1,A,Lightning,40.08472222,-111.49583333
1464,UT,2005,0.1,A,Lightning,40.41611111,-111.29111111
1522,UT,2005,0.1,A,Lightning,39.84138889,-111.80777778
1549,UT,2005,0.1,A,Miscellaneous,37.53166667,-112.81388889
1720,UT,2005,0.1,A,Lightning,37.80027778,-112.10888889
1726,UT,2005,0.1,A,Lightning,38.13277778,-112.16527778
1764,UT,2005,0.1,A,Campfire,40.50972222,-110.95527778
1767,UT,2005,0.5,B,Lightning,40.015,-111.23833333
1808,UT,2005,0.5,B,Lightning,40.14944444,-111.41444444
1809,UT,2005,0.5,B,Lightning,40.11583333,-111.32638889
1810,UT,2005,0.25,A,Lightning,40.61055556,-111.63611111
1811,UT,2005,1.0,B,Miscellaneous,40.07888889,-111.37305556
1827,UT,2005,0.1,A,Campfire,40.19027778,-111.55194444
1834,UT,2005,0.1,A,Lightning,37.48805556,-112.30111111
1835,UT,2005,0.1,A,Lightning,41.27055556,-111.86388889
1837,UT,2005,0.1,A,Lightning,40.5375,-111.78194444
1838,UT,2005,0.3,B,Lightning,37.99027778,-112.325
1839,UT,2005,0.1,A,Campfire,40.68222222,-110.99416667
1841,UT,2005,0.1,A,Lightning,40.71277778,-111.61111111
1842,UT,2005,0.1,A,Lightning,40.89805556,-110.76777778
1846,UT,2005,0.1,A,Campfire,41.67777778,-111.34583333
1847,UT,2005,0.5,B,Lightning,41.77833333,-111.46083333
1849,UT,2005,0.1,A,Lightning,41.60055556,-111.55972222
1850,UT,2005,0.25,A,Lightning,40.41194444,-112.6275
1853,UT,2005,0.1,A,Miscellaneous,40.76166667,-111.81083333
1854,UT,2005,0.13,A,Lightning,40.61944444,-111.73388889
1859,UT,2005,0.1,A,Arson,40.81472222,-110.82472222
1862,UT,2005,0.1,A,Lightning,40.38138889,-112.56694444
1864,UT,2005,0.1,A,Lightning,41.80666667,-111.51166667
1866,UT,2005,0.1,A,Lightning,41.70527778,-111.59
1867,UT,2005,0.25,A,Lightning,40.64777778,-111.19055556
1885,UT,2005,0.1,A,Lightning,40.53583333,-111.75
1886,UT,2005,0.1,A,Lightning,40.83055556,-110.9525
1887,UT,2005,50.0,C,Lightning,41.71138889,-112.02388889
1890,UT,2005,0.25,A,Lightning,41.38305556,-112.01694444
1893,UT,2005,0.1,A,Lightning,41.70388889,-111.69888889
1895,UT,2005,0.1,A,Lightning,41.69083333,-111.45
1898,UT,2005,0.1,A,Lightning,41.62555556,-111.64638889
1899,UT,2005,18.0,C,Lightning,41.77027778,-111.62555556
1997,UT,2005,0.1,A,Lightning,38.19138889,-111.36888889
2042,UT,2005,0.1,A,Lightning,38.74027778,-112.515
2077,UT,2005,0.1,A,Lightning,38.74027778,-112.515
2082,UT,2005,0.1,A,Lightning,38.56694444,-112.45
2083,UT,2005,0.1,A,Lightning,38.38777778,-111.56472222
2085,UT,2005,0.1,A,Lightning,38.36944444,-112.10111111
2183,UT,2005,0.1,A,Campfire,40.49361111,-112.58388889
2356,UT,2005,0.2,A,Lightning,40.10083333,-111.4775
2379,UT,2005,0.1,A,Children,40.10722222,-111.43666667
2384,UT,2005,10.0,C,Lightning,40.59444444,-111.74861111
2453,UT,2005,4.0,B,Lightning,40.80416667,-111.82388889
2457,UT,2005,0.21,A,Lightning,41.57944444,-111.39472222
2464,UT,2005,2.0,B,Lightning,41.985,-111.5675
2477,UT,2005,0.1,A,Lightning,41.98444444,-111.57222222
2488,UT,2005,0.5,B,Campfire,41.84416667,-111.47555556
2490,UT,2005,0.1,A,Lightning,40.57472222,-111.69
2500,UT,2005,2.0,B,Lightning,40.60166667,-111.73055556
2501,UT,2005,0.5,B,Lightning,40.67527778,-111.62138889
2599,UT,2005,1.0,B,Lightning,41.89083333,-111.73583333
2600,UT,2005,23.0,C,Lightning,41.9,-111.75555556
2609,UT,2005,0.1,A,Lightning,40.66972222,-111.75166667
2782,UT,2005,0.3,B,Lightning,37.78305556,-112.61055556
2970,UT,2005,0.1,A,Campfire,37.62916667,-112.63333333
2971,UT,2005,0.1,A,Lightning,37.82583333,-111.97666667
2973,UT,2005,0.1,A,Lightning,37.61888889,-113.97611111
2975,UT,2005,0.8,B,Lightning,37.56444444,-112.65527778
2999,UT,2005,0.1,A,Lightning,37.86666667,-111.70833333
3000,UT,2005,0.1,A,Lightning,37.85,-111.69166667
3004,UT,2005,0.1,A,Lightning,37.77055556,-111.77611111
3006,UT,2005,0.2,A,Lightning,37.90416667,-111.96638889
3008,UT,2005,10.0,C,Lightning,37.45305556,-113.3675
3090,UT,2005,3.6,B,Lightning,37.84861111,-111.59861111
3094,UT,2005,1.0,B,Lightning,37.54972222,-113.47388889
3095,UT,2005,11.2,C,Lightning,37.54,-114.00305556
3096,UT,2005,0.3,B,Lightning,37.55638889,-112.51638889
3228,UT,2005,0.3,B,Lightning,37.3525,-113.59055556
3229,UT,2005,0.1,A,Lightning,37.37138889,-113.60527778
3415,UT,2005,0.1,A,Lightning,37.29694444,-113.3375
3535,UT,2005,0.6,B,Lightning,37.38027778,-113.77055556
3609,UT,2005,41.3,C,Arson,37.61138889,-112.28972222
3615,UT,2005,7892.0,G,Lightning,37.17388889,-113.53833333
3623,UT,2005,522.0,E,Lightning,37.23805556,-113.45
3636,UT,2005,0.1,A,Lightning,37.6175,-113.44083333
3665,UT,2005,0.1,A,Lightning,37.55972222,-113.65361111
3667,UT,2005,0.1,A,Lightning,37.41888889,-113.66166667
3675,UT,2005,0.1,A,Lightning,37.55972222,-112.57333333
3715,UT,2005,0.1,A,Lightning,37.51944444,-113.62472222
3766,UT,2005,0.1,A,Lightning,37.79972222,-112.70055556
3773,UT,2005,2.3,B,Lightning,37.24972222,-113.44972222
3816,UT,2005,300.0,E,Lightning,37.23472222,-113.50111111
3849,UT,2005,0.1,A,Campfire,40.91305556,-111.82944444
3850,UT,2005,0.5,B,Campfire,41.65,-112.01888889
3853,UT,2005,0.1,A,Campfire,40.65027778,-111.10194444
3861,UT,2005,38.0,C,Campfire,41.1825,-111.88583333
3877,UT,2005,0.25,A,Campfire,40.76638889,-111.80555556
3879,UT,2005,0.1,A,Campfire,41.67111111,-111.63638889
4104,UT,2005,6.0,B,Lightning,37.48472222,-112.36277778
4106,UT,2005,540.0,E,Lightning,37.23722222,-113.43638889
4108,UT,2005,0.1,A,Lightning,37.38805556,-113.48777778
4113,UT,2005,0.1,A,Campfire,37.51305556,-113.86666667
4115,UT,2005,0.1,A,Lightning,37.53,-113.64666667
4375,UT,2005,0.25,A,Lightning,38.185,-111.33666667
4393,UT,2005,0.3,B,Lightning,39.31444444,-112.24027778
4689,UT,2005,0.3,B,Lightning,37.7025,-111.83444444
4693,UT,2005,0.1,A,Smoking,37.96416667,-111.81833333
4759,UT,2005,7.0,B,Lightning,37.97666667,-111.64944444
4792,UT,2005,0.1,A,Lightning,38.61416667,-112.0875
4802,UT,2005,0.1,A,Lightning,38.56472222,-111.70694444
4824,UT,2005,0.1,A,Lightning,38.81527778,-112.25583333
4832,UT,2005,0.1,A,Lightning,38.82722222,-112.25333333
5035,UT,2005,761.0,E,Lightning,38.49861111,-112.10305556
5041,UT,2005,0.25,A,Lightning,38.21555556,-112.49194444
5043,UT,2005,0.1,A,Lightning,38.10638889,-111.24305556
5098,UT,2005,0.1,A,Lightning,38.12805556,-111.30666667
5106,UT,2005,0.1,A,Lightning,38.67111111,-112.02666667
5110,UT,2005,0.1,A,Lightning,38.80583333,-111.69361111
5113,UT,2005,0.1,A,Lightning,38.54638889,-112.27694444
5117,UT,2005,0.1,A,Lightning,38.6275,-112.07222222
5121,UT,2005,0.3,B,Miscellaneous,40.85555556,-109.61527778
5346,UT,2005,3322.0,F,Lightning,40.86444444,-109.92833333
5353,UT,2005,0.1,A,Lightning,40.59694444,-109.57694444
5363,UT,2005,0.1,A,Lightning,38.62638889,-112.08722222
5366,UT,2005,0.1,A,Lightning,38.63694444,-112.07805556
5367,UT,2005,0.1,A,Lightning,38.35472222,-112.28305556
5371,UT,2005,0.1,A,Lightning,38.21416667,-111.41972222
5372,UT,2005,24.2,C,Lightning,38.73666667,-112.38666667
5373,UT,2005,0.5,B,Lightning,38.94555556,-112.24611111
5407,UT,2005,0.1,A,Lightning,40.56611111,-110.83222222
5411,UT,2005,0.1,A,Lightning,40.50416667,-110.84916667
5443,UT,2005,43.0,C,Equipment Use,41.88888889,-113.60083333
5460,UT,2005,0.1,A,Lightning,38.74444444,-111.41722222
5477,UT,2005,0.1,A,Lightning,38.4925,-112.09638889
5482,UT,2005,0.1,A,Lightning,40.5375,-110.83888889
5483,UT,2005,0.5,B,Lightning,40.08944444,-110.84277778
5484,UT,2005,0.1,A,Lightning,40.06083333,-110.86111111
5485,UT,2005,0.1,A,Lightning,40.57166667,-110.63416667
5486,UT,2005,0.5,B,Lightning,38.95111111,-111.75222222
5487,UT,2005,0.1,A,Lightning,38.48166667,-111.94333333
5488,UT,2005,0.1,A,Lightning,38.72666667,-112.49361111
5489,UT,2005,0.1,A,Lightning,38.69916667,-112.55138889
5494,UT,2005,0.1,A,Lightning,38.72361111,-112.54666667
5497,UT,2005,0.1,A,Lightning,38.72555556,-112.515
5498,UT,2005,0.1,A,Lightning,38.72555556,-112.53333333
5500,UT,2005,0.1,A,Lightning,38.04,-111.34388889
5502,UT,2005,0.1,A,Lightning,38.19277778,-111.28972222
5503,UT,2005,0.1,A,Lightning,39.31416667,-112.32388889
5504,UT,2005,0.1,A,Lightning,39.46972222,-112.24722222
5505,UT,2005,0.1,A,Lightning,38.69861111,-112.00027778
5506,UT,2005,0.1,A,Lightning,38.73055556,-112.49472222
5512,UT,2005,24.0,C,Lightning,38.93638889,-111.68944444
5513,UT,2005,0.1,A,Lightning,38.78722222,-112.1025
5515,UT,2005,0.1,A,Lightning,38.66416667,-112.06194444
5517,UT,2005,87.0,C,Lightning,39.42527778,-112.26472222
5518,UT,2005,60.0,C,Lightning,38.59888889,-112.3675
5522,UT,2005,0.1,A,Lightning,39.43194444,-112.26277778
5524,UT,2005,0.1,A,Lightning,39.00638889,-112.13916667
5532,UT,2005,0.5,B,Lightning,38.7425,-112.13416667
5533,UT,2005,0.1,A,Lightning,38.66388889,-112.06638889
5534,UT,2005,0.1,A,Lightning,38.88,-111.84861111
5535,UT,2005,0.1,A,Lightning,38.62416667,-112.08583333
5536,UT,2005,0.1,A,Lightning,38.66444444,-112.24222222
5537,UT,2005,0.2,A,Lightning,38.87333333,-112.35166667
5539,UT,2005,0.1,A,Lightning,39.29805556,-112.27277778
5541,UT,2005,0.1,A,Lightning,39.20166667,-112.27611111
5542,UT,2005,0.1,A,Lightning,39.20527778,-112.26861111
5543,UT,2005,0.1,A,Lightning,38.55583333,-112.235
5545,UT,2005,0.1,A,Lightning,38.88222222,-112.21388889
5546,UT,2005,0.1,A,Lightning,38.39916667,-111.53361111
5548,UT,2005,67.0,C,Lightning,38.86527778,-111.79416667
5549,UT,2005,0.1,A,Lightning,38.85222222,-111.81916667
5550,UT,2005,0.1,A,Lightning,38.77555556,-112.19
5551,UT,2005,0.1,A,Lightning,38.87333333,-111.84638889
5552,UT,2005,0.1,A,Lightning,40.89083333,-109.66027778
5553,UT,2005,0.1,A,Campfire,40.52888889,-110.45805556
5554,UT,2005,330.0,E,Lightning,40.07472222,-110.90555556
5555,UT,2005,0.1,A,Lightning,40.65861111,-109.93833333
5694,UT,2005,10.7,C,Lightning,37.59944444,-111.77972222
