,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
3474,VA,2005,293.0,D,Arson,38.55777778,-79.07166667
3482,VA,2005,1.0,B,Arson,38.3,-79.38333333
3504,VA,2005,11.1,C,Miscellaneous,38.74138889,-79.02944444
3505,VA,2005,0.1,A,Arson,36.85472222,-82.44777778
3513,VA,2005,2.5,B,Miscellaneous,37.76027778,-80.20194444
3515,VA,2005,32.0,C,Miscellaneous,37.64583333,-80.15027778
3516,VA,2005,5.0,B,Miscellaneous,37.83194444,-80.09388889
3517,VA,2005,6.0,B,Miscellaneous,37.8975,-79.57611111
3519,VA,2005,7.6,B,Lightning,38.18194444,-79.84444444
3521,VA,2005,0.1,A,Miscellaneous,38.55333333,-79.00666667
3522,VA,2005,2.0,B,Debris Burning,36.79694444,-82.80833333
3523,VA,2005,7.0,B,Campfire,38.85,-78.35305556
3524,VA,2005,0.75,B,Arson,37.14944444,-82.62444444
3527,VA,2005,33.0,C,Lightning,37.50333333,-79.6575
5090,VA,2005,0.3,B,Miscellaneous,38.29055556,-79.34388889
5384,VA,2005,2.0,B,Miscellaneous,37.90111111,-79.59944444
5387,VA,2005,2.0,B,Arson,36.89222222,-82.54305556
5638,VA,2005,3.0,B,Campfire,37.08333333,-81.21666667
5642,VA,2005,2.0,B,Smoking,37.05,-81.06666667
5680,VA,2005,5.0,B,Debris Burning,37.45,-80.51666667
5688,VA,2005,2.0,B,Arson,37.26666667,-80.46666667
5982,VA,2005,1.0,B,Campfire,37.46666667,-80.23333333
5984,VA,2005,2.5,B,Miscellaneous,37.95666667,-78.95388889
6910,VA,2005,0.1,A,Arson,38.52861111,-78.65861111
6912,VA,2005,0.1,A,Arson,38.52944444,-78.65833333
7306,VA,2006,0.3,B,Lightning,38.47666667,-79.22027778
8001,VA,2006,2.3,B,Lightning,37.63083333,-80.14944444
8784,VA,2006,12.0,C,Lightning,37.39861111,-80.26833333
8893,VA,2006,2.0,B,Arson,36.93666667,-82.45527778
8894,VA,2006,5.0,B,Arson,36.8275,-82.54638889
8895,VA,2006,2.0,B,Debris Burning,37.19166667,-82.53416667
13268,VA,2006,1.0,B,Arson,38.57083333,-79.14277778
13271,VA,2006,0.3,B,Arson,38.71833333,-78.83916667
15289,VA,2006,2.0,B,Miscellaneous,37.95194444,-78.95416667
15290,VA,2006,35.0,C,Miscellaneous,37.43138889,-79.815
16381,VA,2006,1140.0,F,Debris Burning,37.43194444,-79.815
16487,VA,2006,20.0,C,Lightning,37.4325,-80.1925
16675,VA,2006,0.12,A,Miscellaneous,37.73027778,-79.31388889
16922,VA,2006,3.3,B,Miscellaneous,37.29527778,-80.46361111
16923,VA,2006,25.0,C,Miscellaneous,37.29527778,-80.46333333
16925,VA,2006,0.5,B,Arson,37.14361111,-81.12944444
17543,VA,2006,0.1,A,Children,38.70722222,-78.56111111
17560,VA,2006,850.0,E,Miscellaneous,37.05305556,-80.11111111
17710,VA,2006,1.3,B,Miscellaneous,37.03333333,-81.23
17712,VA,2006,2871.0,F,Arson,37.61472222,-79.36555556
17722,VA,2006,1.0,B,Arson,37.56666667,-79.33055556
17724,VA,2006,867.0,E,Arson,37.25944444,-82.34138889
17755,VA,2006,1935.0,F,Arson,38.67666667,-78.5525
17772,VA,2007,0.1,A,Miscellaneous,38.22472222,-79.40861111
17921,VA,2007,32.0,C,Railroad,36.72138889,-82.77472222
17923,VA,2007,11.0,C,Miscellaneous,37.75416667,-80.05972222
17948,VA,2007,10.0,C,Arson,38.57361111,-79.13861111
17982,VA,2007,93.0,C,Miscellaneous,36.91888889,-82.66055556
17997,VA,2007,2.5,B,Miscellaneous,37.63361111,-79.36305556
17999,VA,2007,1.0,B,Miscellaneous,37.80166667,-79.2875
18125,VA,2007,2.7,B,Miscellaneous,37.84111111,-79.97083333
18144,VA,2007,0.01,A,Lightning,37.86055556,-79.62194444
