,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
16872,VT,2006,0.05,A,Arson,43.34527778,-72.95333333
17171,VT,2006,5.0,B,Debris Burning,43.93722222,-72.89444444
17577,VT,2006,0.1,A,Arson,43.37277778,-72.9625
17815,VT,2007,0.05,A,Arson,43.23166667,-72.86388889
24433,VT,2007,0.1,A,Campfire,43.04722222,-72.85222222
24680,VT,2007,10.0,C,Debris Burning,43.88916667,-73.06333333
29335,VT,2008,13.0,C,Campfire,43.67111111,-72.92111111
32847,VT,2008,0.5,B,Arson,43.25333333,-72.53666667
32854,VT,2008,0.1,A,Campfire,43.45833333,-72.93305556
33430,VT,2008,0.1,A,Campfire,43.45833333,-72.94333333
35001,VT,2009,0.5,B,Miscellaneous,43.38444444,-72.93
53181,VT,1992,270.0,D,Miscellaneous,43.335,-72.905
59829,VT,1993,3.0,B,Lightning,43.91666667,-73.11666667
75145,VT,1994,3.0,B,Debris Burning,44.9,-73.11666667
75146,VT,1994,0.1,A,Arson,43.28333333,-73.06333333
75147,VT,1994,0.1,A,Arson,43.28666667,-73.05833333
75148,VT,1994,16.0,C,Arson,43.28833333,-73.05833333
75149,VT,1994,3.1,B,Debris Burning,43.8,-72.83333333
75150,VT,1994,3.0,B,Debris Burning,43.8,-72.83333333
84586,VT,1995,1.0,B,Miscellaneous,44.11555556,-73.06916667
84587,VT,1995,0.2,A,Campfire,43.90166667,-72.93333333
103590,VT,1997,2.0,B,Equipment Use,43.25166667,-72.87166667
103591,VT,1997,1.0,B,Campfire,43.88333333,-72.94166667
113330,VT,1998,2.0,B,Debris Burning,43.04833333,-73.25972222
113331,VT,1998,12.0,C,Arson,42.89277778,-73.095
122043,VT,1999,4.5,B,Debris Burning,43.83527778,-72.91777778
122044,VT,1999,4.5,B,Campfire,42.90138889,-73.15194444
122045,VT,1999,1.5,B,Lightning,43.33222222,-72.79944444
151873,VT,2002,0.1,A,Campfire,43.66527778,-72.84166667
151874,VT,2002,0.1,A,Campfire,43.75166667,-72.83388889
151875,VT,2002,3.0,B,Campfire,43.3,-72.83333333
163422,VT,2003,1.0,B,Debris Burning,43.45666667,-72.93833333
172692,VT,2004,1.0,B,Smoking,43.72805556,-72.37861111
354991,VT,2006,0.8,B,Debris Burning,43.6167,-72.5417
377382,VT,2004,0.2,A,Debris Burning,43.11,-73.26
377383,VT,2005,1.0,B,Campfire,43.1,-73.2
377384,VT,2004,0.2,A,Debris Burning,43.06,-73.12
377385,VT,2003,0.5,B,Campfire,43.06,-73.15
377386,VT,2004,0.2,A,Campfire,43.1,-73.19
377387,VT,2005,1.0,B,Miscellaneous,43.06,-73.12
377388,VT,2005,1.0,B,Miscellaneous,43.04,-73.17
377389,VT,2005,0.1,A,Debris Burning,44.56,-72.01
377390,VT,2005,4.0,B,Debris Burning,44.51,-71.98
377391,VT,2005,0.5,B,Debris Burning,44.57,-71.95
377392,VT,2004,0.5,B,Debris Burning,44.59,-72.06
377393,VT,2005,1.0,B,Equipment Use,44.54,-72.0
377394,VT,2005,0.5,B,Miscellaneous,44.52,-72.03
377395,VT,2005,2.0,B,Miscellaneous,44.53,-72.04
377396,VT,2003,3.0,B,Debris Burning,44.52,-71.96
377397,VT,2002,1.0,B,Arson,44.55,-73.16
377398,VT,2002,0.1,A,Smoking,44.58,-73.18
377399,VT,2005,0.1,A,Miscellaneous,44.0,-73.0
377400,VT,2004,0.1,A,Lightning,44.55,-73.12
377401,VT,2005,1.0,B,Arson,44.52,-73.15
377402,VT,2004,8.0,B,Miscellaneous,44.56,-73.16
377403,VT,2003,0.1,A,Campfire,44.53,-73.2
377404,VT,2003,1.0,B,Campfire,44.6,-73.19
377405,VT,2002,0.5,B,Smoking,44.51,-73.19
377406,VT,2007,0.1,A,Smoking,44.5,-73.11
377407,VT,2005,0.5,B,Campfire,44.34,-73.15
377408,VT,2005,0.1,A,Miscellaneous,44.36,-73.12
377409,VT,2004,0.3,B,Debris Burning,44.38,-73.14
377410,VT,2004,1.0,B,Debris Burning,44.35,-73.11
377411,VT,2004,1.0,B,Campfire,44.34,-73.1
377412,VT,2005,0.1,A,Smoking,44.24,-73.17
377413,VT,2005,0.2,A,Arson,44.27,-73.0
377414,VT,2005,0.3,B,Miscellaneous,44.37,-73.31
377415,VT,2005,1.0,B,Arson,44.14,-73.24
377416,VT,2005,0.1,A,Miscellaneous,44.27,-73.16
377417,VT,2004,0.5,B,Miscellaneous,44.49,-73.19
377418,VT,2004,1.0,B,Miscellaneous,44.49,-73.2
377419,VT,2003,0.5,B,Arson,43.94,-72.55
377420,VT,2003,1.0,B,Debris Burning,43.92,-72.54
377421,VT,2004,0.1,A,Equipment Use,43.96,-72.63
377422,VT,2004,0.1,A,Miscellaneous,43.9,-72.6
377423,VT,2003,1.0,B,Lightning,43.94,-72.6
377424,VT,2003,0.1,A,Miscellaneous,43.65,-72.96
377425,VT,2005,2.0,B,Debris Burning,43.58,-73.07
377426,VT,2005,5.0,B,Miscellaneous,43.57,-73.04
377427,VT,2005,0.2,A,Miscellaneous,43.6,-73.05
377428,VT,2005,0.1,A,Miscellaneous,44.17,-72.58
377429,VT,2005,0.1,A,Miscellaneous,44.22,-72.56
377430,VT,2005,0.2,A,Miscellaneous,44.26,-72.62
377431,VT,2008,5.0,B,Miscellaneous,44.54,-72.59
377432,VT,2005,0.1,A,Miscellaneous,44.21,-72.57
377433,VT,2004,0.5,B,Campfire,44.26,-72.81
377434,VT,2004,1.0,B,Campfire,44.27,-72.79
377435,VT,2007,0.5,B,Campfire,44.18,-72.13
1059396,VT,2005,1.0,B,Campfire,43.71861111,-72.94333333
1176912,VT,2010,0.1,A,Lightning,44.0183333,-73.08361109999998
1180039,VT,2010,0.25,A,Campfire,43.16,-73.0133333
1571314,VT,2012,0.01,A,Campfire,43.89333333,-73.05444444
1571315,VT,2012,0.02,A,Equipment Use,44.03083333,-72.9975
1571316,VT,2012,6.0,B,Debris Burning,43.34583333,-72.97944444
1571317,VT,2012,0.01,A,Campfire,43.04444444,-72.93944444
1627413,VT,2012,0.5,B,Debris Burning,43.8083333,-73.28361109999999
1627414,VT,2012,0.5,B,Debris Burning,43.9894444,-72.4627778
1627415,VT,2012,0.13,A,Debris Burning,43.0678307,-72.45874040000001
1627416,VT,2012,6.5,B,Miscellaneous,44.209515100000004,-73.1359861
1627417,VT,2012,4.0,B,Debris Burning,43.96083,-73.21083
1627418,VT,2012,1.0,B,Miscellaneous,42.8509348,-72.5578619
1627419,VT,2012,2.0,B,Debris Burning,43.0678307,-72.45874040000001
1627420,VT,2012,0.1,A,Miscellaneous,44.0153291,-73.1673508
1627421,VT,2012,9.0,B,Debris Burning,43.610623700000005,-72.9726065
1627422,VT,2012,2.0,B,Miscellaneous,43.0036753,-73.1955094
1627423,VT,2012,0.5,B,Debris Burning,43.0036753,-73.1955094
1627424,VT,2012,6.0,B,Miscellaneous,43.9159843,-73.1191518
1627425,VT,2012,0.5,B,Miscellaneous,43.8083333,-73.28361109999999
1627426,VT,2012,0.5,B,Debris Burning,43.5333703,-72.8751786
1627427,VT,2012,0.5,B,Debris Burning,44.27638889999999,-72.4275
1627428,VT,2012,0.1,A,Miscellaneous,44.27638889999999,-72.4275
1627429,VT,2012,3.0,B,Debris Burning,43.0678307,-72.45874040000001
1627430,VT,2012,5.0,B,Debris Burning,43.9894444,-72.4627778
1627431,VT,2012,0.25,A,Debris Burning,43.5333703,-72.8751786
1627432,VT,2012,35.0,C,Debris Burning,44.10583,-72.9975
1627433,VT,2012,2.0,B,Miscellaneous,44.1441667,-73.235
1627434,VT,2012,2.0,B,Debris Burning,44.716944399999996,-71.7766667
1627435,VT,2012,0.12,A,Miscellaneous,43.96083,-73.21083
1627436,VT,2012,0.01,A,Smoking,44.10583,-72.9975
1627437,VT,2012,0.1,A,Equipment Use,44.4452778,-73.0991667
1627438,VT,2012,120.0,D,Debris Burning,43.9483333,-72.3208333
1627439,VT,2012,1.0,B,Debris Burning,43.7073648,-73.18454820000001
1627440,VT,2012,0.1,A,Smoking,44.1039533,-72.1217587
1627441,VT,2012,0.75,B,Debris Burning,43.65139,-73.34778
1627442,VT,2012,27.7,C,Debris Burning,44.6654963,-73.01032
