,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
54,WA,2005,0.3,B,Lightning,46.22083333,-117.785
119,WA,2005,0.1,A,Campfire,46.08055556,-117.89083333
932,WA,2005,0.1,A,Railroad,45.665,-121.20361111
938,WA,2005,0.1,A,Miscellaneous,48.35666667,-117.06083333
966,WA,2005,0.1,A,Railroad,45.69944444,-121.41361111
1059,WA,2005,0.1,A,Lightning,46.10555556,-117.78888889
1105,WA,2005,1.0,B,Equipment Use,45.715,-121.34833333
1181,WA,2005,1.0,B,Equipment Use,45.66416667,-121.01083333
1186,WA,2005,0.5,B,Children,45.66222222,-120.91583333
1242,WA,2005,0.1,A,Miscellaneous,45.70222222,-121.7525
1642,WA,2005,7.0,B,Miscellaneous,45.78694444,-121.40083333
1643,WA,2005,3.0,B,Railroad,45.63305556,-121.11138889
1662,WA,2005,2.0,B,Smoking,45.7,-121.72388889
2048,WA,2005,0.3,B,Lightning,48.70666667,-117.09833333
2054,WA,2005,1.0,B,Lightning,48.82333333,-117.05444444
2059,WA,2005,0.1,A,Lightning,48.80111111,-117.06194444
3213,WA,2005,0.1,A,Campfire,46.08638889,-121.60166667
3217,WA,2005,0.1,A,Campfire,45.94277778,-121.72694444
3344,WA,2005,0.1,A,Campfire,45.95194444,-121.71027778
3427,WA,2005,0.1,A,Campfire,46.09277778,-121.76305556
3428,WA,2005,0.1,A,Campfire,47.81555556,-122.96472222
3433,WA,2005,0.1,A,Campfire,45.93888889,-121.76666667
3434,WA,2005,0.1,A,Miscellaneous,46.01333333,-121.83361111
3592,WA,2005,0.1,A,Campfire,47.99027778,-123.01611111
3593,WA,2005,0.1,A,Campfire,47.40611111,-123.43444444
3594,WA,2005,0.1,A,Campfire,47.9475,-123.15277778
3595,WA,2005,0.1,A,Miscellaneous,47.32833333,-123.79194444
3598,WA,2005,0.1,A,Campfire,48.06666667,-124.11416667
3599,WA,2005,0.1,A,Campfire,47.7625,-123.10694444
3601,WA,2005,0.1,A,Campfire,47.56972222,-121.66666667
3723,WA,2005,0.1,A,Campfire,47.54055556,-121.58166667
3725,WA,2005,0.1,A,Campfire,47.67944444,-121.31194444
3764,WA,2005,0.1,A,Campfire,47.38055556,-121.39083333
3767,WA,2005,0.1,A,Campfire,47.03194444,-121.71666667
3770,WA,2005,3.0,B,Miscellaneous,47.39527778,-121.56055556
3789,WA,2005,0.1,A,Campfire,47.04666667,-121.65333333
3867,WA,2005,52000.0,G,Miscellaneous,46.23444444,-117.68055556
3890,WA,2005,1.0,B,Miscellaneous,46.77444444,-121.06472222
3901,WA,2005,0.1,A,Campfire,46.92888889,-121.35694444
3914,WA,2005,0.1,A,Campfire,48.24777778,-121.30833333
3915,WA,2005,0.1,A,Campfire,46.98833333,-121.05
3918,WA,2005,0.1,A,Campfire,47.27888889,-121.34833333
3922,WA,2005,0.1,A,Arson,47.03194444,-121.73805556
3930,WA,2005,0.1,A,Campfire,47.39527778,-121.53916667
3932,WA,2005,0.1,A,Campfire,47.39527778,-121.51805556
3936,WA,2005,0.1,A,Miscellaneous,47.06138889,-121.71666667
3953,WA,2005,0.1,A,Campfire,48.11916667,-121.58722222
3956,WA,2005,0.1,A,Campfire,47.665,-121.3125
3960,WA,2005,0.1,A,Campfire,47.36611111,-121.53916667
3967,WA,2005,0.1,A,Campfire,48.09055556,-121.54444444
3974,WA,2005,0.1,A,Campfire,48.07611111,-121.52305556
3977,WA,2005,0.1,A,Campfire,48.07611111,-121.65166667
3988,WA,2005,0.1,A,Campfire,48.07222222,-121.52166667
3991,WA,2005,0.1,A,Equipment Use,47.70777778,-121.07861111
4021,WA,2005,0.1,A,Campfire,47.39527778,-121.53916667
4025,WA,2005,0.1,A,Campfire,47.13388889,-121.60694444
4027,WA,2005,0.1,A,Campfire,47.13361111,-121.58583333
4034,WA,2005,0.1,A,Campfire,47.30777778,-121.34833333
4192,WA,2005,0.1,A,Campfire,46.6625,-121.7275
4606,WA,2005,0.1,A,Campfire,45.95527778,-121.755
4635,WA,2005,0.1,A,Miscellaneous,48.27222222,-117.42194444
4818,WA,2005,0.1,A,Campfire,45.95527778,-121.75444444
4830,WA,2005,0.5,B,Campfire,46.41833333,-121.44694444
4837,WA,2005,0.1,A,Smoking,46.05833333,-121.61666667
4845,WA,2005,0.1,A,Campfire,46.60083333,-121.65388889
4852,WA,2005,0.1,A,Smoking,46.34916667,-121.595
4860,WA,2005,0.1,A,Campfire,46.45,-121.83333333
4864,WA,2005,0.1,A,Smoking,46.01861111,-121.74638889
4865,WA,2005,0.1,A,Smoking,46.53833333,-121.93
