,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
5562,WI,2005,0.1,A,Miscellaneous,46.58777778,-91.08027778
5623,WI,2005,0.1,A,Debris Burning,45.29777778,-88.52888889
5636,WI,2005,0.1,A,Debris Burning,45.22611111,-88.60888889
5643,WI,2005,0.1,A,Debris Burning,45.85138889,-88.665
5649,WI,2005,0.1,A,Miscellaneous,45.43416667,-88.52361111
5664,WI,2005,4.2,B,Debris Burning,46.02444444,-88.83694444
5674,WI,2005,0.2,A,Campfire,45.245,-88.34111111
5683,WI,2005,2.0,B,Debris Burning,45.17166667,-88.46361111
5691,WI,2005,10.2,C,Debris Burning,46.16111111,-90.91916667
5708,WI,2005,0.6,B,Miscellaneous,46.02333333,-88.83666667
5713,WI,2005,1.1,B,Debris Burning,45.54527778,-88.71666667
5716,WI,2005,0.4,B,Debris Burning,45.97416667,-90.05138889
5720,WI,2005,0.1,A,Campfire,45.24611111,-88.75027778
5722,WI,2005,0.1,A,Debris Burning,45.91055556,-91.02555556
5723,WI,2005,0.1,A,Debris Burning,45.24583333,-88.46111111
5724,WI,2005,0.1,A,Miscellaneous,45.30972222,-88.48555556
5725,WI,2005,1.0,B,Debris Burning,46.33916667,-90.92972222
5726,WI,2005,1.4,B,Equipment Use,45.41694444,-88.76638889
5727,WI,2005,0.4,B,Equipment Use,45.32194444,-88.59305556
5728,WI,2005,0.1,A,Miscellaneous,45.1325,-88.67138889
5729,WI,2005,0.1,A,Miscellaneous,45.26138889,-88.63694444
5732,WI,2005,0.1,A,Miscellaneous,46.07722222,-89.01833333
5736,WI,2005,0.5,B,Arson,45.29944444,-88.53694444
5767,WI,2005,0.1,A,Debris Burning,46.31583333,-91.29527778
5769,WI,2005,0.1,A,Campfire,45.92611111,-90.08222222
5772,WI,2005,0.5,B,Debris Burning,46.11666667,-89.15111111
5779,WI,2005,0.5,B,Miscellaneous,46.20333333,-91.08611111
5780,WI,2005,0.5,B,Debris Burning,45.93277778,-89.01444444
5781,WI,2005,0.5,B,Smoking,46.14055556,-90.95972222
5786,WI,2005,0.1,A,Arson,45.29888889,-88.53638889
5789,WI,2005,0.1,A,Arson,45.29888889,-88.53638889
5791,WI,2005,0.1,A,Equipment Use,45.27527778,-88.50916667
5793,WI,2005,0.1,A,Debris Burning,45.92805556,-88.68888889
5795,WI,2005,0.1,A,Miscellaneous,45.92111111,-88.5925
5798,WI,2005,0.1,A,Equipment Use,46.66083333,-91.04555556
5801,WI,2005,0.1,A,Debris Burning,45.95555556,-90.07166667
5813,WI,2005,0.1,A,Miscellaneous,46.19833333,-91.13472222
5820,WI,2005,0.1,A,Lightning,45.91027778,-89.00527778
5823,WI,2005,0.1,A,Lightning,45.89527778,-89.03527778
5825,WI,2005,0.1,A,Miscellaneous,46.13305556,-89.15111111
5828,WI,2005,0.1,A,Campfire,45.51083333,-88.53055556
5830,WI,2005,0.1,A,Campfire,46.04722222,-90.66722222
5833,WI,2005,0.8,B,Arson,45.76805556,-88.54611111
5843,WI,2005,0.1,A,Campfire,45.93083333,-89.13083333
5846,WI,2005,0.1,A,Campfire,45.17722222,-88.68444444
5855,WI,2005,0.1,A,Children,45.16416667,-88.50361111
5863,WI,2005,0.1,A,Debris Burning,46.00777778,-91.02888889
5875,WI,2005,0.2,A,Campfire,46.05638889,-90.69638889
5880,WI,2005,0.1,A,Debris Burning,46.20333333,-91.08611111
5884,WI,2005,0.1,A,Equipment Use,45.52166667,-88.61333333
5890,WI,2005,0.1,A,Campfire,45.22444444,-88.35388889
5893,WI,2005,0.1,A,Campfire,45.25583333,-88.74333333
5910,WI,2005,0.1,A,Equipment Use,45.21666667,-88.64472222
5911,WI,2005,0.1,A,Debris Burning,45.59555556,-88.42916667
5913,WI,2005,3.0,B,Equipment Use,45.685,-88.96111111
5914,WI,2005,0.1,A,Campfire,45.20222222,-88.38777778
5916,WI,2005,0.3,B,Debris Burning,45.24083333,-90.72138889
5918,WI,2005,0.1,A,Miscellaneous,45.26944444,-88.62444444
5919,WI,2005,0.1,A,Smoking,45.70472222,-88.50972222
17014,WI,2006,0.1,A,Debris Burning,46.30777778,-90.85277778
17020,WI,2006,0.4,B,Debris Burning,45.34888889,-90.53083333
17030,WI,2006,0.2,A,Debris Burning,45.93305556,-90.1525
17035,WI,2006,60.0,C,Debris Burning,45.25194444,-90.72944444
17037,WI,2006,1.7,B,Equipment Use,45.33388889,-90.4475
17041,WI,2006,0.1,A,Miscellaneous,46.20055556,-91.09638889
17057,WI,2006,0.1,A,Miscellaneous,45.22527778,-88.57888889
17064,WI,2006,0.1,A,Equipment Use,45.19638889,-88.55666667
17097,WI,2006,0.1,A,Debris Burning,45.33,-88.59888889
17098,WI,2006,0.1,A,Debris Burning,46.11861111,-89.165
17099,WI,2006,0.25,A,Debris Burning,46.03666667,-89.02388889
17100,WI,2006,0.1,A,Debris Burning,45.47944444,-88.63277778
17101,WI,2006,0.1,A,Smoking,46.25666667,-91.11916667
17102,WI,2006,0.1,A,Debris Burning,45.24638889,-88.44083333
17105,WI,2006,1.1,B,Debris Burning,46.24972222,-91.26222222
17108,WI,2006,0.1,A,Lightning,45.89166667,-90.05361111
17111,WI,2006,0.1,A,Lightning,45.965,-90.01
17115,WI,2006,0.1,A,Miscellaneous,46.09222222,-91.15666667
17117,WI,2006,0.1,A,Lightning,46.04,-91.03388889
17119,WI,2006,1.5,B,Campfire,46.27638889,-91.23583333
17122,WI,2006,3.0,B,Lightning,46.3175,-91.15472222
17123,WI,2006,0.1,A,Smoking,45.88277778,-90.07694444
17124,WI,2006,0.25,A,Debris Burning,46.02222222,-89.11611111
17130,WI,2006,0.1,A,Debris Burning,45.59583333,-88.44222222
17134,WI,2006,0.25,A,Debris Burning,45.91583333,-91.04416667
17138,WI,2006,3.5,B,Arson,46.25388889,-91.17777778
17143,WI,2006,0.8,B,Debris Burning,45.93722222,-90.3075
17147,WI,2006,0.1,A,Miscellaneous,46.06888889,-89.05694444
17153,WI,2006,0.1,A,Miscellaneous,45.96916667,-88.88888889
17155,WI,2006,0.1,A,Miscellaneous,45.70416667,-88.51
17158,WI,2006,0.1,A,Arson,46.01111111,-89.08416667
17161,WI,2006,0.1,A,Arson,46.01083333,-89.08638889
17162,WI,2006,0.1,A,Arson,46.01138889,-89.08527778
17164,WI,2006,0.1,A,Debris Burning,46.5025,-91.35138889
17169,WI,2006,0.2,A,Miscellaneous,45.85027778,-88.67333333
17221,WI,2006,0.1,A,Miscellaneous,46.09416667,-91.1275
17222,WI,2006,0.1,A,Smoking,46.54527778,-91.27027778
17223,WI,2006,0.1,A,Debris Burning,46.34027778,-91.36527778
17224,WI,2006,0.3,B,Debris Burning,46.07777778,-91.04888889
17225,WI,2006,0.1,A,Miscellaneous,46.10666667,-91.1275
17226,WI,2006,0.1,A,Debris Burning,45.31083333,-88.46138889
17227,WI,2006,11.5,C,Campfire,45.16694444,-88.37166667
17228,WI,2006,0.1,A,Equipment Use,45.88472222,-90.77833333
17230,WI,2006,0.5,B,Debris Burning,46.00527778,-91.03333333
17233,WI,2006,0.1,A,Campfire,46.29194444,-91.19305556
17236,WI,2006,0.1,A,Lightning,45.96,-90.01111111
17239,WI,2006,0.1,A,Lightning,45.96,-90.00388889
17243,WI,2006,1.5,B,Miscellaneous,45.6425,-88.63527778
17247,WI,2006,0.1,A,Miscellaneous,46.2575,-91.27611111
17252,WI,2006,0.5,B,Lightning,46.55444444,-91.29138889
17258,WI,2006,0.1,A,Equipment Use,45.95944444,-89.00944444
17259,WI,2006,0.1,A,Miscellaneous,46.06777778,-89.11333333
17260,WI,2006,23.0,C,Arson,46.675,-91.06972222
17262,WI,2006,2.9,B,Campfire,46.40222222,-91.32
17265,WI,2006,0.5,B,Campfire,46.38611111,-91.30972222
17267,WI,2006,1.0,B,Debris Burning,45.55972222,-88.71694444
17270,WI,2006,0.1,A,Debris Burning,45.45611111,-88.67611111
17277,WI,2006,0.5,B,Debris Burning,45.65861111,-88.60444444
17305,WI,2006,80.0,C,Lightning,45.96111111,-90.01
17310,WI,2006,0.1,A,Lightning,45.97277778,-90.00277778
17311,WI,2006,0.1,A,Miscellaneous,46.10722222,-91.13333333
17318,WI,2006,0.1,A,Miscellaneous,45.65166667,-88.65055556
17323,WI,2006,1.2,B,Equipment Use,45.37222222,-88.43888889
17324,WI,2006,0.7,B,Equipment Use,45.37527778,-88.4375
17325,WI,2006,0.1,A,Debris Burning,45.13027778,-88.45166667
17326,WI,2006,0.1,A,Campfire,46.35277778,-91.28722222
17599,WI,2006,0.8,B,Debris Burning,46.05444444,-89.19083333
24574,WI,2007,0.1,A,Debris Burning,45.16833333,-88.39555556
24575,WI,2007,0.3,B,Debris Burning,46.21916667,-91.03861111
24576,WI,2007,0.1,A,Miscellaneous,45.86138889,-88.68472222
24577,WI,2007,0.1,A,Debris Burning,46.22444444,-91.115
24578,WI,2007,1.0,B,Miscellaneous,45.19361111,-88.4775
24579,WI,2007,0.4,B,Debris Burning,45.94611111,-88.68611111
24580,WI,2007,3.3,B,Campfire,46.21083333,-90.6025
24581,WI,2007,0.1,A,Debris Burning,46.07305556,-88.97833333
24582,WI,2007,0.1,A,Campfire,45.41416667,-88.77888889
24583,WI,2007,12.4,C,Miscellaneous,45.45194444,-88.675
24584,WI,2007,0.1,A,Miscellaneous,46.23194444,-91.11777778
24585,WI,2007,0.1,A,Campfire,46.02777778,-88.79722222
24586,WI,2007,0.1,A,Debris Burning,46.11305556,-89.07583333
