,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
5415,WV,2005,10.0,C,Debris Burning,38.34166667,-79.9625
5420,WV,2005,0.1,A,Campfire,38.4225,-80.23111111
5424,WV,2005,0.1,A,Campfire,38.74111111,-79.69277778
5426,WV,2005,29.0,C,Equipment Use,38.8,-80.25111111
5432,WV,2005,0.1,A,Campfire,38.765,-79.745
5433,WV,2005,0.1,A,Lightning,38.23666667,-80.22944444
5436,WV,2005,0.1,A,Campfire,38.76333333,-79.70694444
5446,WV,2005,0.1,A,Campfire,38.92972222,-79.68027778
5447,WV,2005,0.1,A,Campfire,38.93555556,-79.73083333
5449,WV,2005,0.1,A,Campfire,38.94138889,-79.66861111
5451,WV,2005,0.1,A,Campfire,38.74111111,-79.69277778
5452,WV,2005,0.1,A,Lightning,38.23305556,-80.23722222
5453,WV,2005,0.1,A,Campfire,38.25805556,-80.22944444
5455,WV,2005,0.9,B,Campfire,38.97722222,-79.59083333
5456,WV,2005,0.1,A,Campfire,38.92972222,-79.67972222
5457,WV,2005,0.1,A,Campfire,38.59638889,-79.76361111
8135,WV,2006,0.75,B,Lightning,38.625,-79.21666667
16355,WV,2006,1.0,B,Arson,38.72916667,-79.465
16359,WV,2006,1.0,B,Arson,38.49888889,-79.63861111
16365,WV,2006,0.25,A,Arson,38.74472222,-79.46277778
19114,WV,2007,0.1,A,Lightning,38.95694444,-78.73083333
22604,WV,2007,0.5,B,Smoking,38.35611111,-80.58361111
22606,WV,2007,1.0,B,Arson,38.76722222,-79.3225
22608,WV,2007,2.0,B,Equipment Use,39.26666667,-80.625
22611,WV,2007,0.1,A,Lightning,38.76111111,-79.58277778
22613,WV,2007,1.0,B,Arson,37.97194444,-80.13472222
22617,WV,2007,7.0,B,Debris Burning,37.95083333,-80.1575
22620,WV,2007,1.0,B,Arson,38.99666667,-79.34416667
22628,WV,2007,0.1,A,Campfire,38.63083333,-80.15027778
26036,WV,2007,0.54,B,Campfire,39.03138889,-78.68666667
26521,WV,2007,0.1,A,Campfire,38.76722222,-79.3225
26523,WV,2007,0.1,A,Campfire,38.70777778,-79.70444444
26524,WV,2007,0.1,A,Campfire,38.58222222,-79.70583333
26525,WV,2007,0.1,A,Campfire,38.36666667,-80.28361111
26526,WV,2007,0.1,A,Campfire,38.31666667,-80.48138889
26528,WV,2007,0.1,A,Campfire,38.58444444,-79.91166667
26530,WV,2007,0.1,A,Campfire,38.54388889,-79.93611111
26534,WV,2007,0.1,A,Campfire,38.28333333,-80.48138889
26535,WV,2007,0.1,A,Campfire,38.31666667,-80.4775
26536,WV,2007,21.0,C,Arson,39.10416667,-79.8225
26537,WV,2007,0.1,A,Campfire,39.065,-79.30944444
26799,WV,2008,0.25,A,Miscellaneous,37.92,-80.53416667
27027,WV,2008,0.25,A,Miscellaneous,38.62333333,-79.57805556
27029,WV,2008,29.7,C,Lightning,38.17916667,-80.06111111
27031,WV,2008,0.1,A,Equipment Use,38.72027778,-79.45833333
30014,WV,2008,0.1,A,Miscellaneous,38.83944444,-79.26527778
30022,WV,2008,9.0,B,Arson,38.65194444,-79.69555556
30025,WV,2008,1.0,B,Arson,38.65194444,-79.69694444
33403,WV,2008,0.25,A,Arson,38.96472222,-79.60694444
33404,WV,2008,0.1,A,Equipment Use,38.25,-80.59638889
33405,WV,2008,7.0,B,Miscellaneous,37.95555556,-80.26472222
33661,WV,2008,0.1,A,Campfire,38.80861111,-79.27944444
34013,WV,2008,0.1,A,Smoking,38.81083333,-79.28361111
34014,WV,2008,1.0,B,Miscellaneous,38.19805556,-80.03222222
34015,WV,2008,18.1,C,Campfire,37.9375,-80.32888889
34292,WV,2009,10.0,C,Debris Burning,38.69638889,-79.36472222
34465,WV,2009,2.8,B,Smoking,37.97166667,-80.10305556
34700,WV,2009,125.0,D,Railroad,38.91861111,-79.78388889
34837,WV,2009,0.3,B,Campfire,38.97638889,-79.59166667
34838,WV,2009,0.5,B,Campfire,38.62277778,-79.58111111
34840,WV,2009,2.2,B,Debris Burning,38.86861111,-79.36194444
34841,WV,2009,0.5,B,Campfire,38.92944444,-79.67972222
38989,WV,2009,0.1,A,Campfire,38.99777778,-79.37138889
52456,WV,1992,1.5,B,Campfire,38.58333333,-79.20833333
53182,WV,1992,50.0,C,Debris Burning,38.34166667,-79.96666667
53183,WV,1992,211.0,D,Arson,38.0,-80.25
53184,WV,1992,0.2,A,Arson,37.88333333,-80.31666667
53185,WV,1992,0.2,A,Arson,37.9,-80.3
53186,WV,1992,6.0,B,Miscellaneous,38.055,-80.01666667
53187,WV,1992,28.0,C,Miscellaneous,38.055,-80.01666667
59830,WV,1993,1.5,B,Debris Burning,38.27333333,-80.59166667
59831,WV,1993,2.0,B,Equipment Use,38.67833333,-79.76666667
59832,WV,1993,0.5,B,Miscellaneous,38.625,-79.54
59833,WV,1993,4.0,B,Campfire,38.96,-79.26
59834,WV,1993,0.5,B,Miscellaneous,38.71333333,-79.37166667
