,STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,LATITUDE,LONGITUDE
44,WY,2005,0.25,A,Lightning,42.35472222,-105.50555556
53,WY,2005,0.1,A,Miscellaneous,44.81611111,-107.33111111
77,WY,2005,0.25,A,Miscellaneous,44.33555556,-106.95194444
104,WY,2005,0.1,A,Lightning,43.64527778,-109.9125
307,WY,2005,0.1,A,Campfire,43.82,-110.96527778
492,WY,2005,0.1,A,Lightning,44.155,-107.02416667
493,WY,2005,0.1,A,Campfire,44.13555556,-107.48416667
494,WY,2005,0.1,A,Lightning,44.04805556,-107.27944444
498,WY,2005,1.0,B,Lightning,44.07583333,-107.30305556
501,WY,2005,0.1,A,Equipment Use,44.35027778,-107.0125
502,WY,2005,0.1,A,Campfire,44.06805556,-106.97111111
503,WY,2005,0.1,A,Campfire,44.8275,-107.70666667
504,WY,2005,0.1,A,Campfire,44.19694444,-106.94722222
581,WY,2005,0.1,A,Lightning,44.12666667,-110.94194444
594,WY,2005,0.1,A,Equipment Use,42.58444444,-108.76027778
595,WY,2005,0.1,A,Equipment Use,42.58666667,-108.85027778
610,WY,2005,0.1,A,Campfire,44.66805556,-109.67833333
612,WY,2005,0.2,A,Miscellaneous,44.89722222,-109.70111111
617,WY,2005,0.1,A,Lightning,44.51444444,-109.94055556
622,WY,2005,0.1,A,Lightning,44.225,-109.58972222
654,WY,2005,0.1,A,Campfire,43.75305556,-109.99611111
657,WY,2005,12.0,C,Equipment Use,44.45861111,-109.74138889
659,WY,2005,0.1,A,Lightning,44.82583333,-109.45888889
660,WY,2005,0.1,A,Lightning,43.67722222,-109.44388889
860,WY,2005,0.1,A,Lightning,44.55444444,-109.44166667
862,WY,2005,0.1,A,Equipment Use,42.57583333,-108.73083333
867,WY,2005,0.1,A,Lightning,44.91361111,-109.68944444
868,WY,2005,0.1,A,Lightning,44.94388889,-109.50861111
875,WY,2005,0.1,A,Lightning,44.79722222,-109.40555556
1246,WY,2005,0.1,A,Campfire,43.17638889,-111.0575
1610,WY,2005,30.0,C,Lightning,44.93416667,-107.85027778
1611,WY,2005,12.0,C,Lightning,44.89888889,-107.50333333
1612,WY,2005,0.2,A,Lightning,44.92722222,-107.78527778
1613,WY,2005,0.1,A,Lightning,44.6875,-107.79222222
1614,WY,2005,0.25,A,Campfire,44.28861111,-106.92361111
1615,WY,2005,0.1,A,Lightning,44.09833333,-107.29972222
1618,WY,2005,0.1,A,Lightning,44.28055556,-107.17333333
1619,WY,2005,0.1,A,Lightning,44.76111111,-107.25416667
1621,WY,2005,0.1,A,Lightning,44.20416667,-107.17583333
1970,WY,2005,3025.0,F,Lightning,44.37194444,-104.17416667
2132,WY,2005,0.1,A,Lightning,44.8425,-107.40916667
2192,WY,2005,0.1,A,Campfire,44.31138889,-107.27805556
2194,WY,2005,0.1,A,Lightning,44.85527778,-107.98388889
2195,WY,2005,0.1,A,Equipment Use,43.69,-109.99416667
2205,WY,2005,0.1,A,Miscellaneous,42.55694444,-108.745
2325,WY,2005,1.0,B,Lightning,41.48444444,-106.60361111
2337,WY,2005,0.1,A,Lightning,41.00638889,-106.86333333
2364,WY,2005,0.25,A,Lightning,41.18194444,-106.48583333
2388,WY,2005,0.1,A,Campfire,41.4125,-106.28305556
2443,WY,2005,0.1,A,Equipment Use,41.10555556,-107.21055556
2445,WY,2005,0.1,A,Campfire,41.40777778,-106.51222222
2448,WY,2005,0.1,A,Campfire,41.56833333,-106.28361111
2461,WY,2005,7.0,B,Miscellaneous,41.31027778,-107.175
2951,WY,2005,0.25,A,Lightning,43.63277778,-111.0125
2984,WY,2005,0.1,A,Lightning,42.57666667,-108.85638889
3007,WY,2005,1.0,B,Lightning,42.59722222,-108.82472222
3012,WY,2005,0.75,B,Lightning,43.33916667,-111.00305556
3015,WY,2005,0.1,A,Lightning,43.33194444,-111.01055556
3604,WY,2005,0.1,A,Lightning,43.26166667,-109.97055556
3607,WY,2005,0.25,A,Lightning,42.58111111,-110.92638889
3628,WY,2005,0.1,A,Miscellaneous,43.31805556,-110.72222222
3678,WY,2005,8.0,B,Lightning,43.16527778,-110.17361111
3705,WY,2005,0.25,A,Campfire,42.96027778,-109.73333333
3716,WY,2005,0.25,A,Miscellaneous,43.83861111,-110.33
3809,WY,2005,0.1,A,Lightning,43.81583333,-110.33194444
3810,WY,2005,0.75,B,Lightning,43.69777778,-110.12
3812,WY,2005,65.0,C,Lightning,43.01722222,-110.53666667
3814,WY,2005,0.1,A,Lightning,43.84666667,-110.28111111
3857,WY,2005,0.2,A,Campfire,44.64416667,-107.63027778
4001,WY,2005,0.1,A,Lightning,42.76138889,-110.58305556
4009,WY,2005,0.1,A,Campfire,43.78194444,-110.29361111
4018,WY,2005,1.5,B,Lightning,43.62055556,-110.53888889
4024,WY,2005,0.1,A,Campfire,43.32527778,-110.79
4028,WY,2005,0.2,A,Lightning,43.05611111,-110.4225
4030,WY,2005,0.1,A,Campfire,42.75166667,-110.62277778
4031,WY,2005,5.0,B,Lightning,43.05111111,-109.79833333
4032,WY,2005,0.1,A,Campfire,43.51055556,-110.64944444
4036,WY,2005,0.1,A,Campfire,43.47277778,-110.61222222
4040,WY,2005,0.1,A,Lightning,44.05555556,-110.50444444
4041,WY,2005,0.1,A,Debris Burning,43.16,-110.5125
4042,WY,2005,0.1,A,Campfire,43.5125,-110.64166667
4043,WY,2005,0.1,A,Equipment Use,42.26138889,-110.72777778
4075,WY,2005,0.1,A,Campfire,43.82222222,-110.98611111
4085,WY,2005,0.3,B,Lightning,43.0075,-110.91444444
4086,WY,2005,0.1,A,Lightning,42.81277778,-110.84305556
4087,WY,2005,0.1,A,Smoking,42.37666667,-110.49833333
4088,WY,2005,0.1,A,Campfire,43.69027778,-110.28555556
4089,WY,2005,0.1,A,Lightning,43.03277778,-110.74972222
4090,WY,2005,0.1,A,Lightning,42.70111111,-110.79138889
4091,WY,2005,0.4,B,Lightning,42.17305556,-110.60638889
4092,WY,2005,0.1,A,Lightning,43.0225,-109.77388889
4093,WY,2005,0.1,A,Campfire,43.51111111,-110.6475
4094,WY,2005,0.25,A,Lightning,43.06611111,-110.47888889
4096,WY,2005,0.4,B,Lightning,43.13055556,-110.90722222
4098,WY,2005,0.1,A,Lightning,42.52194444,-110.92055556
4100,WY,2005,0.2,A,Lightning,42.64055556,-110.85055556
4101,WY,2005,0.1,A,Campfire,42.45027778,-110.5075
4103,WY,2005,0.25,A,Lightning,42.98888889,-110.67194444
4105,WY,2005,0.2,A,Lightning,42.74111111,-110.82055556
4107,WY,2005,0.1,A,Campfire,43.19083333,-110.82444444
4110,WY,2005,0.1,A,Lightning,43.33888889,-110.88305556
4161,WY,2005,0.1,A,Campfire,43.32222222,-110.56055556
4172,WY,2005,0.1,A,Campfire,42.87305556,-110.57833333
4184,WY,2005,0.1,A,Miscellaneous,43.68027778,-109.56361111
4185,WY,2005,2.0,B,Lightning,43.43277778,-110.61638889
4188,WY,2005,0.01,A,Campfire,42.91833333,-110.6525
4195,WY,2005,10.0,C,Smoking,43.4625,-110.78944444
4223,WY,2005,0.1,A,Campfire,43.11027778,-110.79166667
4231,WY,2005,0.1,A,Campfire,43.92666667,-110.4575
4260,WY,2005,0.01,A,Lightning,43.47555556,-110.94861111
4264,WY,2005,0.1,A,Campfire,43.44222222,-110.62583333
4270,WY,2005,0.1,A,Campfire,42.91666667,-110.49972222
4576,WY,2005,12.0,C,Miscellaneous,43.21361111,-109.72472222
4577,WY,2005,40.0,C,Lightning,42.18222222,-110.76722222
4580,WY,2005,520.0,E,Campfire,42.77972222,-110.55805556
4583,WY,2005,0.1,A,Campfire,44.10833333,-110.16666667
4587,WY,2005,0.1,A,Campfire,43.14138889,-110.53111111
5397,WY,2005,0.1,A,Lightning,43.87527778,-110.92694444
5402,WY,2005,0.5,B,Lightning,44.68638889,-104.4025
5404,WY,2005,0.1,A,Lightning,44.49416667,-104.49444444
5406,WY,2005,0.3,B,Lightning,44.47027778,-104.38833333
5408,WY,2005,0.2,A,Lightning,44.30638889,-104.27166667
5409,WY,2005,0.2,A,Lightning,44.47388889,-104.47222222
5410,WY,2005,4.2,B,Lightning,44.39,-104.15055556
5471,WY,2005,0.3,B,Lightning,44.53222222,-104.54194444
5474,WY,2005,0.1,A,Lightning,44.44944444,-104.68027778
5475,WY,2005,3.2,B,Lightning,44.37666667,-104.15055556
5478,WY,2005,2.6,B,Lightning,44.61861111,-104.29388889
5479,WY,2005,0.1,A,Lightning,44.29833333,-104.42527778
5480,WY,2005,0.5,B,Lightning,44.18388889,-104.09611111
5525,WY,2005,0.1,A,Lightning,44.58166667,-104.50194444
5528,WY,2005,5.5,B,Lightning,44.17916667,-104.09361111
5529,WY,2005,2.0,B,Lightning,44.205,-104.06666667
5560,WY,2005,0.1,A,Lightning,42.19777778,-105.42944444
5570,WY,2005,0.25,A,Lightning,42.50666667,-105.58972222
5574,WY,2005,6.0,B,Lightning,42.255,-105.31694444
5577,WY,2005,3.0,B,Lightning,42.21388889,-105.50694444
5580,WY,2005,1.0,B,Lightning,44.64611111,-104.43666667
5585,WY,2005,0.1,A,Lightning,42.17083333,-105.37055556
5586,WY,2005,5.6,B,Lightning,44.52527778,-104.36611111
5592,WY,2005,3.0,B,Lightning,42.44472222,-105.58138889
5595,WY,2005,0.25,A,Lightning,42.17472222,-105.36361111
5596,WY,2005,3.0,B,Lightning,44.50027778,-104.37611111
5602,WY,2005,0.1,A,Lightning,44.69611111,-104.3025
5604,WY,2005,0.5,B,Lightning,42.41472222,-105.565
5616,WY,2005,0.3,B,Lightning,44.3975,-104.15527778
5619,WY,2005,2.0,B,Lightning,42.41916667,-105.51777778
5625,WY,2005,0.25,A,Lightning,42.55666667,-105.96277778
5632,WY,2005,0.1,A,Miscellaneous,43.71638889,-105.36138889
5637,WY,2005,0.1,A,Railroad,44.17472222,-104.78833333
5652,WY,2005,0.1,A,Railroad,44.17472222,-104.78833333
5657,WY,2005,0.1,A,Railroad,44.17472222,-104.78833333
5659,WY,2005,0.25,A,Lightning,42.19111111,-105.36777778
5661,WY,2005,0.1,A,Arson,42.33222222,-105.36888889
5663,WY,2005,0.1,A,Arson,42.33194444,-105.36888889
5669,WY,2005,3.0,B,Lightning,44.06666667,-104.65527778
5673,WY,2005,0.25,A,Lightning,42.2475,-105.35416667
5676,WY,2005,0.1,A,Lightning,42.44083333,-105.73833333
5684,WY,2005,3.0,B,Lightning,42.07472222,-105.35027778
5687,WY,2005,2.0,B,Lightning,42.07472222,-105.35055556
5690,WY,2005,0.1,A,Lightning,42.44222222,-105.35472222
5695,WY,2005,0.25,A,Lightning,42.36777778,-105.38722222
5697,WY,2005,2.0,B,Lightning,43.75666667,-104.73527778
5700,WY,2005,0.1,A,Lightning,42.28277778,-105.34833333
5701,WY,2005,0.1,A,Lightning,42.35972222,-105.32416667
5704,WY,2005,2.0,B,Lightning,42.20083333,-105.49416667
5730,WY,2005,0.1,A,Lightning,42.33833333,-105.48083333
5731,WY,2005,5.0,B,Lightning,43.74555556,-104.44361111
5733,WY,2005,51.0,C,Lightning,42.11666667,-105.39722222
5734,WY,2005,0.3,B,Miscellaneous,43.72361111,-105.36055556
5735,WY,2005,0.1,A,Lightning,42.23888889,-105.42361111
5737,WY,2005,0.1,A,Lightning,43.385,-105.08888889
5738,WY,2005,0.1,A,Lightning,42.2675,-105.33861111
5739,WY,2005,0.1,A,Lightning,42.38194444,-105.39611111
5740,WY,2005,230.0,D,Lightning,43.57166667,-105.08583333
5741,WY,2005,5.0,B,Lightning,44.67055556,-105.18305556
5742,WY,2005,0.1,A,Railroad,43.67694444,-105.36083333
5743,WY,2005,0.1,A,Railroad,43.68388889,-105.36083333
5744,WY,2005,0.4,B,Railroad,43.67222222,-105.36083333
5745,WY,2005,290.0,D,Railroad,43.74611111,-105.36166667
5746,WY,2005,35.0,C,Campfire,44.63611111,-105.34666667
5747,WY,2005,1.0,B,Lightning,42.56861111,-105.97305556
7743,WY,2006,0.5,B,Miscellaneous,44.72416667,-109.35055556
7744,WY,2006,188.0,D,Miscellaneous,42.75583333,-108.83861111
8292,WY,2006,0.1,A,Lightning,44.43833333,-104.415
8295,WY,2006,0.13,A,Lightning,44.62916667,-104.35277778
8346,WY,2006,0.1,A,Lightning,44.82638889,-107.53861111
8347,WY,2006,0.25,A,Lightning,44.15666667,-107.25583333
8348,WY,2006,1.0,B,Campfire,44.22583333,-106.99055556
8350,WY,2006,0.1,A,Lightning,44.82972222,-107.64916667
8685,WY,2006,2.0,B,Lightning,44.54777778,-104.55833333
8908,WY,2006,0.3,B,Lightning,44.32333333,-109.20055556
8909,WY,2006,0.1,A,Lightning,44.74527778,-109.39277778
8910,WY,2006,0.1,A,Lightning,44.16527778,-109.55694444
8911,WY,2006,0.1,A,Lightning,44.94111111,-109.32305556
8990,WY,2006,0.75,B,Lightning,44.33694444,-104.16611111
9373,WY,2006,0.1,A,Lightning,43.6,-111.04027778
9603,WY,2006,9.0,B,Lightning,44.445,-104.165
9671,WY,2006,0.1,A,Campfire,44.11305556,-110.94444444
9796,WY,2006,1.0,B,Lightning,44.02888889,-109.26388889
9797,WY,2006,0.1,A,Campfire,43.70583333,-109.62472222
9798,WY,2006,0.1,A,Lightning,42.50944444,-108.84833333
9800,WY,2006,0.2,A,Lightning,44.9975,-109.31222222
9801,WY,2006,2.0,B,Lightning,42.72166667,-108.89166667
9803,WY,2006,0.2,A,Lightning,44.22,-109.57805556
9805,WY,2006,0.25,A,Campfire,42.61638889,-108.95111111
9875,WY,2006,0.25,A,Lightning,44.56972222,-104.50666667
10474,WY,2006,0.1,A,Lightning,44.54277778,-104.45138889
10600,WY,2006,0.5,B,Lightning,44.98638889,-109.74833333
10602,WY,2006,0.1,A,Lightning,44.66444444,-109.73666667
10603,WY,2006,0.1,A,Lightning,44.92777778,-109.67916667
10604,WY,2006,0.1,A,Lightning,44.9025,-109.70722222
10653,WY,2006,0.1,A,Lightning,44.31111111,-104.23416667
10655,WY,2006,0.1,A,Campfire,44.15,-107.15
10656,WY,2006,1.5,B,Lightning,44.405,-104.0825
10657,WY,2006,0.1,A,Campfire,44.15,-107.13333333
10659,WY,2006,0.25,A,Lightning,44.56666667,-107.05
10660,WY,2006,0.5,B,Lightning,44.11666667,-107.13333333
10662,WY,2006,0.1,A,Smoking,44.23333333,-107.2
10663,WY,2006,1.0,B,Lightning,44.85,-107.6
