FIRE_YEAR,FIRE_SIZE
1992,296439.7999999843
1993,321495.2999999602
1994,407944.69999995595
1995,216068.70000001232
1996,707110.4999999529
1997,324566.2999999717
1998,160013.1000000104
1999,804123.3999999213
2000,252676.00000001214
2001,350176.6999999686
2002,514942.6999999457
2003,1031965.0499999482
2004,301095.9699999958
2005,258714.8700000075
2006,812711.9399999416
2007,1045291.6199999333
2008,1430153.6000001447
2009,455350.0399999742
2010,120947.04000000127
2011,192286.9200000089
2012,764766.6399999689
2013,581410.291999956
2014,546878.7799999516
2015,848728.6099999709
